"","cat","word1","word2","n","date","institution"
"1","Learnings","ikea","foundation",321,2024-01-18,"IKEA Foundation "
"2","Learnings","cooperative","members",318,2024-01-18,"IKEA Foundation "
"3","Learnings","staff","member",200,2024-01-18,"IKEA Foundation "
"4","Learnings","economic","research",169,2024-01-18,"IKEA Foundation "
"5","Learnings","wageningen","economic",154,2024-01-18,"IKEA Foundation "
"6","Learnings","research","rapport",153,2024-01-18,"IKEA Foundation "
"7","Grants","performance","ladder",131,2024-01-18,"IKEA Foundation "
"8","Learnings","host","community",111,2024-01-18,"IKEA Foundation "
"9","Learnings","data","collection",109,2024-01-18,"IKEA Foundation "
"10","Learnings","member","melkadida",99,2024-01-18,"IKEA Foundation "
"11","Learnings","based","targets",97,2024-01-18,"IKEA Foundation "
"12","Learnings","refugee","livelihoods",96,2024-01-18,"IKEA Foundation "
"13","Learnings","climate","change",89,2024-01-18,"IKEA Foundation "
"14","Learnings","targets","initiative",86,2024-01-18,"IKEA Foundation "
"15","Learnings","meat","selling",83,2024-01-18,"IKEA Foundation "
"16","Learnings","nscience","based",81,2024-01-18,"IKEA Foundation "
"17","Learnings","kirinyaga","county",80,2024-01-18,"IKEA Foundation "
"18","Learnings","private","sector",80,2024-01-18,"IKEA Foundation "
"19","Learnings","initiative","review",79,2024-01-18,"IKEA Foundation "
"20","Learnings","evaluation","framework",75,2024-01-18,"IKEA Foundation "
"21","Learnings","agriculture","cooperative",70,2024-01-18,"IKEA Foundation "
"22","Learnings","comparison","group",70,2024-01-18,"IKEA Foundation "
"23","Learnings","framework","report",69,2024-01-18,"IKEA Foundation "
"24","Learnings","impact","evaluation",68,2024-01-18,"IKEA Foundation "
"25","Learnings","financial","institutions",67,2024-01-18,"IKEA Foundation "
"26","Learnings","selling","cooperative",67,2024-01-18,"IKEA Foundation "
"27","Learnings","nursus","consulting",64,2024-01-18,"IKEA Foundation "
"28","Grants","supply","chain",63,2024-01-18,"IKEA Foundation "
"29","Grants","strategic","evaluation",62,2024-01-18,"IKEA Foundation "
"30","Learnings","long","term",62,2024-01-18,"IKEA Foundation "
"31","Grants","business","coalition",60,2024-01-18,"IKEA Foundation "
"32","Grants","coalition","partners",59,2024-01-18,"IKEA Foundation "
"33","Learnings","case","study",58,2024-01-18,"IKEA Foundation "
"34","Grants","emission","reduction",57,2024-01-18,"IKEA Foundation "
"35","Grants","management","system",54,2024-01-18,"IKEA Foundation "
"36","Learnings","milk","selling",54,2024-01-18,"IKEA Foundation "
"37","Grants","dalberg","analysis",50,2024-01-18,"IKEA Foundation "
"38","Learnings","decision","making",50,2024-01-18,"IKEA Foundation "
"39","Learnings","landscape","approach",50,2024-01-18,"IKEA Foundation "
"40","Learnings","loan","recipients",48,2024-01-18,"IKEA Foundation "
"41","Learnings","natural","resources",48,2024-01-18,"IKEA Foundation "
"42","Learnings","selling","cooperatives",48,2024-01-18,"IKEA Foundation "
"43","Learnings","financial","sector",47,2024-01-18,"IKEA Foundation "
"44","Learnings","climate","smart",46,2024-01-18,"IKEA Foundation "
"45","Grants","stakeholder","interviews",45,2024-01-18,"IKEA Foundation "
"46","Learnings","agriculture","cooperatives",44,2024-01-18,"IKEA Foundation "
"47","Learnings","ecosystem","services",44,2024-01-18,"IKEA Foundation "
"48","Grants","ladder","june",43,2024-01-18,"IKEA Foundation "
"49","Learnings","county","government",43,2024-01-18,"IKEA Foundation "
"50","Grants","case","studies",42,2024-01-18,"IKEA Foundation "
"51","Learnings","livelihoods","projects",42,2024-01-18,"IKEA Foundation "
"52","Learnings","livestock","trading",40,2024-01-18,"IKEA Foundation "
"53","Learnings","steering","committee",40,2024-01-18,"IKEA Foundation "
"54","Learnings","community","members",39,2024-01-18,"IKEA Foundation "
"55","Learnings","business","metric",38,2024-01-18,"IKEA Foundation "
"56","Learnings","target","validation",38,2024-01-18,"IKEA Foundation "
"57","Learnings","addis","ababa",37,2024-01-18,"IKEA Foundation "
"58","Learnings","kenya","forest",37,2024-01-18,"IKEA Foundation "
"59","Grants","ikea","foundation",36,2024-01-18,"IKEA Foundation "
"60","Learnings","business","groups",36,2024-01-18,"IKEA Foundation "
"61","Learnings","landscape","management",36,2024-01-18,"IKEA Foundation "
"62","Learnings","nairobi","kenya",36,2024-01-18,"IKEA Foundation "
"63","Learnings","raphael","bradenbrink",36,2024-01-18,"IKEA Foundation "
"64","Learnings","target","setting",36,2024-01-18,"IKEA Foundation "
"65","Learnings","rsc","raphael",35,2024-01-18,"IKEA Foundation "
"66","Learnings","short","term",35,2024-01-18,"IKEA Foundation "
"67","Grants","beneficiary","survey",34,2024-01-18,"IKEA Foundation "
"68","Grants","carbon","management",34,2024-01-18,"IKEA Foundation "
"69","Learnings","host","communities",34,2024-01-18,"IKEA Foundation "
"70","Learnings","child","labour",33,2024-01-18,"IKEA Foundation "
"71","Learnings","iga","validation",33,2024-01-18,"IKEA Foundation "
"72","Learnings","kenya","national",33,2024-01-18,"IKEA Foundation "
"73","Learnings","partner","organisations",33,2024-01-18,"IKEA Foundation "
"74","Grants","coalition","board",32,2024-01-18,"IKEA Foundation "
"75","Learnings","cooperative","membership",32,2024-01-18,"IKEA Foundation "
"76","Learnings","corporate","engagement",32,2024-01-18,"IKEA Foundation "
"77","Learnings","household","consumption",32,2024-01-18,"IKEA Foundation "
"78","Learnings","impact","pathway",32,2024-01-18,"IKEA Foundation "
"79","Learnings","strategic","planning",32,2024-01-18,"IKEA Foundation "
"80","About","ikea","foundation",31,2024-01-18,"IKEA Foundation "
"81","Learnings","implementing","partners",31,2024-01-18,"IKEA Foundation "
"82","About","ethical","framework",30,2024-01-18,"IKEA Foundation "
"83","Learnings","cash","crops",30,2024-01-18,"IKEA Foundation "
"84","Learnings","civil","society",30,2024-01-18,"IKEA Foundation "
"85","Learnings","coffee","farmers",30,2024-01-18,"IKEA Foundation "
"86","Learnings","conservation","activities",30,2024-01-18,"IKEA Foundation "
"87","Learnings","energy","cooperative",30,2024-01-18,"IKEA Foundation "
"88","Learnings","energy","cooperatives",30,2024-01-18,"IKEA Foundation "
"89","Learnings","meat","sellers",30,2024-01-18,"IKEA Foundation "
"90","Learnings","responsible","investment",30,2024-01-18,"IKEA Foundation "
"91","Learnings","science","based",30,2024-01-18,"IKEA Foundation "
"92","Learnings","smart","agriculture",30,2024-01-18,"IKEA Foundation "
"93","Grants","compliance","committee",29,2024-01-18,"IKEA Foundation "
"94","Learnings","case","studies",29,2024-01-18,"IKEA Foundation "
"95","Learnings","evaluation","team",29,2024-01-18,"IKEA Foundation "
"96","Learnings","survey","quote",29,2024-01-18,"IKEA Foundation "
"97","Learnings","united","nations",29,2024-01-18,"IKEA Foundation "
"98","Grants","climate","action",28,2024-01-18,"IKEA Foundation "
"99","Grants","research","question",28,2024-01-18,"IKEA Foundation "
"100","Learnings","income","generating",28,2024-01-18,"IKEA Foundation "
"101","Learnings","thematic","update",28,2024-01-18,"IKEA Foundation "
"102","Grants","participating","companies",27,2024-01-18,"IKEA Foundation "
"103","Learnings","climate","action",27,2024-01-18,"IKEA Foundation "
"104","Learnings","land","cover",27,2024-01-18,"IKEA Foundation "
"105","Learnings","male","female",27,2024-01-18,"IKEA Foundation "
"106","Learnings","public","health",27,2024-01-18,"IKEA Foundation "
"107","Grants","control","group",26,2024-01-18,"IKEA Foundation "
"108","Learnings","longer","term",26,2024-01-18,"IKEA Foundation "
"109","Learnings","market","linkages",26,2024-01-18,"IKEA Foundation "
"110","Learnings","project","outcomes",26,2024-01-18,"IKEA Foundation "
"111","Learnings","refugee","economies",26,2024-01-18,"IKEA Foundation "
"112","Grants","south","africa",25,2024-01-18,"IKEA Foundation "
"113","Learnings","business","training",25,2024-01-18,"IKEA Foundation "
"114","Learnings","living","wage",25,2024-01-18,"IKEA Foundation "
"115","Learnings","member","geneva",25,2024-01-18,"IKEA Foundation "
"116","Learnings","national","council",25,2024-01-18,"IKEA Foundation "
"117","Learnings","office","melkadida",25,2024-01-18,"IKEA Foundation "
"118","Learnings","vulnerability","assessment",25,2024-01-18,"IKEA Foundation "
