,cat,word1,word2,n,date,institution
1,Learnings,ikea,foundation,321,1/18/2024,IKEA Foundation 
2,Learnings,cooperative,members,318,1/18/2024,IKEA Foundation 
3,Learnings,staff,member,200,1/18/2024,IKEA Foundation 
4,Learnings,economic,research,169,1/18/2024,IKEA Foundation 
5,Learnings,wageningen,economic,154,1/18/2024,IKEA Foundation 
6,Learnings,research,rapport,153,1/18/2024,IKEA Foundation 
7,Grants,performance,ladder,131,1/18/2024,IKEA Foundation 
8,Learnings,host,community,111,1/18/2024,IKEA Foundation 
9,Learnings,data,collection,109,1/18/2024,IKEA Foundation 
10,Learnings,member,melkadida,99,1/18/2024,IKEA Foundation 
11,Learnings,based,targets,97,1/18/2024,IKEA Foundation 
12,Learnings,refugee,livelihoods,96,1/18/2024,IKEA Foundation 
13,Learnings,climate,change,89,1/18/2024,IKEA Foundation 
14,Learnings,targets,initiative,86,1/18/2024,IKEA Foundation 
15,Learnings,meat,selling,83,1/18/2024,IKEA Foundation 
16,Learnings,nscience,based,81,1/18/2024,IKEA Foundation 
17,Learnings,kirinyaga,county,80,1/18/2024,IKEA Foundation 
18,Learnings,private,sector,80,1/18/2024,IKEA Foundation 
19,Learnings,initiative,review,79,1/18/2024,IKEA Foundation 
20,Learnings,evaluation,framework,75,1/18/2024,IKEA Foundation 
21,Learnings,agriculture,cooperative,70,1/18/2024,IKEA Foundation 
22,Learnings,comparison,group,70,1/18/2024,IKEA Foundation 
23,Learnings,framework,report,69,1/18/2024,IKEA Foundation 
24,Learnings,impact,evaluation,68,1/18/2024,IKEA Foundation 
25,Learnings,financial,institutions,67,1/18/2024,IKEA Foundation 
26,Learnings,selling,cooperative,67,1/18/2024,IKEA Foundation 
27,Learnings,nursus,consulting,64,1/18/2024,IKEA Foundation 
28,Grants,supply,chain,63,1/18/2024,IKEA Foundation 
29,Grants,strategic,evaluation,62,1/18/2024,IKEA Foundation 
30,Learnings,long,term,62,1/18/2024,IKEA Foundation 
31,Grants,business,coalition,60,1/18/2024,IKEA Foundation 
32,Grants,coalition,partners,59,1/18/2024,IKEA Foundation 
33,Learnings,case,study,58,1/18/2024,IKEA Foundation 
34,Grants,emission,reduction,57,1/18/2024,IKEA Foundation 
35,Grants,management,system,54,1/18/2024,IKEA Foundation 
36,Learnings,milk,selling,54,1/18/2024,IKEA Foundation 
37,Grants,dalberg,analysis,50,1/18/2024,IKEA Foundation 
38,Learnings,decision,making,50,1/18/2024,IKEA Foundation 
39,Learnings,landscape,approach,50,1/18/2024,IKEA Foundation 
40,Learnings,loan,recipients,48,1/18/2024,IKEA Foundation 
41,Learnings,natural,resources,48,1/18/2024,IKEA Foundation 
