,cat,word1,word2,n,date,institution
1,Grants,climate,solutions,407,1/18/2024,MacArthur Foundation
2,Grants,climate,change,307,1/18/2024,MacArthur Foundation
3,Grants,renewable,energy,254,1/18/2024,MacArthur Foundation
4,Grants,big,bet,184,1/18/2024,MacArthur Foundation
5,Grants,solutions,big,175,1/18/2024,MacArthur Foundation
6,Grants,annual,report,165,1/18/2024,MacArthur Foundation
7,Grants,civil,society,119,1/18/2024,MacArthur Foundation
8,Grants,greenhouse,gas,106,1/18/2024,MacArthur Foundation
9,Grants,society,organizations,97,1/18/2024,MacArthur Foundation
10,Grants,carbon,pricing,80,1/18/2024,MacArthur Foundation
11,Grants,gas,emissions,78,1/18/2024,MacArthur Foundation
12,Grants,desired,outcomes,62,1/18/2024,MacArthur Foundation
13,Grants,advance,climate,60,1/18/2024,MacArthur Foundation
14,Grants,clean,technology,60,1/18/2024,MacArthur Foundation
15,Grants,clean,energy,58,1/18/2024,MacArthur Foundation
16,Grants,climate,friendly,52,1/18/2024,MacArthur Foundation
17,Grants,installed,capacity,50,1/18/2024,MacArthur Foundation
18,Grants,paris,accord,48,1/18/2024,MacArthur Foundation
19,Grants,policymaker,discourse,47,1/18/2024,MacArthur Foundation
20,Grants,energy,efficiency,46,1/18/2024,MacArthur Foundation
21,Grants,environmental,protection,45,1/18/2024,MacArthur Foundation
22,Grants,grassroots,solutions,44,1/18/2024,MacArthur Foundation
23,Grants,energy,information,37,1/18/2024,MacArthur Foundation
24,Grants,low,carbon,37,1/18/2024,MacArthur Foundation
25,Grants,public,discourse,36,1/18/2024,MacArthur Foundation
26,Grants,information,administration,35,1/18/2024,MacArthur Foundation
27,Grants,regulatory,action,35,1/18/2024,MacArthur Foundation
28,Grants,friendly,policies,34,1/18/2024,MacArthur Foundation
29,Grants,solutions,coalition,32,1/18/2024,MacArthur Foundation
30,Grants,power,plan,31,1/18/2024,MacArthur Foundation
31,Grants,clean,power,30,1/18/2024,MacArthur Foundation
32,Grants,energy,related,30,1/18/2024,MacArthur Foundation
33,Grants,protection,agency,30,1/18/2024,MacArthur Foundation
34,Grants,carbon,intensity,29,1/18/2024,MacArthur Foundation
35,Grants,private,sector,29,1/18/2024,MacArthur Foundation
36,Grants,rooftop,solar,29,1/18/2024,MacArthur Foundation
37,Grants,climate,policies,28,1/18/2024,MacArthur Foundation
38,Grants,long,term,27,1/18/2024,MacArthur Foundation
39,Grants,united,nations,27,1/18/2024,MacArthur Foundation
40,Grants,total,installed,26,1/18/2024,MacArthur Foundation
41,Grants,alter,political,25,1/18/2024,MacArthur Foundation
42,Grants,coal,fired,25,1/18/2024,MacArthur Foundation
43,Grants,degrees,celsius,25,1/18/2024,MacArthur Foundation
44,Grants,data,points,24,1/18/2024,MacArthur Foundation
45,Grants,emissions,trading,24,1/18/2024,MacArthur Foundation
46,Grants,global,temperature,24,1/18/2024,MacArthur Foundation
47,Grants,political,discourse,24,1/18/2024,MacArthur Foundation
48,Grants,air,pollution,23,1/18/2024,MacArthur Foundation
49,Grants,oxford,policy,23,1/18/2024,MacArthur Foundation
50,Grants,energy,production,22,1/18/2024,MacArthur Foundation
51,Grants,high,carbon,22,1/18/2024,MacArthur Foundation
52,Grants,megawatt,hours,22,1/18/2024,MacArthur Foundation
