,cat,word,n,date,institution,tf,idf,tf_idf
1,About,ethical,34,1/18/2024,IKEA Foundation ,0.029772329,0.405465108,0.012071641
2,Learnings,cooperative,840,1/18/2024,IKEA Foundation ,0.006631823,1.098612289,0.007285803
3,Grants,companies,582,1/18/2024,IKEA Foundation ,0.015060163,0.405465108,0.006106371
4,About,confidential,6,1/18/2024,IKEA Foundation ,0.00525394,1.098612289,0.005772044
5,Grants,coalition,546,1/18/2024,IKEA Foundation ,0.014128607,0.405465108,0.005728657
6,Learnings,cooperatives,548,1/18/2024,IKEA Foundation ,0.004326475,1.098612289,0.004753119
7,Learnings,refugee,543,1/18/2024,IKEA Foundation ,0.004287,1.098612289,0.004709751
8,About,assets,12,1/18/2024,IKEA Foundation ,0.010507881,0.405465108,0.004260579
9,Grants,ladder,148,1/18/2024,IKEA Foundation ,0.003829732,1.098612289,0.004207391
10,About,njuly,11,1/18/2024,IKEA Foundation ,0.009632224,0.405465108,0.003905531
11,Learnings,kenya,444,1/18/2024,IKEA Foundation ,0.003505392,1.098612289,0.003851067
12,About,honesty,4,1/18/2024,IKEA Foundation ,0.003502627,1.098612289,0.003848029
13,Learnings,county,428,1/18/2024,IKEA Foundation ,0.003379072,1.098612289,0.00371229
14,Learnings,melkadida,395,1/18/2024,IKEA Foundation ,0.003118536,1.098612289,0.003426062
15,Grants,emissions,286,1/18/2024,IKEA Foundation ,0.007400699,0.405465108,0.003000725
16,About,harassment,3,1/18/2024,IKEA Foundation ,0.00262697,1.098612289,0.002886022
17,About,nco,3,1/18/2024,IKEA Foundation ,0.00262697,1.098612289,0.002886022
18,About,nrespect,3,1/18/2024,IKEA Foundation ,0.00262697,1.098612289,0.002886022
19,About,nyour,3,1/18/2024,IKEA Foundation ,0.00262697,1.098612289,0.002886022
20,Grants,evaluation,270,1/18/2024,IKEA Foundation ,0.006986674,0.405465108,0.002832852
21,Learnings,dollo,324,1/18/2024,IKEA Foundation ,0.002557989,1.098612289,0.002810238
22,Learnings,refugees,316,1/18/2024,IKEA Foundation ,0.002494829,1.098612289,0.00274085
23,Grants,initiatives,257,1/18/2024,IKEA Foundation ,0.006650278,0.405465108,0.002696456
24,Grants,rietbergen,91,1/18/2024,IKEA Foundation ,0.002354768,1.098612289,0.002586977
25,Grants,women,245,1/18/2024,IKEA Foundation ,0.006339759,0.405465108,0.002570551
26,About,protecting,7,1/18/2024,IKEA Foundation ,0.006129597,0.405465108,0.002485338
27,Learnings,camps,278,1/18/2024,IKEA Foundation ,0.002194818,1.098612289,0.002411254
28,Grants,scope,228,1/18/2024,IKEA Foundation ,0.005899858,0.405465108,0.002392186
29,Grants,reduction,213,1/18/2024,IKEA Foundation ,0.005511709,0.405465108,0.002234806
30,Learnings,kirinyaga,246,1/18/2024,IKEA Foundation ,0.001942177,1.098612289,0.002133699
31,About,neutrality,6,1/18/2024,IKEA Foundation ,0.00525394,0.405465108,0.00213029
32,Learnings,forest,226,1/18/2024,IKEA Foundation ,0.001784276,1.098612289,0.001960228
33,About,ais,2,1/18/2024,IKEA Foundation ,0.001751313,1.098612289,0.001924015
34,About,amended,2,1/18/2024,IKEA Foundation ,0.001751313,1.098612289,0.001924015
35,About,honest,2,1/18/2024,IKEA Foundation ,0.001751313,1.098612289,0.001924015
36,About,inclusiveness,2,1/18/2024,IKEA Foundation ,0.001751313,1.098612289,0.001924015
37,About,intimidation,2,1/18/2024,IKEA Foundation ,0.001751313,1.098612289,0.001924015
38,About,nequal,2,1/18/2024,IKEA Foundation ,0.001751313,1.098612289,0.001924015
39,About,nethical,2,1/18/2024,IKEA Foundation ,0.001751313,1.098612289,0.001924015
40,About,nfair,2,1/18/2024,IKEA Foundation ,0.001751313,1.098612289,0.001924015
41,About,ngrantees,2,1/18/2024,IKEA Foundation ,0.001751313,1.098612289,0.001924015
42,About,nharassment,2,1/18/2024,IKEA Foundation ,0.001751313,1.098612289,0.001924015
43,About,nsituations,2,1/18/2024,IKEA Foundation ,0.001751313,1.098612289,0.001924015
44,About,prevails,2,1/18/2024,IKEA Foundation ,0.001751313,1.098612289,0.001924015
