"","cat","word","n","date","institution","tf","idf","tf_idf"
"1","Learnings","cooperative",840,2024-01-20,"IKEA Foundation ",0.0066318232776997,0.693147180559945,0.00459682960690936
"2","Learnings","cooperatives",548,2024-01-20,"IKEA Foundation ",0.0043264751859279,0.693147180559945,0.00299888407688849
"3","Learnings","refugee",543,2024-01-20,"IKEA Foundation ",0.00428700004737017,0.693147180559945,0.00297152199589498
"4","Grants","ladder",148,2024-01-20,"IKEA Foundation ",0.00382973217751326,0.693147180559945,0.00265456806114302
"5","Learnings","kenya",444,2024-01-20,"IKEA Foundation ",0.00350539230392699,0.693147180559945,0.00242975279222352
"6","Learnings","county",428,2024-01-20,"IKEA Foundation ",0.00337907186054223,0.693147180559945,0.0023421941330443
"7","Learnings","melkadida",395,2024-01-20,"IKEA Foundation ",0.00311853594606117,0.693147180559945,0.00216160439848714
"8","Learnings","dollo",324,2024-01-20,"IKEA Foundation ",0.00255798897854131,0.693147180559945,0.00177306284837933
"9","Learnings","refugees",316,2024-01-20,"IKEA Foundation ",0.00249482875684894,0.693147180559945,0.00172928351878971
"10","Grants","rietbergen",91,2024-01-20,"IKEA Foundation ",0.00235476775779532,0.693147180559945,0.00163220063218929
"11","Learnings","camps",278,2024-01-20,"IKEA Foundation ",0.00219481770381014,0.693147180559945,0.00152133170323905
"12","Learnings","kirinyaga",246,2024-01-20,"IKEA Foundation ",0.00194217681704063,0.693147180559945,0.0013462143848806
"13","Learnings","forest",226,2024-01-20,"IKEA Foundation ",0.00178427626280968,0.693147180559945,0.00123676606090657
"14","Grants","tenders",65,2024-01-20,"IKEA Foundation ",0.0016819769698538,0.693147180559945,0.00116585759442092
"15","Grants","dalberg",52,2024-01-20,"IKEA Foundation ",0.00134558157588304,0.693147180559945,0.000932686075536736
"16","Learnings","wageningen",169,2024-01-20,"IKEA Foundation ",0.00133425968325149,0.693147180559945,0.000924838337580575
"17","Learnings","hilaweyn",159,2024-01-20,"IKEA Foundation ",0.00125530940613602,0.693147180559945,0.000870114175593558
"18","Learnings","bokolmanyo",158,2024-01-20,"IKEA Foundation ",0.00124741437842447,0.693147180559945,0.000864641759394857
"19","Learnings","rapport",157,2024-01-20,"IKEA Foundation ",0.00123951935071292,0.693147180559945,0.000859169343196155
"20","Learnings","cohort",155,2024-01-20,"IKEA Foundation ",0.00122372929528983,0.693147180559945,0.000848224510798752
"21","Learnings","communities",145,2024-01-20,"IKEA Foundation ",0.00114477901817435,0.693147180559945,0.000793500348811736
"22","Learnings","households",143,2024-01-20,"IKEA Foundation ",0.00112898896275126,0.693147180559945,0.000782555516414332
"23","Learnings","conservation",136,2024-01-20,"IKEA Foundation ",0.00107372376877043,0.693147180559945,0.000744248603023421
"24","Learnings","soil",130,2024-01-20,"IKEA Foundation ",0.00102635360250114,0.693147180559945,0.000711414105831211
"25","Learnings","milk",129,2024-01-20,"IKEA Foundation ",0.0010184585747896,0.693147180559945,0.00070594168963251
"26","Learnings","region",125,2024-01-20,"IKEA Foundation ",0.000986878463943408,0.693147180559945,0.000684052024837703
"27","Learnings","irrigation",121,2024-01-20,"IKEA Foundation ",0.000955298353097219,0.693147180559945,0.000662162360042897
"28","Grants","karnataka",36,2024-01-20,"IKEA Foundation ",0.000931556475611334,0.693147180559945,0.000645705744602356
"29","Learnings","firewood",116,2024-01-20,"IKEA Foundation ",0.000915823214539483,0.693147180559945,0.000634800279049389
"30","Learnings","buramino",108,2024-01-20,"IKEA Foundation ",0.000852662992847105,0.693147180559945,0.000591020949459776
"31","Grants","gpp",31,2024-01-20,"IKEA Foundation ",0.000802173631776426,0.693147180559945,0.000556024391185362
"32","Grants","placement",30,2024-01-20,"IKEA Foundation ",0.000776297063009445,0.693147180559945,0.000538088120501963
"33","Grants","rs",29,2024-01-20,"IKEA Foundation ",0.000750420494242463,0.693147180559945,0.000520151849818564
"34","Learnings","living",93,2024-01-20,"IKEA Foundation ",0.000734237577173896,0.693147180559945,0.000508934706479251
"35","Learnings","tree",93,2024-01-20,"IKEA Foundation ",0.000734237577173896,0.693147180559945,0.000508934706479251
"36","Grants","utrecht",28,2024-01-20,"IKEA Foundation ",0.000724543925475482,0.693147180559945,0.000502215579135165
"37","Learnings","ethiopia",83,2024-01-20,"IKEA Foundation ",0.000655287300058423,0.693147180559945,0.000454210544492235
"38","Grants","cgcc",25,2024-01-20,"IKEA Foundation ",0.000646914219174537,0.693147180559945,0.000448406767084969
"39","Grants","delhi",25,2024-01-20,"IKEA Foundation ",0.000646914219174537,0.693147180559945,0.000448406767084969
"40","Grants","sakhi",25,2024-01-20,"IKEA Foundation ",0.000646914219174537,0.693147180559945,0.000448406767084969
"41","Grants","biz",24,2024-01-20,"IKEA Foundation ",0.000621037650407556,0.693147180559945,0.00043047049640157
"42","Learnings","vulnerable",74,2024-01-20,"IKEA Foundation ",0.000584232050654498,0.693147180559945,0.00040495879870392
"43","Grants","counsellors",22,2024-01-20,"IKEA Foundation ",0.000569284512873593,0.693147180559945,0.000394597955034773
"44","Learnings","nmathematica",69,2024-01-20,"IKEA Foundation ",0.000544756912096761,0.693147180559945,0.000377596717710412
"45","Learnings","values",68,2024-01-20,"IKEA Foundation ",0.000536861884385214,0.693147180559945,0.00037212430151171
"46","Learnings","nairobi",67,2024-01-20,"IKEA Foundation ",0.000528966856673667,0.693147180559945,0.000366651885313009
"47","Grants","collectives",20,2024-01-20,"IKEA Foundation ",0.00051753137533963,0.693147180559945,0.000358725413667975
"48","Grants","prestatieladder",20,2024-01-20,"IKEA Foundation ",0.00051753137533963,0.693147180559945,0.000358725413667975
"49","Learnings","microfinance",65,2024-01-20,"IKEA Foundation ",0.000513176801250572,0.693147180559945,0.000355707052915606
"50","Learnings","jordan",64,2024-01-20,"IKEA Foundation ",0.000505281773539025,0.693147180559945,0.000350234636716904
"51","Learnings","nursus",64,2024-01-20,"IKEA Foundation ",0.000505281773539025,0.693147180559945,0.000350234636716904
"52","Learnings","children",63,2024-01-20,"IKEA Foundation ",0.000497386745827478,0.693147180559945,0.000344762220518202
"53","Grants","smarttrackers",19,2024-01-20,"IKEA Foundation ",0.000491654806572649,0.693147180559945,0.000340789142984577
"54","Learnings","forests",62,2024-01-20,"IKEA Foundation ",0.000489491718115931,0.693147180559945,0.000339289804319501
"55","Learnings","animals",60,2024-01-20,"IKEA Foundation ",0.000473701662692836,0.693147180559945,0.000328344971922097
"56","Learnings","ntable",60,2024-01-20,"IKEA Foundation ",0.000473701662692836,0.693147180559945,0.000328344971922097
"57","Learnings","metric",59,2024-01-20,"IKEA Foundation ",0.000465806634981289,0.693147180559945,0.000322872555723396
"58","Learnings","nef",58,2024-01-20,"IKEA Foundation ",0.000457911607269742,0.693147180559945,0.000317400139524694
"59","Learnings","trees",58,2024-01-20,"IKEA Foundation ",0.000457911607269742,0.693147180559945,0.000317400139524694
"60","Learnings","intended",57,2024-01-20,"IKEA Foundation ",0.000450016579558194,0.693147180559945,0.000311927723325993
"61","Learnings","river",56,2024-01-20,"IKEA Foundation ",0.000442121551846647,0.693147180559945,0.000306455307127291
"62","Grants","maharashtra",17,2024-01-20,"IKEA Foundation ",0.000439901669038685,0.693147180559945,0.000304916601617779
"63","Grants","nagpur",17,2024-01-20,"IKEA Foundation ",0.000439901669038685,0.693147180559945,0.000304916601617779
"64","Grants","wsm",17,2024-01-20,"IKEA Foundation ",0.000439901669038685,0.693147180559945,0.000304916601617779
