,cat,word,n,date,institution,tf,idf,tf_idf
1,Grants,climate,1156,1/16/2024,Mc Arthur Foundation,0.03121456,0,0
2,Grants,energy,695,1/16/2024,Mc Arthur Foundation,0.018766539,0,0
3,Grants,solutions,592,1/16/2024,Mc Arthur Foundation,0.015985311,0,0
4,Grants,change,466,1/16/2024,Mc Arthur Foundation,0.012583032,0,0
5,Grants,emissions,417,1/16/2024,Mc Arthur Foundation,0.011259923,0,0
6,Grants,india,359,1/16/2024,Mc Arthur Foundation,0.009693795,0,0
7,Grants,renewable,317,1/16/2024,Mc Arthur Foundation,0.008559702,0,0
8,Grants,carbon,300,1/16/2024,Mc Arthur Foundation,0.008100664,0,0
9,Grants,foundation,241,1/16/2024,Mc Arthur Foundation,0.006507534,0,0
10,Grants,report,217,1/16/2024,Mc Arthur Foundation,0.00585948,0,0
11,Grants,annual,216,1/16/2024,Mc Arthur Foundation,0.005832478,0,0
12,Grants,grantees,211,1/16/2024,Mc Arthur Foundation,0.005697467,0,0
13,Grants,policies,202,1/16/2024,Mc Arthur Foundation,0.005454447,0,0
14,Grants,progress,202,1/16/2024,Mc Arthur Foundation,0.005454447,0,0
15,Grants,big,196,1/16/2024,Mc Arthur Foundation,0.005292434,0,0
16,Grants,clean,194,1/16/2024,Mc Arthur Foundation,0.00523843,0,0
17,Grants,political,193,1/16/2024,Mc Arthur Foundation,0.005211427,0,0
18,Grants,government,192,1/16/2024,Mc Arthur Foundation,0.005184425,0,0
19,Grants,bet,185,1/16/2024,Mc Arthur Foundation,0.00499541,0,0
20,Grants,discourse,174,1/16/2024,Mc Arthur Foundation,0.004698385,0,0
21,Grants,data,169,1/16/2024,Mc Arthur Foundation,0.004563374,0,0
22,Grants,china,165,1/16/2024,Mc Arthur Foundation,0.004455365,0,0
23,Grants,global,164,1/16/2024,Mc Arthur Foundation,0.004428363,0,0
24,Grants,organizations,163,1/16/2024,Mc Arthur Foundation,0.004401361,0,0
25,Grants,gas,158,1/16/2024,Mc Arthur Foundation,0.00426635,0,0
26,Grants,state,150,1/16/2024,Mc Arthur Foundation,0.004050332,0,0
27,Grants,capacity,135,1/16/2024,Mc Arthur Foundation,0.003645299,0,0
28,Grants,power,134,1/16/2024,Mc Arthur Foundation,0.003618297,0,0
29,Grants,states,133,1/16/2024,Mc Arthur Foundation,0.003591294,0,0
30,Grants,outcomes,129,1/16/2024,Mc Arthur Foundation,0.003483286,0,0
31,Grants,policy,128,1/16/2024,Mc Arthur Foundation,0.003456283,0,0
32,Grants,greenhouse,125,1/16/2024,Mc Arthur Foundation,0.003375277,0,0
33,Grants,civil,124,1/16/2024,Mc Arthur Foundation,0.003348275,0,0
34,Grants,society,124,1/16/2024,Mc Arthur Foundation,0.003348275,0,0
35,Grants,coal,123,1/16/2024,Mc Arthur Foundation,0.003321272,0,0
36,Grants,national,119,1/16/2024,Mc Arthur Foundation,0.003213263,0,0
37,Grants,solar,118,1/16/2024,Mc Arthur Foundation,0.003186261,0,0
38,Grants,figure,116,1/16/2024,Mc Arthur Foundation,0.003132257,0,0
39,Grants,desired,115,1/16/2024,Mc Arthur Foundation,0.003105255,0,0
40,Grants,activities,113,1/16/2024,Mc Arthur Foundation,0.00305125,0,0
41,Grants,action,112,1/16/2024,Mc Arthur Foundation,0.003024248,0,0
42,Grants,time,111,1/16/2024,Mc Arthur Foundation,0.002997246,0,0
43,Grants,support,108,1/16/2024,Mc Arthur Foundation,0.002916239,0,0
44,Grants,public,107,1/16/2024,Mc Arthur Foundation,0.002889237,0,0
45,Grants,leadership,106,1/16/2024,Mc Arthur Foundation,0.002862235,0,0
46,Grants,approaches,104,1/16/2024,Mc Arthur Foundation,0.00280823,0,0
47,Grants,pricing,100,1/16/2024,Mc Arthur Foundation,0.002700221,0,0
48,Grants,environmental,98,1/16/2024,Mc Arthur Foundation,0.002646217,0,0
49,Grants,nsource,98,1/16/2024,Mc Arthur Foundation,0.002646217,0,0
50,Grants,work,98,1/16/2024,Mc Arthur Foundation,0.002646217,0,0
51,Grants,level,95,1/16/2024,Mc Arthur Foundation,0.00256521,0,0
52,Grants,outcome,95,1/16/2024,Mc Arthur Foundation,0.00256521,0,0
53,Grants,sector,93,1/16/2024,Mc Arthur Foundation,0.002511206,0,0
54,Grants,technology,92,1/16/2024,Mc Arthur Foundation,0.002484204,0,0
55,Grants,theory,89,1/16/2024,Mc Arthur Foundation,0.002403197,0,0
56,Grants,related,88,1/16/2024,Mc Arthur Foundation,0.002376195,0,0
57,Grants,strategy,85,1/16/2024,Mc Arthur Foundation,0.002295188,0,0
58,Grants,total,85,1/16/2024,Mc Arthur Foundation,0.002295188,0,0
59,Grants,advance,84,1/16/2024,Mc Arthur Foundation,0.002268186,0,0
60,Grants,based,84,1/16/2024,Mc Arthur Foundation,0.002268186,0,0
61,Grants,efforts,84,1/16/2024,Mc Arthur Foundation,0.002268186,0,0
62,Grants,electricity,82,1/16/2024,Mc Arthur Foundation,0.002214182,0,0
63,Grants,high,82,1/16/2024,Mc Arthur Foundation,0.002214182,0,0
64,Grants,information,80,1/16/2024,Mc Arthur Foundation,0.002160177,0,0
65,Grants,tracking,78,1/16/2024,Mc Arthur Foundation,0.002106173,0,0
66,Grants,impacts,77,1/16/2024,Mc Arthur Foundation,0.00207917,0,0
67,Grants,international,77,1/16/2024,Mc Arthur Foundation,0.00207917,0,0
68,Grants,low,75,1/16/2024,Mc Arthur Foundation,0.002025166,0,0
69,Grants,favorable,74,1/16/2024,Mc Arthur Foundation,0.001998164,0,0
70,Grants,indicators,73,1/16/2024,Mc Arthur Foundation,0.001971162,0,0
71,Grants,federal,72,1/16/2024,Mc Arthur Foundation,0.001944159,0,0
72,Grants,paris,70,1/16/2024,Mc Arthur Foundation,0.001890155,0,0
73,Grants,narrative,69,1/16/2024,Mc Arthur Foundation,0.001863153,0,0
74,Grants,renewables,69,1/16/2024,Mc Arthur Foundation,0.001863153,0,0
75,Grants,term,69,1/16/2024,Mc Arthur Foundation,0.001863153,0,0
76,Grants,impact,68,1/16/2024,Mc Arthur Foundation,0.001836151,0,0
77,Grants,regulatory,67,1/16/2024,Mc Arthur Foundation,0.001809148,0,0
78,Grants,administration,66,1/16/2024,Mc Arthur Foundation,0.001782146,0,0
