"","cat","word","n","date","institution","tf","idf","tf_idf"
"1","Grants","climate",1156,2024-01-20,"Mc Arthur Foundation",0.0313092465196902,0,0
"2","Grants","energy",695,2024-01-20,"Mc Arthur Foundation",0.0188234656844158,0,0
"3","Grants","solutions",592,2024-01-20,"Mc Arthur Foundation",0.0160338009858621,0,0
"4","Grants","change",466,2024-01-20,"Mc Arthur Foundation",0.012621201451709,0,0
"5","Grants","emissions",417,2024-01-20,"Mc Arthur Foundation",0.0112940794106495,0,0
"6","Grants","india",359,2024-01-20,"Mc Arthur Foundation",0.00972320026000758,0,0
"7","Grants","renewable",317,2024-01-20,"Mc Arthur Foundation",0.00858566708195656,0,0
"8","Grants","carbon",300,2024-01-20,"Mc Arthur Foundation",0.00812523698607876,0,0
"9","Grants","foundation",241,2024-01-20,"Mc Arthur Foundation",0.00652727371214994,0,0
"10","Grants","report",217,2024-01-20,"Mc Arthur Foundation",0.00587725475326364,0,0
"11","Grants","annual",216,2024-01-20,"Mc Arthur Foundation",0.00585017062997671,0,0
"12","Grants","grantees",211,2024-01-20,"Mc Arthur Foundation",0.00571475001354206,0,0
"13","Grants","policies",202,2024-01-20,"Mc Arthur Foundation",0.0054709929039597,0,0
"14","Grants","progress",202,2024-01-20,"Mc Arthur Foundation",0.0054709929039597,0,0
"15","Grants","big",196,2024-01-20,"Mc Arthur Foundation",0.00530848816423812,0,0
"16","Grants","clean",194,2024-01-20,"Mc Arthur Foundation",0.00525431991766427,0,0
"17","Grants","political",193,2024-01-20,"Mc Arthur Foundation",0.00522723579437734,0,0
"18","Grants","government",192,2024-01-20,"Mc Arthur Foundation",0.00520015167109041,0,0
"19","Grants","bet",185,2024-01-20,"Mc Arthur Foundation",0.0050105628080819,0,0
"20","Grants","discourse",174,2024-01-20,"Mc Arthur Foundation",0.00471263745192568,0,0
"21","Grants","data",169,2024-01-20,"Mc Arthur Foundation",0.00457721683549104,0,0
"22","Grants","china",165,2024-01-20,"Mc Arthur Foundation",0.00446888034234332,0,0
"23","Grants","global",164,2024-01-20,"Mc Arthur Foundation",0.00444179621905639,0,0
"24","Grants","organizations",163,2024-01-20,"Mc Arthur Foundation",0.00441471209576946,0,0
"25","Grants","gas",158,2024-01-20,"Mc Arthur Foundation",0.00427929147933481,0,0
"26","Grants","state",150,2024-01-20,"Mc Arthur Foundation",0.00406261849303938,0,0
"27","Grants","capacity",135,2024-01-20,"Mc Arthur Foundation",0.00365635664373544,0,0
"28","Grants","power",134,2024-01-20,"Mc Arthur Foundation",0.00362927252044851,0,0
"29","Grants","states",133,2024-01-20,"Mc Arthur Foundation",0.00360218839716158,0,0
"30","Grants","outcomes",129,2024-01-20,"Mc Arthur Foundation",0.00349385190401387,0,0
"31","Grants","policy",128,2024-01-20,"Mc Arthur Foundation",0.00346676778072694,0,0
"32","Grants","greenhouse",125,2024-01-20,"Mc Arthur Foundation",0.00338551541086615,0,0
"33","Grants","civil",124,2024-01-20,"Mc Arthur Foundation",0.00335843128757922,0,0
"34","Grants","society",124,2024-01-20,"Mc Arthur Foundation",0.00335843128757922,0,0
"35","Grants","coal",123,2024-01-20,"Mc Arthur Foundation",0.00333134716429229,0,0
"36","Grants","national",119,2024-01-20,"Mc Arthur Foundation",0.00322301067114457,0,0
"37","Grants","solar",118,2024-01-20,"Mc Arthur Foundation",0.00319592654785765,0,0
"38","Grants","figure",116,2024-01-20,"Mc Arthur Foundation",0.00314175830128379,0,0
"39","Grants","desired",115,2024-01-20,"Mc Arthur Foundation",0.00311467417799686,0,0
"40","Grants","activities",113,2024-01-20,"Mc Arthur Foundation",0.003060505931423,0,0
"41","Grants","action",112,2024-01-20,"Mc Arthur Foundation",0.00303342180813607,0,0
"42","Grants","time",111,2024-01-20,"Mc Arthur Foundation",0.00300633768484914,0,0
"43","Grants","support",108,2024-01-20,"Mc Arthur Foundation",0.00292508531498835,0,0
"44","Grants","public",107,2024-01-20,"Mc Arthur Foundation",0.00289800119170142,0,0
"45","Grants","leadership",106,2024-01-20,"Mc Arthur Foundation",0.0028709170684145,0,0
"46","Grants","approaches",104,2024-01-20,"Mc Arthur Foundation",0.00281674882184064,0,0
"47","Grants","pricing",100,2024-01-20,"Mc Arthur Foundation",0.00270841232869292,0,0
"48","Grants","environmental",98,2024-01-20,"Mc Arthur Foundation",0.00265424408211906,0,0
"49","Grants","nsource",98,2024-01-20,"Mc Arthur Foundation",0.00265424408211906,0,0
"50","Grants","work",98,2024-01-20,"Mc Arthur Foundation",0.00265424408211906,0,0
"51","Grants","level",95,2024-01-20,"Mc Arthur Foundation",0.00257299171225827,0,0
"52","Grants","outcome",95,2024-01-20,"Mc Arthur Foundation",0.00257299171225827,0,0
"53","Grants","sector",93,2024-01-20,"Mc Arthur Foundation",0.00251882346568442,0,0
"54","Grants","technology",92,2024-01-20,"Mc Arthur Foundation",0.00249173934239749,0,0
"55","Grants","theory",89,2024-01-20,"Mc Arthur Foundation",0.0024104869725367,0,0
"56","Grants","related",88,2024-01-20,"Mc Arthur Foundation",0.00238340284924977,0,0
"57","Grants","strategy",85,2024-01-20,"Mc Arthur Foundation",0.00230215047938898,0,0
"58","Grants","total",85,2024-01-20,"Mc Arthur Foundation",0.00230215047938898,0,0
"59","Grants","advance",84,2024-01-20,"Mc Arthur Foundation",0.00227506635610205,0,0
"60","Grants","based",84,2024-01-20,"Mc Arthur Foundation",0.00227506635610205,0,0
"61","Grants","efforts",84,2024-01-20,"Mc Arthur Foundation",0.00227506635610205,0,0
"62","Grants","electricity",82,2024-01-20,"Mc Arthur Foundation",0.00222089810952819,0,0
"63","Grants","high",82,2024-01-20,"Mc Arthur Foundation",0.00222089810952819,0,0
"64","Grants","information",80,2024-01-20,"Mc Arthur Foundation",0.00216672986295434,0,0
"65","Grants","tracking",78,2024-01-20,"Mc Arthur Foundation",0.00211256161638048,0,0
"66","Grants","impacts",77,2024-01-20,"Mc Arthur Foundation",0.00208547749309355,0,0
"67","Grants","international",77,2024-01-20,"Mc Arthur Foundation",0.00208547749309355,0,0
"68","Grants","low",75,2024-01-20,"Mc Arthur Foundation",0.00203130924651969,0,0
"69","Grants","favorable",74,2024-01-20,"Mc Arthur Foundation",0.00200422512323276,0,0
"70","Grants","indicators",73,2024-01-20,"Mc Arthur Foundation",0.00197714099994583,0,0
"71","Grants","federal",72,2024-01-20,"Mc Arthur Foundation",0.0019500568766589,0,0
"72","Grants","paris",70,2024-01-20,"Mc Arthur Foundation",0.00189588863008504,0,0
"73","Grants","narrative",69,2024-01-20,"Mc Arthur Foundation",0.00186880450679811,0,0
"74","Grants","renewables",69,2024-01-20,"Mc Arthur Foundation",0.00186880450679811,0,0
"75","Grants","term",69,2024-01-20,"Mc Arthur Foundation",0.00186880450679811,0,0
"76","Grants","impact",68,2024-01-20,"Mc Arthur Foundation",0.00184172038351119,0,0
"77","Grants","regulatory",67,2024-01-20,"Mc Arthur Foundation",0.00181463626022426,0,0
"78","Grants","administration",66,2024-01-20,"Mc Arthur Foundation",0.00178755213693733,0,0
"79","Grants","baselines",66,2024-01-20,"Mc Arthur Foundation",0.00178755213693733,0,0
"80","Grants","plan",66,2024-01-20,"Mc Arthur Foundation",0.00178755213693733,0,0
"81","Grants","contribution",65,2024-01-20,"Mc Arthur Foundation",0.0017604680136504,0,0
"82","Grants","increased",65,2024-01-20,"Mc Arthur Foundation",0.0017604680136504,0,0
"83","Grants","installed",65,2024-01-20,"Mc Arthur Foundation",0.0017604680136504,0,0
"84","Grants","source",65,2024-01-20,"Mc Arthur Foundation",0.0017604680136504,0,0
"85","Grants","number",63,2024-01-20,"Mc Arthur Foundation",0.00170629976707654,0,0
"86","Grants","countries",62,2024-01-20,"Mc Arthur Foundation",0.00167921564378961,0,0
"87","Grants","friendly",62,2024-01-20,"Mc Arthur Foundation",0.00167921564378961,0,0
"88","Grants","accord",60,2024-01-20,"Mc Arthur Foundation",0.00162504739721575,0,0
"89","Grants","baseline",59,2024-01-20,"Mc Arthur Foundation",0.00159796327392882,0,0
"90","Grants","efficiency",59,2024-01-20,"Mc Arthur Foundation",0.00159796327392882,0,0
"91","Grants","established",59,2024-01-20,"Mc Arthur Foundation",0.00159796327392882,0,0
"92","Grants","country",58,2024-01-20,"Mc Arthur Foundation",0.00157087915064189,0,0
"93","Grants","development",58,2024-01-20,"Mc Arthur Foundation",0.00157087915064189,0,0
"94","Grants","economy",58,2024-01-20,"Mc Arthur Foundation",0.00157087915064189,0,0
"95","Grants","expand",58,2024-01-20,"Mc Arthur Foundation",0.00157087915064189,0,0
"96","Grants","generation",58,2024-01-20,"Mc Arthur Foundation",0.00157087915064189,0,0
"97","Grants","methane",58,2024-01-20,"Mc Arthur Foundation",0.00157087915064189,0,0
"98","Grants","policymakers",57,2024-01-20,"Mc Arthur Foundation",0.00154379502735496,0,0
"99","Grants","achieve",56,2024-01-20,"Mc Arthur Foundation",0.00151671090406804,0,0
"100","Grants","adopted",56,2024-01-20,"Mc Arthur Foundation",0.00151671090406804,0,0
"101","Grants","coalition",55,2024-01-20,"Mc Arthur Foundation",0.00148962678078111,0,0
"102","Grants","economic",55,2024-01-20,"Mc Arthur Foundation",0.00148962678078111,0,0
