,cat,word,n,date,institution
1,Learnings,cooperative,840,1/16/2024,IKEA Foundation 
2,Learnings,members,809,1/16/2024,IKEA Foundation 
3,Grants,pl,617,1/16/2024,IKEA Foundation 
4,Learnings,sbti,586,1/16/2024,IKEA Foundation 
5,Grants,companies,582,1/16/2024,IKEA Foundation 
6,Learnings,cooperatives,548,1/16/2024,IKEA Foundation 
7,Grants,coalition,546,1/16/2024,IKEA Foundation 
8,Learnings,refugee,543,1/16/2024,IKEA Foundation 
9,Learnings,business,540,1/16/2024,IKEA Foundation 
10,Learnings,foundation,504,1/16/2024,IKEA Foundation 
11,Learnings,staff,492,1/16/2024,IKEA Foundation 
12,Learnings,evaluation,469,1/16/2024,IKEA Foundation 
13,Learnings,development,448,1/16/2024,IKEA Foundation 
14,Learnings,kenya,444,1/16/2024,IKEA Foundation 
15,Learnings,land,435,1/16/2024,IKEA Foundation 
16,Learnings,activities,433,1/16/2024,IKEA Foundation 
17,Learnings,programme,432,1/16/2024,IKEA Foundation 
18,Learnings,county,428,1/16/2024,IKEA Foundation 
19,Learnings,financial,422,1/16/2024,IKEA Foundation 
20,Learnings,farmers,407,1/16/2024,IKEA Foundation 
21,Learnings,work,401,1/16/2024,IKEA Foundation 
22,Learnings,melkadida,395,1/16/2024,IKEA Foundation 
23,Learnings,ikea,394,1/16/2024,IKEA Foundation 
24,Learnings,support,381,1/16/2024,IKEA Foundation 
25,Learnings,based,377,1/16/2024,IKEA Foundation 
26,Learnings,companies,372,1/16/2024,IKEA Foundation 
27,Learnings,data,359,1/16/2024,IKEA Foundation 
28,Learnings,climate,358,1/16/2024,IKEA Foundation 
29,Grants,wmb,355,1/16/2024,IKEA Foundation 
30,Learnings,impact,355,1/16/2024,IKEA Foundation 
31,Learnings,water,345,1/16/2024,IKEA Foundation 
32,Learnings,livelihoods,342,1/16/2024,IKEA Foundation 
33,Learnings,agriculture,333,1/16/2024,IKEA Foundation 
34,Learnings,research,331,1/16/2024,IKEA Foundation 
35,Learnings,project,330,1/16/2024,IKEA Foundation 
36,Learnings,sector,326,1/16/2024,IKEA Foundation 
37,Learnings,dollo,324,1/16/2024,IKEA Foundation 
38,Learnings,landscape,323,1/16/2024,IKEA Foundation 
39,Learnings,coffee,319,1/16/2024,IKEA Foundation 
40,Learnings,tea,318,1/16/2024,IKEA Foundation 
41,Learnings,ado,316,1/16/2024,IKEA Foundation 
