"","cat","word","n","date","institution"
"1","Learnings","cooperative",840,2024-01-20,"IKEA Foundation "
"2","Learnings","members",809,2024-01-20,"IKEA Foundation "
"3","Grants","companies",582,2024-01-20,"IKEA Foundation "
"4","Learnings","cooperatives",548,2024-01-20,"IKEA Foundation "
"5","Grants","coalition",546,2024-01-20,"IKEA Foundation "
"6","Learnings","refugee",543,2024-01-20,"IKEA Foundation "
"7","Learnings","business",540,2024-01-20,"IKEA Foundation "
"8","Learnings","foundation",504,2024-01-20,"IKEA Foundation "
"9","Learnings","staff",492,2024-01-20,"IKEA Foundation "
"10","Learnings","evaluation",469,2024-01-20,"IKEA Foundation "
"11","Learnings","development",448,2024-01-20,"IKEA Foundation "
"12","Learnings","kenya",444,2024-01-20,"IKEA Foundation "
"13","Learnings","land",435,2024-01-20,"IKEA Foundation "
"14","Learnings","activities",433,2024-01-20,"IKEA Foundation "
"15","Learnings","programme",432,2024-01-20,"IKEA Foundation "
"16","Learnings","county",428,2024-01-20,"IKEA Foundation "
"17","Learnings","financial",422,2024-01-20,"IKEA Foundation "
"18","Learnings","farmers",407,2024-01-20,"IKEA Foundation "
"19","Learnings","work",401,2024-01-20,"IKEA Foundation "
"20","Learnings","melkadida",395,2024-01-20,"IKEA Foundation "
"21","Learnings","ikea",394,2024-01-20,"IKEA Foundation "
"22","Learnings","support",381,2024-01-20,"IKEA Foundation "
"23","Learnings","based",377,2024-01-20,"IKEA Foundation "
"24","Learnings","companies",372,2024-01-20,"IKEA Foundation "
"25","Learnings","data",359,2024-01-20,"IKEA Foundation "
"26","Learnings","climate",358,2024-01-20,"IKEA Foundation "
"27","Learnings","impact",355,2024-01-20,"IKEA Foundation "
"28","Learnings","water",345,2024-01-20,"IKEA Foundation "
"29","Learnings","livelihoods",342,2024-01-20,"IKEA Foundation "
"30","Learnings","agriculture",333,2024-01-20,"IKEA Foundation "
"31","Learnings","research",331,2024-01-20,"IKEA Foundation "
"32","Learnings","project",330,2024-01-20,"IKEA Foundation "
"33","Learnings","sector",326,2024-01-20,"IKEA Foundation "
"34","Learnings","dollo",324,2024-01-20,"IKEA Foundation "
"35","Learnings","landscape",323,2024-01-20,"IKEA Foundation "
"36","Learnings","coffee",319,2024-01-20,"IKEA Foundation "
"37","Learnings","refugees",316,2024-01-20,"IKEA Foundation "
"38","Learnings","economic",315,2024-01-20,"IKEA Foundation "
"39","Learnings","group",311,2024-01-20,"IKEA Foundation "
"40","Learnings","member",303,2024-01-20,"IKEA Foundation "
"41","Learnings","shareaction",297,2024-01-20,"IKEA Foundation "
"42","Learnings","targets",297,2024-01-20,"IKEA Foundation "
"43","Learnings","income",296,2024-01-20,"IKEA Foundation "
"44","Learnings","management",290,2024-01-20,"IKEA Foundation "
"45","Learnings","community",287,2024-01-20,"IKEA Foundation "
"46","Grants","emissions",286,2024-01-20,"IKEA Foundation "
"47","Learnings","government",284,2024-01-20,"IKEA Foundation "
