,cat,word,n,date,institution
1,Grants,climate,1156,1/16/2024,MacArthur Foundation
2,Grants,energy,695,1/16/2024,MacArthur Foundation
3,Grants,solutions,592,1/16/2024,MacArthur Foundation
4,Grants,change,466,1/16/2024,MacArthur Foundation
5,Grants,emissions,417,1/16/2024,MacArthur Foundation
6,Grants,india,359,1/16/2024,MacArthur Foundation
7,Grants,renewable,317,1/16/2024,MacArthur Foundation
8,Grants,carbon,300,1/16/2024,MacArthur Foundation
9,Grants,foundation,241,1/16/2024,MacArthur Foundation
10,Grants,report,217,1/16/2024,MacArthur Foundation
11,Grants,annual,216,1/16/2024,MacArthur Foundation
12,Grants,grantees,211,1/16/2024,MacArthur Foundation
13,Grants,policies,202,1/16/2024,MacArthur Foundation
14,Grants,progress,202,1/16/2024,MacArthur Foundation
15,Grants,big,196,1/16/2024,MacArthur Foundation
16,Grants,clean,194,1/16/2024,MacArthur Foundation
17,Grants,political,193,1/16/2024,MacArthur Foundation
18,Grants,government,192,1/16/2024,MacArthur Foundation
19,Grants,bet,185,1/16/2024,MacArthur Foundation
20,Grants,discourse,174,1/16/2024,MacArthur Foundation
21,Grants,data,169,1/16/2024,MacArthur Foundation
22,Grants,china,165,1/16/2024,MacArthur Foundation
23,Grants,global,164,1/16/2024,MacArthur Foundation
24,Grants,organizations,163,1/16/2024,MacArthur Foundation
25,Grants,gas,158,1/16/2024,MacArthur Foundation
26,Grants,state,150,1/16/2024,MacArthur Foundation
27,Grants,capacity,135,1/16/2024,MacArthur Foundation
28,Grants,power,134,1/16/2024,MacArthur Foundation
29,Grants,states,133,1/16/2024,MacArthur Foundation
30,Grants,outcomes,129,1/16/2024,MacArthur Foundation
31,Grants,policy,128,1/16/2024,MacArthur Foundation
32,Grants,greenhouse,125,1/16/2024,MacArthur Foundation
33,Grants,civil,124,1/16/2024,MacArthur Foundation
34,Grants,society,124,1/16/2024,MacArthur Foundation
35,Grants,coal,123,1/16/2024,MacArthur Foundation
36,Grants,national,119,1/16/2024,MacArthur Foundation
37,Grants,solar,118,1/16/2024,MacArthur Foundation
38,Grants,figure,116,1/16/2024,MacArthur Foundation
39,Grants,desired,115,1/16/2024,MacArthur Foundation
40,Grants,activities,113,1/16/2024,MacArthur Foundation
41,Grants,action,112,1/16/2024,MacArthur Foundation
42,Grants,time,111,1/16/2024,MacArthur Foundation
43,Grants,support,108,1/16/2024,MacArthur Foundation
44,Grants,public,107,1/16/2024,MacArthur Foundation
45,Grants,leadership,106,1/16/2024,MacArthur Foundation
46,Grants,approaches,104,1/16/2024,MacArthur Foundation
47,Grants,pricing,100,1/16/2024,MacArthur Foundation
48,Grants,environmental,98,1/16/2024,MacArthur Foundation
49,Grants,nsource,98,1/16/2024,MacArthur Foundation
50,Grants,work,98,1/16/2024,MacArthur Foundation
51,Grants,level,95,1/16/2024,MacArthur Foundation
52,Grants,outcome,95,1/16/2024,MacArthur Foundation
53,Grants,sector,93,1/16/2024,MacArthur Foundation
54,Grants,technology,92,1/16/2024,MacArthur Foundation
55,Grants,theory,89,1/16/2024,MacArthur Foundation
56,Grants,related,88,1/16/2024,MacArthur Foundation
57,Grants,strategy,85,1/16/2024,MacArthur Foundation
58,Grants,total,85,1/16/2024,MacArthur Foundation
59,Grants,advance,84,1/16/2024,MacArthur Foundation
