"","category","institution","word1","word2","n","date"
"1","Research","Alliance","annual","report",40,2024-01-20
"2","Crops","Alliance","tropical","forages",27,2024-01-20
"3","Research","Alliance","climate","change",22,2024-01-20
"4","Research","Alliance","bioversity","international",21,2024-01-20
"5","Crops","Alliance","annual","report",20,2024-01-20
"6","Research","Alliance","climate","action",20,2024-01-20
"7","Research","Alliance","consumer","behavior",18,2024-01-20
"8","Research","Alliance","digital","inclusion",16,2024-01-20
"9","Research","Alliance","discover","improving",16,2024-01-20
"10","Crops","Alliance","bioversity","international",15,2024-01-20
"11","Crops","Alliance","latin","america",15,2024-01-20
"12","Research","Alliance","landscapes","climate",13,2024-01-20
"13","Regions","Alliance","annual","report",12,2024-01-20
"14","Research","Alliance","health","gender",11,2024-01-20
"15","Research","Alliance","inclusion","crops",11,2024-01-20
"16","Research","Alliance","tropical","forages",11,2024-01-20
"17","Research","Alliance","alliance","headquarters",10,2024-01-20
"18","Research","Alliance","annual","reports",10,2024-01-20
"19","Research","Alliance","centersour","privacy",10,2024-01-20
"20","Research","Alliance","change","mitigation",10,2024-01-20
"21","Research","Alliance","ethics","careers",10,2024-01-20
"22","Research","Alliance","events","paths",10,2024-01-20
"23","Research","Alliance","extras","genebanks",10,2024-01-20
"24","Research","Alliance","finances","scientists",10,2024-01-20
"25","Research","Alliance","foodsecure","future",10,2024-01-20
"26","Research","Alliance","forages","extras",10,2024-01-20
"27","Research","Alliance","genebanks","laboratories",10,2024-01-20
"28","Research","Alliance","genebanks","stories",10,2024-01-20
"29","Research","Alliance","global","research",10,2024-01-20
"30","Research","Alliance","governance","finances",10,2024-01-20
"31","Research","Alliance","headquarters","address",10,2024-01-20
"32","Research","Alliance","highlights","tools",10,2024-01-20
"33","Research","Alliance","history","strategy",10,2024-01-20
"34","Research","Alliance","impact","publications",10,2024-01-20
"35","Research","Alliance","inclusion","regions",10,2024-01-20
"36","Research","Alliance","innovations","annual",10,2024-01-20
"37","Research","Alliance","italy","phone",10,2024-01-20
"38","Research","Alliance","laboratories","ethics",10,2024-01-20
"39","Research","Alliance","partners","services",10,2024-01-20
"40","Research","Alliance","policy","follow",10,2024-01-20
"41","Research","Alliance","privacy","policy",10,2024-01-20
"42","Research","Alliance","publications","highlights",10,2024-01-20
"43","Research","Alliance","reports","annual",10,2024-01-20
"44","Research","Alliance","research","partnership",10,2024-01-20
"45","Research","Alliance","research","themes",10,2024-01-20
"46","Research","Alliance","scientists","offices",10,2024-01-20
"47","Research","Alliance","services","genebanks",10,2024-01-20
"48","Research","Alliance","stories","events",10,2024-01-20
"49","Research","Alliance","strategy","governance",10,2024-01-20
"50","Research","Alliance","tools","innovations",10,2024-01-20
"51","Crops","Alliance","research","approach",9,2024-01-20
"52","Crops","Alliance","thematic","research",9,2024-01-20
"53","Regions","Alliance","climate","change",9,2024-01-20
"54","Regions","Alliance","private","sector",9,2024-01-20
"55","Research","Alliance","agricultural","biodiversity",9,2024-01-20
"56","Research","Alliance","alliance","bioversity",9,2024-01-20
"57","Research","Alliance","breakthrough","achievements",9,2024-01-20
"58","Crops","Alliance","climate","change",8,2024-01-20
"59","Crops","Alliance","senior","scientist",8,2024-01-20
"60","Research","Alliance","agroecology","discover",8,2024-01-20
"61","Research","Alliance","coffee","systems",8,2024-01-20
"62","Research","Alliance","crosscutting","research",8,2024-01-20
"63","Research","Alliance","discover","supporting",8,2024-01-20
"64","Research","Alliance","improving","cacao",8,2024-01-20
"65","Research","Alliance","innovations","methods",8,2024-01-20
"66","Research","Alliance","mitigation","discover",8,2024-01-20
"67","Research","Alliance","partnerships","discover",8,2024-01-20
"68","Research","Alliance","supporting","peace",8,2024-01-20
"69","Crops","Alliance","agricultural","research",7,2024-01-20
"70","Crops","Alliance","cassava","program",6,2024-01-20
"71","Regions","Alliance","bioversity","international",6,2024-01-20
"72","Regions","Alliance","climate","action",6,2024-01-20
"73","Regions","Alliance","discover","improving",6,2024-01-20
"74","Research","Alliance","gender","equality",6,2024-01-20
"75","Research","Alliance","gender","inequalities",6,2024-01-20
"76","Crops","Alliance","alliance","bioversity",5,2024-01-20
"77","Crops","Alliance","alliance","headquarters",5,2024-01-20
"78","Crops","Alliance","annual","reports",5,2024-01-20
"79","Crops","Alliance","centersour","privacy",5,2024-01-20
"80","Crops","Alliance","climate","action",5,2024-01-20
"81","Crops","Alliance","consumer","behavior",5,2024-01-20
"82","Crops","Alliance","digital","inclusion",5,2024-01-20
"83","Crops","Alliance","ethics","careers",5,2024-01-20
"84","Crops","Alliance","events","paths",5,2024-01-20
"85","Crops","Alliance","extras","genebanks",5,2024-01-20
"86","Crops","Alliance","featured","publications",5,2024-01-20
"87","Crops","Alliance","featured","stories",5,2024-01-20
"88","Crops","Alliance","finances","scientists",5,2024-01-20
"89","Crops","Alliance","foodsecure","future",5,2024-01-20
"90","Crops","Alliance","forages","extras",5,2024-01-20
"91","Crops","Alliance","genebanks","laboratories",5,2024-01-20
"92","Crops","Alliance","genebanks","stories",5,2024-01-20
"93","Crops","Alliance","genetic","resources",5,2024-01-20
"94","Crops","Alliance","global","research",5,2024-01-20
"95","Crops","Alliance","governance","finances",5,2024-01-20
"96","Crops","Alliance","headquarters","address",5,2024-01-20
"97","Crops","Alliance","health","gender",5,2024-01-20
"98","Crops","Alliance","highlights","tools",5,2024-01-20
"99","Crops","Alliance","history","strategy",5,2024-01-20
"100","Crops","Alliance","impact","publications",5,2024-01-20
"101","Crops","Alliance","inclusion","crops",5,2024-01-20
"102","Crops","Alliance","inclusion","regions",5,2024-01-20
"103","Crops","Alliance","innovations","annual",5,2024-01-20
"104","Crops","Alliance","italy","phone",5,2024-01-20
"105","Crops","Alliance","laboratories","ethics",5,2024-01-20
"106","Crops","Alliance","landscapes","climate",5,2024-01-20
"107","Crops","Alliance","partners","services",5,2024-01-20
