"","category","institution","word1","word2","n","date"
"1","Grants","Bloomberg Philantrhopies","public","health",73,2024-01-19
"2","Programs","Bloomberg Philantrhopies","objects","require",70,2024-01-19
"3","Programs","Bloomberg Philantrhopies","public","health",70,2024-01-19
"4","Programs","Bloomberg Philantrhopies","annual","report",69,2024-01-19
"5","Grants","Bloomberg Philantrhopies","annual","report",67,2024-01-19
"6","Grants","Bloomberg Philantrhopies","objects","require",56,2024-01-19
"7","Programs","Bloomberg Philantrhopies","johns","hopkins",46,2024-01-19
"8","Grants","Bloomberg Philantrhopies","government","innovation",45,2024-01-19
"9","Programs","Bloomberg Philantrhopies","government","innovation",45,2024-01-19
"10","Approach","Bloomberg Philantrhopies","objects","require",42,2024-01-19
"11","Grants","Bloomberg Philantrhopies","linkurl","sectionname",42,2024-01-19
"12","Grants","Bloomberg Philantrhopies","tiletext","linkurl",42,2024-01-19
"13","Grants","Bloomberg Philantrhopies","bloomberg","associates",40,2024-01-19
"14","Programs","Bloomberg Philantrhopies","podcasts","videos",40,2024-01-19
"15","Programs","Bloomberg Philantrhopies","videolist","flexbasis",40,2024-01-19
"16","Programs","Bloomberg Philantrhopies","videoplayer","minheight",40,2024-01-19
"17","Regions","Bloomberg Philantrhopies","public","health",40,2024-01-19
"18","Programs","Bloomberg Philantrhopies","bloomberg","associates",36,2024-01-19
"19","Grants","Bloomberg Philantrhopies","podcasts","videos",32,2024-01-19
"20","Grants","Bloomberg Philantrhopies","videolist","flexbasis",32,2024-01-19
"21","Grants","Bloomberg Philantrhopies","videoplayer","minheight",32,2024-01-19
"22","Programs","Bloomberg Philantrhopies","privacy","policy",32,2024-01-19
"23","Regions","Bloomberg Philantrhopies","annual","report",32,2024-01-19
"24","Approach","Bloomberg Philantrhopies","annual","report",30,2024-01-19
"25","Approach","Bloomberg Philantrhopies","public","health",30,2024-01-19
"26","About","Bloomberg Philantrhopies","objects","require",28,2024-01-19
"27","Regions","Bloomberg Philantrhopies","objects","require",28,2024-01-19
"28","About","Bloomberg Philantrhopies","public","health",26,2024-01-19
"29","Approach","Bloomberg Philantrhopies","bloomberg","associates",24,2024-01-19
"30","Approach","Bloomberg Philantrhopies","engage","strong",24,2024-01-19
"31","Approach","Bloomberg Philantrhopies","government","innovation",24,2024-01-19
"32","Approach","Bloomberg Philantrhopies","podcasts","videos",24,2024-01-19
"33","Approach","Bloomberg Philantrhopies","videolist","flexbasis",24,2024-01-19
"34","Approach","Bloomberg Philantrhopies","videoplayer","minheight",24,2024-01-19
"35","Programs","Bloomberg Philantrhopies","corporate","philanthropy",24,2024-01-19
"36","Regions","Bloomberg Philantrhopies","bloomberg","associates",24,2024-01-19
"37","Grants","Bloomberg Philantrhopies","clean","energy",22,2024-01-19
"38","Programs","Bloomberg Philantrhopies","hopkins","university",22,2024-01-19
"39","Grants","Bloomberg Philantrhopies","johns","hopkins",21,2024-01-19
"40","About","Bloomberg Philantrhopies","annual","report",20,2024-01-19
"41","Grants","Bloomberg Philantrhopies","global","reach",20,2024-01-19
"42","Programs","Bloomberg Philantrhopies","annual","reports",20,2024-01-19
"43","Programs","Bloomberg Philantrhopies","approach","overview",20,2024-01-19
"44","Programs","Bloomberg Philantrhopies","associates","corporate",20,2024-01-19
"45","Programs","Bloomberg Philantrhopies","configurable","requires",20,2024-01-19
"46","Programs","Bloomberg Philantrhopies","displayflex","flexdirection",20,2024-01-19
"47","Programs","Bloomberg Philantrhopies","engage","strong",20,2024-01-19
"48","Programs","Bloomberg Philantrhopies","error","occured",20,2024-01-19
"49","Programs","Bloomberg Philantrhopies","errorall","loaderconfig",20,2024-01-19
"50","Programs","Bloomberg Philantrhopies","errorall","runtime",20,2024-01-19
