"","category","institution","word1","word2","n","date"
"1","About","Howard G. Buffet Foundation","leftarea","etpbpost",17,2024-01-20
"2","Learnings","Howard G. Buffet Foundation","annual","report",17,2024-01-20
"3","Programs","Howard G. Buffet Foundation","leftarea","etpbpost",17,2024-01-20
"4","About","Howard G. Buffet Foundation","public","safety",14,2024-01-20
"5","About","Howard G. Buffet Foundation","marginalized","populations",13,2024-01-20
"6","About","Howard G. Buffet Foundation","conflict","mitigation",12,2024-01-20
"7","About","Howard G. Buffet Foundation","taking","risks",11,2024-01-20
"8","About","Howard G. Buffet Foundation","economic","development",10,2024-01-20
"9","About","Howard G. Buffet Foundation","human","trafficking",10,2024-01-20
"10","Learnings","Howard G. Buffet Foundation","conservation","agriculture",10,2024-01-20
"11","About","Howard G. Buffet Foundation","catalyze","change",9,2024-01-20
"12","About","Howard G. Buffet Foundation","central","america",9,2024-01-20
"13","About","Howard G. Buffet Foundation","livesour","mission",9,2024-01-20
"14","About","Howard G. Buffet Foundation","northern","triangle",9,2024-01-20
"15","About","Howard G. Buffet Foundation","sustainable","economic",9,2024-01-20
"16","About","Howard G. Buffet Foundation","transform","livesour",9,2024-01-20
"17","About","Howard G. Buffet Foundation","triangle","countries",9,2024-01-20
"18","Programs","Howard G. Buffet Foundation","public","safety",9,2024-01-20
"19","About","Howard G. Buffet Foundation","annual","reports",8,2024-01-20
"20","About","Howard G. Buffet Foundation","buffett","foundation",8,2024-01-20
"21","About","Howard G. Buffet Foundation","populations","taking",8,2024-01-20
"22","Learnings","Howard G. Buffet Foundation","central","america",8,2024-01-20
"23","Learnings","Howard G. Buffet Foundation","economic","development",8,2024-01-20
"24","Learnings","Howard G. Buffet Foundation","sustainable","economic",7,2024-01-20
"25","About","Howard G. Buffet Foundation","conservation","agriculture",6,2024-01-20
"26","About","Howard G. Buffet Foundation","gformwrapper","gformfooter",6,2024-01-20
"27","About","Howard G. Buffet Foundation","hitobject","eventaction",6,2024-01-20
"28","About","Howard G. Buffet Foundation","increase","resilience",6,2024-01-20
"29","About","Howard G. Buffet Foundation","providing","training",6,2024-01-20
"30","About","Howard G. Buffet Foundation","texttransform","noneimportant",6,2024-01-20
"31","About","Howard G. Buffet Foundation","ulproducts","liproduct",6,2024-01-20
"32","About","Howard G. Buffet Foundation","watersmart","agriculture",6,2024-01-20
"33","About","Howard G. Buffet Foundation","windowgtag","gtagtracker",6,2024-01-20
"34","Learnings","Howard G. Buffet Foundation","annual","reports",6,2024-01-20
"35","Learnings","Howard G. Buffet Foundation","northern","triangle",6,2024-01-20
"36","Learnings","Howard G. Buffet Foundation","triangle","countries",6,2024-01-20
"37","Programs","Howard G. Buffet Foundation","gformwrapper","gformfooter",6,2024-01-20
"38","Programs","Howard G. Buffet Foundation","ulproducts","liproduct",6,2024-01-20
"39","Regions","Howard G. Buffet Foundation","central","america",6,2024-01-20
"40","Regions","Howard G. Buffet Foundation","economic","development",6,2024-01-20
"41","Regions","Howard G. Buffet Foundation","northern","triangle",6,2024-01-20
"42","Regions","Howard G. Buffet Foundation","sustainable","economic",6,2024-01-20
"43","Regions","Howard G. Buffet Foundation","triangle","countries",6,2024-01-20
"44","About","Howard G. Buffet Foundation","citizen","security",5,2024-01-20
"45","About","Howard G. Buffet Foundation","combatting","human",5,2024-01-20
"46","Learnings","Howard G. Buffet Foundation","smallholder","farmers",5,2024-01-20
"47","Programs","Howard G. Buffet Foundation","conflict","mitigation",5,2024-01-20
"48","Programs","Howard G. Buffet Foundation","human","trafficking",5,2024-01-20
"49","About","Howard G. Buffet Foundation","agricultural","development",4,2024-01-20
"50","About","Howard G. Buffet Foundation","combat","human",4,2024-01-20
"51","About","Howard G. Buffet Foundation","liproduct","price",4,2024-01-20
"52","About","Howard G. Buffet Foundation","mitigation","combatting",4,2024-01-20
"53","About","Howard G. Buffet Foundation","pagecontainer","etboc",4,2024-01-20
"54","About","Howard G. Buffet Foundation","raising","awareness",4,2024-01-20
"55","About","Howard G. Buffet Foundation","security","conflict",4,2024-01-20
"56","About","Howard G. Buffet Foundation","smallholder","agricultural",4,2024-01-20
"57","About","Howard G. Buffet Foundation","smallholder","farmers",4,2024-01-20
"58","Learnings","Howard G. Buffet Foundation","agricultural","production",4,2024-01-20
"59","Learnings","Howard G. Buffet Foundation","buffett","foundation",4,2024-01-20
"60","Learnings","Howard G. Buffet Foundation","conflict","mitigation",4,2024-01-20
"61","Learnings","Howard G. Buffet Foundation","hitobject","eventaction",4,2024-01-20
"62","Learnings","Howard G. Buffet Foundation","increase","resilience",4,2024-01-20
"63","Learnings","Howard G. Buffet Foundation","providing","training",4,2024-01-20
"64","Learnings","Howard G. Buffet Foundation","texttransform","noneimportant",4,2024-01-20
"65","Learnings","Howard G. Buffet Foundation","watersmart","agriculture",4,2024-01-20
"66","Learnings","Howard G. Buffet Foundation","windowgtag","gtagtracker",4,2024-01-20
"67","Programs","Howard G. Buffet Foundation","economic","development",4,2024-01-20
"68","Programs","Howard G. Buffet Foundation","liproduct","price",4,2024-01-20
"69","Programs","Howard G. Buffet Foundation","pagecontainer","etboc",4,2024-01-20
"70","Regions","Howard G. Buffet Foundation","conflict","mitigation",4,2024-01-20
"71","Regions","Howard G. Buffet Foundation","conservation","agriculture",4,2024-01-20
"72","Regions","Howard G. Buffet Foundation","increase","resilience",4,2024-01-20
"73","Regions","Howard G. Buffet Foundation","providing","training",4,2024-01-20
"74","Regions","Howard G. Buffet Foundation","watersmart","agriculture",4,2024-01-20
"75","About","Howard G. Buffet Foundation","abefore","bordercolor",3,2024-01-20
"76","About","Howard G. Buffet Foundation","action","hitconverted",3,2024-01-20
"77","About","Howard G. Buffet Foundation","action","timing",3,2024-01-20
"78","About","Howard G. Buffet Foundation","addiction","treatment",3,2024-01-20
"79","About","Howard G. Buffet Foundation","agricultural","assistance",3,2024-01-20
"80","About","Howard G. Buffet Foundation","agriculture","raising",3,2024-01-20
"81","About","Howard G. Buffet Foundation","agriculture","ricaa",3,2024-01-20
"82","About","Howard G. Buffet Foundation","alert","terms",3,2024-01-20
"83","About","Howard G. Buffet Foundation","annual","grantmaking",3,2024-01-20
"84","About","Howard G. Buffet Foundation","arguments","gtagtrackerjs",3,2024-01-20
"85","About","Howard G. Buffet Foundation","centerbody","islayoutflex",3,2024-01-20
"86","About","Howard G. Buffet Foundation","civilians","conflict",3,2024-01-20
"87","About","Howard G. Buffet Foundation","community","support",3,2024-01-20
"88","About","Howard G. Buffet Foundation","cookie","exists",3,2024-01-20
"89","About","Howard G. Buffet Foundation","demining","equipment",3,2024-01-20
"90","About","Howard G. Buffet Foundation","demining","operations",3,2024-01-20
"91","About","Howard G. Buffet Foundation","demining","smallholder",3,2024-01-20
"92","About","Howard G. Buffet Foundation","detect","opted",3,2024-01-20
