"","category","institution","word1","word2","n","date"
"1","Learnings","IKEA Foundation","google","analytics",55,2024-01-20
"2","Programs","IKEA Foundation","google","analytics",35,2024-01-20
"3","Learnings","IKEA Foundation","privacy","settings",33,2024-01-20
"4","Learnings","IKEA Foundation","analytics","google",22,2024-01-20
"5","Learnings","IKEA Foundation","external","scripts",22,2024-01-20
"6","Learnings","IKEA Foundation","functionevent","formid",22,2024-01-20
"7","Programs","IKEA Foundation","privacy","settings",21,2024-01-20
"8","Learnings","IKEA Foundation","performance","ladder",18,2024-01-20
"9","Programs","IKEA Foundation","analytics","google",14,2024-01-20
"10","Programs","IKEA Foundation","external","scripts",14,2024-01-20
"11","Programs","IKEA Foundation","functionevent","formid",14,2024-01-20
"12","Learnings","IKEA Foundation","ladder","phase",12,2024-01-20
"13","Programs","IKEA Foundation","renewable","energy",12,2024-01-20
"14","Learnings","IKEA Foundation","agreement","privacy",11,2024-01-20
"15","Learnings","IKEA Foundation","analytics","rnscript",11,2024-01-20
"16","Learnings","IKEA Foundation","analytics","service",11,2024-01-20
"17","Learnings","IKEA Foundation","annual","review",11,2024-01-20
"18","Learnings","IKEA Foundation","brand","enable",11,2024-01-20
"19","Learnings","IKEA Foundation","centerbody","islayoutflex",11,2024-01-20
"20","Learnings","IKEA Foundation","change","cookie",11,2024-01-20
"21","Learnings","IKEA Foundation","cookie","preferences",11,2024-01-20
"22","Learnings","IKEA Foundation","currentpage","currentpage",11,2024-01-20
"23","Learnings","IKEA Foundation","defaults","fields",11,2024-01-20
"24","Learnings","IKEA Foundation","documents","change",11,2024-01-20
"25","Learnings","IKEA Foundation","domain","translations",11,2024-01-20
"26","Learnings","IKEA Foundation","enable","google",11,2024-01-20
"27","Learnings","IKEA Foundation","enables","external",11,2024-01-20
"28","Learnings","IKEA Foundation","experience","enable",11,2024-01-20
"29","Learnings","IKEA Foundation","external","stakeholders",11,2024-01-20
"30","Learnings","IKEA Foundation","formid","fields",11,2024-01-20
