"","word","category","institution","n","date","tf","idf","tf_idf"
"1","banana","Crops","Alliance",31,2024-01-20,0.00948882767064585,0.405465108108164,0.00384738853729816
"2","discover","Regions","Alliance",15,2024-01-20,0.0094876660341556,0.405465108108164,0.00384691753423306
"3","discover","Research","Alliance",37,2024-01-20,0.008369147251753,0.405465108108164,0.00339339719520518
"4","disease","Crops","Alliance",10,2024-01-20,0.00306091215182124,1.09861228866811,0.00336275570452436
"5","pacific","Regions","Alliance",11,2024-01-20,0.00695762175838077,0.405465108108164,0.00282107285843758
"6","productive","Crops","Alliance",7,2024-01-20,0.00214263850627487,1.09861228866811,0.00235392899316705
"7","breeding","Crops","Alliance",17,2024-01-20,0.00520355065809611,0.405465108108164,0.00210985823013125
"8","scientist","Crops","Alliance",17,2024-01-20,0.00520355065809611,0.405465108108164,0.00210985823013125
"9","hosts","Regions","Alliance",3,2024-01-20,0.00189753320683112,1.09861228866811,0.00208465329918047
"10","institutes","Regions","Alliance",3,2024-01-20,0.00189753320683112,1.09861228866811,0.00208465329918047
"11","presence","Regions","Alliance",3,2024-01-20,0.00189753320683112,1.09861228866811,0.00208465329918047
"12","diseases","Crops","Alliance",6,2024-01-20,0.00183654729109275,1.09861228866811,0.00201765342271462
"13","outreach","Crops","Alliance",6,2024-01-20,0.00183654729109275,1.09861228866811,0.00201765342271462
"14","pests","Crops","Alliance",6,2024-01-20,0.00183654729109275,1.09861228866811,0.00201765342271462
"15","resistance","Crops","Alliance",6,2024-01-20,0.00183654729109275,1.09861228866811,0.00201765342271462
"16","capacities","Research","Alliance",8,2024-01-20,0.00180954535173038,1.09861228866811,0.00198798876031325
"17","inclusive","Research","Alliance",21,2024-01-20,0.00475005654829224,0.405465108108164,0.00192598219187321
"18","science","Regions","Alliance",7,2024-01-20,0.00442757748260595,0.405465108108164,0.00179522818264209
"19","equality","Research","Alliance",7,2024-01-20,0.00158335218276408,1.09861228866811,0.00173949016527409
"20","leaders","Research","Alliance",7,2024-01-20,0.00158335218276408,1.09861228866811,0.00173949016527409
"21","plant","Crops","Alliance",14,2024-01-20,0.00428527701254974,0.405465108108164,0.00173753030716691
"22","breeder","Crops","Alliance",5,2024-01-20,0.00153045607591062,1.09861228866811,0.00168137785226218
"23","foundation","Crops","Alliance",5,2024-01-20,0.00153045607591062,1.09861228866811,0.00168137785226218
"24","importance","Crops","Alliance",5,2024-01-20,0.00153045607591062,1.09861228866811,0.00168137785226218
"25","institute","Crops","Alliance",5,2024-01-20,0.00153045607591062,1.09861228866811,0.00168137785226218
"26","musanet","Crops","Alliance",5,2024-01-20,0.00153045607591062,1.09861228866811,0.00168137785226218
"27","reach","Crops","Alliance",5,2024-01-20,0.00153045607591062,1.09861228866811,0.00168137785226218
"28","traits","Crops","Alliance",5,2024-01-20,0.00153045607591062,1.09861228866811,0.00168137785226218
"29","videos","Crops","Alliance",5,2024-01-20,0.00153045607591062,1.09861228866811,0.00168137785226218
"30","varieties","Crops","Alliance",13,2024-01-20,0.00397918579736762,0.405465108108164,0.00161342099951213
"31","drivers","Research","Alliance",6,2024-01-20,0.00135715901379778,1.09861228866811,0.00149099157023494
"32","evidence","Research","Alliance",6,2024-01-20,0.00135715901379778,1.09861228866811,0.00149099157023494
"33","inequalities","Research","Alliance",6,2024-01-20,0.00135715901379778,1.09861228866811,0.00149099157023494
"34","researchbased","Research","Alliance",6,2024-01-20,0.00135715901379778,1.09861228866811,0.00149099157023494
"35","cadmium","Regions","Alliance",2,2024-01-20,0.00126502213788741,1.09861228866811,0.00138976886612032
"36","flagship","Regions","Alliance",2,2024-01-20,0.00126502213788741,1.09861228866811,0.00138976886612032
"37","helps","Regions","Alliance",2,2024-01-20,0.00126502213788741,1.09861228866811,0.00138976886612032
"38","ingos","Regions","Alliance",2,2024-01-20,0.00126502213788741,1.09861228866811,0.00138976886612032
"39","profiling","Regions","Alliance",2,2024-01-20,0.00126502213788741,1.09861228866811,0.00138976886612032
"40","robust","Regions","Alliance",2,2024-01-20,0.00126502213788741,1.09861228866811,0.00138976886612032
"41","biotic","Crops","Alliance",4,2024-01-20,0.0012243648607285,1.09861228866811,0.00134510228180975
"42","cambodia","Crops","Alliance",4,2024-01-20,0.0012243648607285,1.09861228866811,0.00134510228180975
"43","cooking","Crops","Alliance",4,2024-01-20,0.0012243648607285,1.09861228866811,0.00134510228180975
"44","expert","Crops","Alliance",4,2024-01-20,0.0012243648607285,1.09861228866811,0.00134510228180975
"45","fresh","Crops","Alliance",4,2024-01-20,0.0012243648607285,1.09861228866811,0.00134510228180975
"46","genomics","Crops","Alliance",4,2024-01-20,0.0012243648607285,1.09861228866811,0.00134510228180975
"47","objective","Crops","Alliance",4,2024-01-20,0.0012243648607285,1.09861228866811,0.00134510228180975
"48","related","Crops","Alliance",4,2024-01-20,0.0012243648607285,1.09861228866811,0.00134510228180975
"49","stresses","Crops","Alliance",4,2024-01-20,0.0012243648607285,1.09861228866811,0.00134510228180975
"50","worldwide","Crops","Alliance",4,2024-01-20,0.0012243648607285,1.09861228866811,0.00134510228180975
"51","inclusive","Regions","Alliance",5,2024-01-20,0.00316255534471853,0.405465108108164,0.00128230584474435
"52","youth","Regions","Alliance",5,2024-01-20,0.00316255534471853,0.405465108108164,0.00128230584474435
"53","assessment","Research","Alliance",5,2024-01-20,0.00113096584483149,1.09861228866811,0.00124249297519578
"54","crises","Research","Alliance",5,2024-01-20,0.00113096584483149,1.09861228866811,0.00124249297519578
"55","generate","Research","Alliance",5,2024-01-20,0.00113096584483149,1.09861228866811,0.00124249297519578
"56","holistic","Research","Alliance",5,2024-01-20,0.00113096584483149,1.09861228866811,0.00124249297519578
"57","featured","Crops","Alliance",10,2024-01-20,0.00306091215182124,0.405465108108164,0.00124109307654779
"58","pabra","Crops","Alliance",9,2024-01-20,0.00275482093663912,0.405465108108164,0.00111698376889301
"59","researchers","Crops","Alliance",9,2024-01-20,0.00275482093663912,0.405465108108164,0.00111698376889301
"60","source","Crops","Alliance",9,2024-01-20,0.00275482093663912,0.405465108108164,0.00111698376889301
"61","cacao","Regions","Alliance",4,2024-01-20,0.00253004427577483,0.405465108108164,0.00102584467579548
"62","cocoa","Regions","Alliance",4,2024-01-20,0.00253004427577483,0.405465108108164,0.00102584467579548
"63","creating","Regions","Alliance",4,2024-01-20,0.00253004427577483,0.405465108108164,0.00102584467579548
"64","delivering","Regions","Alliance",4,2024-01-20,0.00253004427577483,0.405465108108164,0.00102584467579548
"65","indigenous","Regions","Alliance",4,2024-01-20,0.00253004427577483,0.405465108108164,0.00102584467579548
"66","peace","Regions","Alliance",4,2024-01-20,0.00253004427577483,0.405465108108164,0.00102584467579548
"67","sustain","Regions","Alliance",4,2024-01-20,0.00253004427577483,0.405465108108164,0.00102584467579548
"68","abiotic","Crops","Alliance",3,2024-01-20,0.000918273645546373,1.09861228866811,0.00100882671135731
