,word,category,institution,n,date,tf,idf,tf_idf
1,gtmevent,Grants,Bloomberg Philantrhopies,168,1/16/2024,0.014825274,0.980829253,0.014541062
2,chairman,Board Members,Bloomberg Philantrhopies,14,1/16/2024,0.014583333,0.980829253,0.01430376
3,chairman,People,Bloomberg Philantrhopies,14,1/16/2024,0.014583333,0.980829253,0.01430376
4,datalayer,Grants,Bloomberg Philantrhopies,126,1/16/2024,0.011118955,0.980829253,0.010905796
5,charter,Regions,Bloomberg Philantrhopies,28,1/16/2024,0.006205674,1.386294361,0.008602891
6,chile,Regions,Bloomberg Philantrhopies,24,1/16/2024,0.005319149,1.386294361,0.007373906
7,gtmevent,About,Bloomberg Philantrhopies,28,1/16/2024,0.007458711,0.980829253,0.007315722
8,linkurl,Grants,Bloomberg Philantrhopies,84,1/16/2024,0.007412637,0.980829253,0.007270531
9,tiletext,Grants,Bloomberg Philantrhopies,84,1/16/2024,0.007412637,0.980829253,0.007270531
10,datalayer,About,Bloomberg Philantrhopies,21,1/16/2024,0.005594033,0.980829253,0.005486791
11,explore,Grants,Bloomberg Philantrhopies,63,1/16/2024,0.005559478,0.980829253,0.005452898
12,denver,Regions,Bloomberg Philantrhopies,24,1/16/2024,0.005319149,0.980829253,0.005217177
13,amsterdam,Regions,Bloomberg Philantrhopies,16,1/16/2024,0.003546099,1.386294361,0.004915937
14,minnesota,Regions,Bloomberg Philantrhopies,16,1/16/2024,0.003546099,1.386294361,0.004915937
15,seats,Regions,Bloomberg Philantrhopies,16,1/16/2024,0.003546099,1.386294361,0.004915937
16,singapore,Regions,Bloomberg Philantrhopies,16,1/16/2024,0.003546099,1.386294361,0.004915937
17,vietnam,Regions,Bloomberg Philantrhopies,16,1/16/2024,0.003546099,1.386294361,0.004915937
18,schools,Regions,Bloomberg Philantrhopies,20,1/16/2024,0.004432624,0.980829253,0.004347647
19,chief,Board Members,Bloomberg Philantrhopies,4,1/16/2024,0.004166667,0.980829253,0.004086789
20,chief,People,Bloomberg Philantrhopies,4,1/16/2024,0.004166667,0.980829253,0.004086789
21,kuala,Regions,Bloomberg Philantrhopies,12,1/16/2024,0.002659574,1.386294361,0.003686953
22,lumpur,Regions,Bloomberg Philantrhopies,12,1/16/2024,0.002659574,1.386294361,0.003686953
23,tokyo,Regions,Bloomberg Philantrhopies,12,1/16/2024,0.002659574,1.386294361,0.003686953
24,chairman,About,Bloomberg Philantrhopies,14,1/16/2024,0.003729355,0.980829253,0.003657861
25,linkurl,About,Bloomberg Philantrhopies,14,1/16/2024,0.003729355,0.980829253,0.003657861
26,tiletext,About,Bloomberg Philantrhopies,14,1/16/2024,0.003729355,0.980829253,0.003657861
27,bubbles,Grants,Bloomberg Philantrhopies,42,1/16/2024,0.003706318,0.980829253,0.003635265
28,detail,Grants,Bloomberg Philantrhopies,42,1/16/2024,0.003706318,0.980829253,0.003635265
29,iftrue,Grants,Bloomberg Philantrhopies,42,1/16/2024,0.003706318,0.980829253,0.003635265
30,asphalt,Regions,Bloomberg Philantrhopies,16,1/16/2024,0.003546099,0.980829253,0.003478118
31,helped,Regions,Bloomberg Philantrhopies,16,1/16/2024,0.003546099,0.980829253,0.003478118
32,partnered,Regions,Bloomberg Philantrhopies,16,1/16/2024,0.003546099,0.980829253,0.003478118
33,bubbles,Programs,Bloomberg Philantrhopies,36,1/16/2024,0.003499222,0.980829253,0.00343214
34,detail,Programs,Bloomberg Philantrhopies,36,1/16/2024,0.003499222,0.980829253,0.00343214
35,iftrue,Programs,Bloomberg Philantrhopies,36,1/16/2024,0.003499222,0.980829253,0.00343214
36,basket,Press,Bloomberg Philantrhopies,3,1/16/2024,0.001612903,2.079441542,0.003353938
37,charter,Grants,Bloomberg Philantrhopies,26,1/16/2024,0.002294388,1.386294361,0.003180697
38,methane,Press,Bloomberg Philantrhopies,6,1/16/2024,0.003225806,0.980829253,0.003163965
39,emeritus,Board Members,Bloomberg Philantrhopies,3,1/16/2024,0.003125,0.980829253,0.003065091
40,emeritus,People,Bloomberg Philantrhopies,3,1/16/2024,0.003125,0.980829253,0.003065091
41,officer,Board Members,Bloomberg Philantrhopies,3,1/16/2024,0.003125,0.980829253,0.003065091
42,officer,People,Bloomberg Philantrhopies,3,1/16/2024,0.003125,0.980829253,0.003065091
43,hospital,Approach,Bloomberg Philantrhopies,18,1/16/2024,0.004021448,0.693147181,0.002787455
44,lobbying,Approach,Bloomberg Philantrhopies,12,1/16/2024,0.002680965,0.980829253,0.002629569
45,milan,Regions,Bloomberg Philantrhopies,12,1/16/2024,0.002659574,0.980829253,0.002608588
46,mumbai,Regions,Bloomberg Philantrhopies,12,1/16/2024,0.002659574,0.980829253,0.002608588
47,tanzania,Regions,Bloomberg Philantrhopies,12,1/16/2024,0.002659574,0.980829253,0.002608588
48,citylab,Regions,Bloomberg Philantrhopies,16,1/16/2024,0.003546099,0.693147181,0.002457969
49,launched,Regions,Bloomberg Philantrhopies,16,1/16/2024,0.003546099,0.693147181,0.002457969
50,london,Regions,Bloomberg Philantrhopies,16,1/16/2024,0.003546099,0.693147181,0.002457969
51,plants,Regions,Bloomberg Philantrhopies,16,1/16/2024,0.003546099,0.693147181,0.002457969
52,acres,Regions,Bloomberg Philantrhopies,8,1/16/2024,0.00177305,1.386294361,0.002457969
53,battery,Regions,Bloomberg Philantrhopies,8,1/16/2024,0.00177305,1.386294361,0.002457969
54,brought,Regions,Bloomberg Philantrhopies,8,1/16/2024,0.00177305,1.386294361,0.002457969
55,chapel,Regions,Bloomberg Philantrhopies,8,1/16/2024,0.00177305,1.386294361,0.002457969
56,covers,Regions,Bloomberg Philantrhopies,8,1/16/2024,0.00177305,1.386294361,0.002457969
57,elderly,Regions,Bloomberg Philantrhopies,8,1/16/2024,0.00177305,1.386294361,0.002457969
58,enliven,Regions,Bloomberg Philantrhopies,8,1/16/2024,0.00177305,1.386294361,0.002457969
59,examples,Regions,Bloomberg Philantrhopies,8,1/16/2024,0.00177305,1.386294361,0.002457969
60,heart,Regions,Bloomberg Philantrhopies,8,1/16/2024,0.00177305,1.386294361,0.002457969
61,hours,Regions,Bloomberg Philantrhopies,8,1/16/2024,0.00177305,1.386294361,0.002457969
62,increases,Regions,Bloomberg Philantrhopies,8,1/16/2024,0.00177305,1.386294361,0.002457969
63,israel,Regions,Bloomberg Philantrhopies,8,1/16/2024,0.00177305,1.386294361,0.002457969
64,lanes,Regions,Bloomberg Philantrhopies,8,1/16/2024,0.00177305,1.386294361,0.002457969
65,lessons,Regions,Bloomberg Philantrhopies,8,1/16/2024,0.00177305,1.386294361,0.002457969
66,lowincome,Regions,Bloomberg Philantrhopies,8,1/16/2024,0.00177305,1.386294361,0.002457969
67,marine,Regions,Bloomberg Philantrhopies,8,1/16/2024,0.00177305,1.386294361,0.002457969
68,mentoring,Regions,Bloomberg Philantrhopies,8,1/16/2024,0.00177305,1.386294361,0.002457969
69,middle,Regions,Bloomberg Philantrhopies,8,1/16/2024,0.00177305,1.386294361,0.002457969
70,miles,Regions,Bloomberg Philantrhopies,8,1/16/2024,0.00177305,1.386294361,0.002457969
71,oldest,Regions,Bloomberg Philantrhopies,8,1/16/2024,0.00177305,1.386294361,0.002457969
72,pisagua,Regions,Bloomberg Philantrhopies,8,1/16/2024,0.00177305,1.386294361,0.002457969
73,provinces,Regions,Bloomberg Philantrhopies,8,1/16/2024,0.00177305,1.386294361,0.002457969
74,storage,Regions,Bloomberg Philantrhopies,8,1/16/2024,0.00177305,1.386294361,0.002457969
75,survival,Regions,Bloomberg Philantrhopies,8,1/16/2024,0.00177305,1.386294361,0.002457969
76,swimming,Regions,Bloomberg Philantrhopies,8,1/16/2024,0.00177305,1.386294361,0.002457969
77,theaster,Regions,Bloomberg Philantrhopies,8,1/16/2024,0.00177305,1.386294361,0.002457969
78,areyebrow,Grants,Bloomberg Philantrhopies,20,1/16/2024,0.001764914,1.386294361,0.00244669
79,president,Board Members,Bloomberg Philantrhopies,8,1/16/2024,0.008333333,0.287682072,0.002397351
80,president,People,Bloomberg Philantrhopies,8,1/16/2024,0.008333333,0.287682072,0.002397351
81,explore,About,Bloomberg Philantrhopies,9,1/16/2024,0.002397443,0.980829253,0.002351482
82,gtmevent,Programs,Bloomberg Philantrhopies,24,1/16/2024,0.002332815,0.980829253,0.002288093
83,reach,Grants,Bloomberg Philantrhopies,26,1/16/2024,0.002294388,0.980829253,0.002250402
84,ambition,Press,Bloomberg Philantrhopies,3,1/16/2024,0.001612903,1.386294361,0.002235959
85,defense,Press,Bloomberg Philantrhopies,3,1/16/2024,0.001612903,1.386294361,0.002235959
86,firstever,Press,Bloomberg Philantrhopies,3,1/16/2024,0.001612903,1.386294361,0.002235959
87,governors,Press,Bloomberg Philantrhopies,3,1/16/2024,0.001612903,1.386294361,0.002235959
88,utility,Press,Bloomberg Philantrhopies,3,1/16/2024,0.001612903,1.386294361,0.002235959
89,weavers,Press,Bloomberg Philantrhopies,3,1/16/2024,0.001612903,1.386294361,0.002235959
90,actively,Press,Bloomberg Philantrhopies,2,1/16/2024,0.001075269,2.079441542,0.002235959
91,august,Press,Bloomberg Philantrhopies,2,1/16/2024,0.001075269,2.079441542,0.002235959
92,chemical,Press,Bloomberg Philantrhopies,2,1/16/2024,0.001075269,2.079441542,0.002235959
93,concept,Press,Bloomberg Philantrhopies,2,1/16/2024,0.001075269,2.079441542,0.002235959
94,council,Press,Bloomberg Philantrhopies,2,1/16/2024,0.001075269,2.079441542,0.002235959
95,earlier,Press,Bloomberg Philantrhopies,2,1/16/2024,0.001075269,2.079441542,0.002235959
96,emmanuel,Press,Bloomberg Philantrhopies,2,1/16/2024,0.001075269,2.079441542,0.002235959
97,macron,Press,Bloomberg Philantrhopies,2,1/16/2024,0.001075269,2.079441542,0.002235959
98,money,Press,Bloomberg Philantrhopies,2,1/16/2024,0.001075269,2.079441542,0.002235959
99,mount,Press,Bloomberg Philantrhopies,2,1/16/2024,0.001075269,2.079441542,0.002235959
100,proof,Press,Bloomberg Philantrhopies,2,1/16/2024,0.001075269,2.079441542,0.002235959
101,roots,Press,Bloomberg Philantrhopies,2,1/16/2024,0.001075269,2.079441542,0.002235959
102,slash,Press,Bloomberg Philantrhopies,2,1/16/2024,0.001075269,2.079441542,0.002235959
103,surveyed,Press,Bloomberg Philantrhopies,2,1/16/2024,0.001075269,2.079441542,0.002235959
104,arlpicons,Grants,Bloomberg Philantrhopies,12,1/16/2024,0.001058948,2.079441542,0.002202021
105,helped,Grants,Bloomberg Philantrhopies,25,1/16/2024,0.002206142,0.980829253,0.002163849
106,schools,Grants,Bloomberg Philantrhopies,25,1/16/2024,0.002206142,0.980829253,0.002163849
107,baltimore,Press,Bloomberg Philantrhopies,4,1/16/2024,0.002150538,0.980829253,0.00210931
