,word,category,institution,n,date,tf,idf,tf_idf
1,report,Learnings,Howard G. Buffet Foundation,18,1/16/2024,0.012526096,1.386294361,0.017364856
2,people,Learnings,Howard G. Buffet Foundation,9,1/16/2024,0.006263048,1.386294361,0.008682428
3,catalyze,About,Howard G. Buffet Foundation,23,1/16/2024,0.010483136,0.693147181,0.007266356
4,risks,About,Howard G. Buffet Foundation,11,1/16/2024,0.005013674,1.386294361,0.006950428
5,livesour,About,Howard G. Buffet Foundation,9,1/16/2024,0.004102097,1.386294361,0.005686713
6,etboc,Programs,Howard G. Buffet Foundation,6,1/16/2024,0.008032129,0.693147181,0.005567447
7,courage,Learnings,Howard G. Buffet Foundation,5,1/16/2024,0.003479471,1.386294361,0.004823571
8,farming,Learnings,Howard G. Buffet Foundation,5,1/16/2024,0.003479471,1.386294361,0.004823571
9,approach,Learnings,Howard G. Buffet Foundation,4,1/16/2024,0.002783577,1.386294361,0.003858857
10,cheetahs,Learnings,Howard G. Buffet Foundation,4,1/16/2024,0.002783577,1.386294361,0.003858857
11,document,Learnings,Howard G. Buffet Foundation,4,1/16/2024,0.002783577,1.386294361,0.003858857
12,eastern,Learnings,Howard G. Buffet Foundation,4,1/16/2024,0.002783577,1.386294361,0.003858857
13,natural,Learnings,Howard G. Buffet Foundation,4,1/16/2024,0.002783577,1.386294361,0.003858857
14,potential,Learnings,Howard G. Buffet Foundation,4,1/16/2024,0.002783577,1.386294361,0.003858857
15,spirit,Learnings,Howard G. Buffet Foundation,4,1/16/2024,0.002783577,1.386294361,0.003858857
16,struggle,Learnings,Howard G. Buffet Foundation,4,1/16/2024,0.002783577,1.386294361,0.003858857
17,survival,Learnings,Howard G. Buffet Foundation,4,1/16/2024,0.002783577,1.386294361,0.003858857
18,county,About,Howard G. Buffet Foundation,6,1/16/2024,0.002734731,1.386294361,0.003791142
19,mission,About,Howard G. Buffet Foundation,11,1/16/2024,0.005013674,0.693147181,0.003475214
20,taking,About,Howard G. Buffet Foundation,11,1/16/2024,0.005013674,0.693147181,0.003475214
21,illinois,About,Howard G. Buffet Foundation,5,1/16/2024,0.002278943,1.386294361,0.003159285
22,beauty,Learnings,Howard G. Buffet Foundation,3,1/16/2024,0.002087683,1.386294361,0.002894143
23,camera,Learnings,Howard G. Buffet Foundation,3,1/16/2024,0.002087683,1.386294361,0.002894143
24,clean,Learnings,Howard G. Buffet Foundation,3,1/16/2024,0.002087683,1.386294361,0.002894143
25,documents,Learnings,Howard G. Buffet Foundation,3,1/16/2024,0.002087683,1.386294361,0.002894143
26,fragile,Learnings,Howard G. Buffet Foundation,3,1/16/2024,0.002087683,1.386294361,0.002894143
27,future,Learnings,Howard G. Buffet Foundation,3,1/16/2024,0.002087683,1.386294361,0.002894143
28,nation,Learnings,Howard G. Buffet Foundation,3,1/16/2024,0.002087683,1.386294361,0.002894143
29,poverty,Learnings,Howard G. Buffet Foundation,3,1/16/2024,0.002087683,1.386294361,0.002894143
30,reflect,Learnings,Howard G. Buffet Foundation,3,1/16/2024,0.002087683,1.386294361,0.002894143
31,species,Learnings,Howard G. Buffet Foundation,3,1/16/2024,0.002087683,1.386294361,0.002894143
32,stories,Learnings,Howard G. Buffet Foundation,3,1/16/2024,0.002087683,1.386294361,0.002894143
33,today,Learnings,Howard G. Buffet Foundation,3,1/16/2024,0.002087683,1.386294361,0.002894143
34,change,About,Howard G. Buffet Foundation,22,1/16/2024,0.010027347,0.287682072,0.002884688
35,cheetah,Learnings,Howard G. Buffet Foundation,4,1/16/2024,0.002783577,0.693147181,0.001929428
36,access,Learnings,Howard G. Buffet Foundation,2,1/16/2024,0.001391788,1.386294361,0.001929428
37,animals,Learnings,Howard G. Buffet Foundation,2,1/16/2024,0.001391788,1.386294361,0.001929428
38,benefits,Learnings,Howard G. Buffet Foundation,2,1/16/2024,0.001391788,1.386294361,0.001929428
39,congo,Learnings,Howard G. Buffet Foundation,2,1/16/2024,0.001391788,1.386294361,0.001929428
40,continent,Learnings,Howard G. Buffet Foundation,2,1/16/2024,0.001391788,1.386294361,0.001929428
41,corridors,Learnings,Howard G. Buffet Foundation,2,1/16/2024,0.001391788,1.386294361,0.001929428
42,crossing,Learnings,Howard G. Buffet Foundation,2,1/16/2024,0.001391788,1.386294361,0.001929428
43,diversity,Learnings,Howard G. Buffet Foundation,2,1/16/2024,0.001391788,1.386294361,0.001929428
44,effective,Learnings,Howard G. Buffet Foundation,2,1/16/2024,0.001391788,1.386294361,0.001929428
45,fertility,Learnings,Howard G. Buffet Foundation,2,1/16/2024,0.001391788,1.386294361,0.001929428
46,forms,Learnings,Howard G. Buffet Foundation,2,1/16/2024,0.001391788,1.386294361,0.001929428
47,groups,Learnings,Howard G. Buffet Foundation,2,1/16/2024,0.001391788,1.386294361,0.001929428
48,growing,Learnings,Howard G. Buffet Foundation,2,1/16/2024,0.001391788,1.386294361,0.001929428
49,habitats,Learnings,Howard G. Buffet Foundation,2,1/16/2024,0.001391788,1.386294361,0.001929428
50,hopes,Learnings,Howard G. Buffet Foundation,2,1/16/2024,0.001391788,1.386294361,0.001929428
51,improved,Learnings,Howard G. Buffet Foundation,2,1/16/2024,0.001391788,1.386294361,0.001929428
52,increased,Learnings,Howard G. Buffet Foundation,2,1/16/2024,0.001391788,1.386294361,0.001929428
53,journey,Learnings,Howard G. Buffet Foundation,2,1/16/2024,0.001391788,1.386294361,0.001929428
54,kingdom,Learnings,Howard G. Buffet Foundation,2,1/16/2024,0.001391788,1.386294361,0.001929428
55,large,Learnings,Howard G. Buffet Foundation,2,1/16/2024,0.001391788,1.386294361,0.001929428
56,majority,Learnings,Howard G. Buffet Foundation,2,1/16/2024,0.001391788,1.386294361,0.001929428
57,meeting,Learnings,Howard G. Buffet Foundation,2,1/16/2024,0.001391788,1.386294361,0.001929428
58,portion,Learnings,Howard G. Buffet Foundation,2,1/16/2024,0.001391788,1.386294361,0.001929428
59,practical,Learnings,Howard G. Buffet Foundation,2,1/16/2024,0.001391788,1.386294361,0.001929428
60,reality,Learnings,Howard G. Buffet Foundation,2,1/16/2024,0.001391788,1.386294361,0.001929428
61,rejected,Learnings,Howard G. Buffet Foundation,2,1/16/2024,0.001391788,1.386294361,0.001929428
62,remains,Learnings,Howard G. Buffet Foundation,2,1/16/2024,0.001391788,1.386294361,0.001929428
63,response,Learnings,Howard G. Buffet Foundation,2,1/16/2024,0.001391788,1.386294361,0.001929428
64,south,Learnings,Howard G. Buffet Foundation,2,1/16/2024,0.001391788,1.386294361,0.001929428
65,story,Learnings,Howard G. Buffet Foundation,2,1/16/2024,0.001391788,1.386294361,0.001929428
66,tapestry,Learnings,Howard G. Buffet Foundation,2,1/16/2024,0.001391788,1.386294361,0.001929428
67,types,Learnings,Howard G. Buffet Foundation,2,1/16/2024,0.001391788,1.386294361,0.001929428
68,variety,Learnings,Howard G. Buffet Foundation,2,1/16/2024,0.001391788,1.386294361,0.001929428
69,written,Learnings,Howard G. Buffet Foundation,2,1/16/2024,0.001391788,1.386294361,0.001929428
70,campus,Regions,Howard G. Buffet Foundation,1,1/16/2024,0.00137741,1.386294361,0.001909496
71,emphasis,Regions,Howard G. Buffet Foundation,1,1/16/2024,0.00137741,1.386294361,0.001909496
