,word,category,institution,n,date,tf,idf,tf_idf
1,chief,People,IKEA Foundation,6,1/18/2024,0.022140221,1.609437912,0.035633312
2,officer,People,IKEA Foundation,5,1/18/2024,0.018450185,1.609437912,0.029694426
3,evaluation,Learnings,IKEA Foundation,52,1/18/2024,0.015625,1.609437912,0.025147467
4,director,People,IKEA Foundation,2,1/18/2024,0.007380074,1.609437912,0.011877771
5,ingka,About,IKEA Foundation,12,1/18/2024,0.007371007,1.609437912,0.011863179
6,geographic,Grantmaking,IKEA Foundation,4,1/18/2024,0.00617284,1.609437912,0.009934802
7,stichting,Grantmaking,IKEA Foundation,4,1/18/2024,0.00617284,1.609437912,0.009934802
8,total,Grantmaking,IKEA Foundation,4,1/18/2024,0.00617284,1.609437912,0.009934802
9,international,Grantmaking,IKEA Foundation,7,1/18/2024,0.010802469,0.916290732,0.009898202
10,ladder,Learnings,IKEA Foundation,18,1/18/2024,0.005408654,1.609437912,0.008704893
11,phase,Learnings,IKEA Foundation,17,1/18/2024,0.005108173,1.609437912,0.008221287
12,kamprad,About,IKEA Foundation,8,1/18/2024,0.004914005,1.609437912,0.007908786
13,programs,Grantmaking,IKEA Foundation,3,1/18/2024,0.00462963,1.609437912,0.007451101
14,council,Grantmaking,IKEA Foundation,5,1/18/2024,0.007716049,0.916290732,0.007070145
15,charitable,About,IKEA Foundation,7,1/18/2024,0.004299754,1.609437912,0.006920188
16,communities,Programs,IKEA Foundation,18,1/18/2024,0.006526468,0.916290732,0.005980143
17,amanda,People,IKEA Foundation,1,1/18/2024,0.003690037,1.609437912,0.005938885
18,anderen,People,IKEA Foundation,1,1/18/2024,0.003690037,1.609437912,0.005938885
19,berends,People,IKEA Foundation,1,1/18/2024,0.003690037,1.609437912,0.005938885
20,bezerra,People,IKEA Foundation,1,1/18/2024,0.003690037,1.609437912,0.005938885
21,christa,People,IKEA Foundation,1,1/18/2024,0.003690037,1.609437912,0.005938885
22,coady,People,IKEA Foundation,1,1/18/2024,0.003690037,1.609437912,0.005938885
23,common,People,IKEA Foundation,1,1/18/2024,0.003690037,1.609437912,0.005938885
24,counsel,People,IKEA Foundation,1,1/18/2024,0.003690037,1.609437912,0.005938885
25,creative,People,IKEA Foundation,1,1/18/2024,0.003690037,1.609437912,0.005938885
26,derksen,People,IKEA Foundation,1,1/18/2024,0.003690037,1.609437912,0.005938885
27,diverse,People,IKEA Foundation,1,1/18/2024,0.003690037,1.609437912,0.005938885
28,diversity,People,IKEA Foundation,1,1/18/2024,0.003690037,1.609437912,0.005938885
29,elizabeth,People,IKEA Foundation,1,1/18/2024,0.003690037,1.609437912,0.005938885
30,executive,People,IKEA Foundation,1,1/18/2024,0.003690037,1.609437912,0.005938885
31,feike,People,IKEA Foundation,1,1/18/2024,0.003690037,1.609437912,0.005938885
32,haileselassie,People,IKEA Foundation,1,1/18/2024,0.003690037,1.609437912,0.005938885
33,huisman,People,IKEA Foundation,1,1/18/2024,0.003690037,1.609437912,0.005938885
34,individuals,People,IKEA Foundation,1,1/18/2024,0.003690037,1.609437912,0.005938885
35,jessica,People,IKEA Foundation,1,1/18/2024,0.003690037,1.609437912,0.005938885
36,johannisse,People,IKEA Foundation,1,1/18/2024,0.003690037,1.609437912,0.005938885
37,jordi,People,IKEA Foundation,1,1/18/2024,0.003690037,1.609437912,0.005938885
38,kyriakakis,People,IKEA Foundation,1,1/18/2024,0.003690037,1.609437912,0.005938885
39,marilia,People,IKEA Foundation,1,1/18/2024,0.003690037,1.609437912,0.005938885
40,mckeon,People,IKEA Foundation,1,1/18/2024,0.003690037,1.609437912,0.005938885
41,medhin,People,IKEA Foundation,1,1/18/2024,0.003690037,1.609437912,0.005938885
42,pursue,People,IKEA Foundation,1,1/18/2024,0.003690037,1.609437912,0.005938885
43,single,People,IKEA Foundation,1,1/18/2024,0.003690037,1.609437912,0.005938885
44,staff,People,IKEA Foundation,1,1/18/2024,0.003690037,1.609437912,0.005938885
45,stelios,People,IKEA Foundation,1,1/18/2024,0.003690037,1.609437912,0.005938885
46,successfully,People,IKEA Foundation,1,1/18/2024,0.003690037,1.609437912,0.005938885
47,truus,People,IKEA Foundation,1,1/18/2024,0.003690037,1.609437912,0.005938885
48,granted,Grantmaking,IKEA Foundation,4,1/18/2024,0.00617284,0.916290732,0.005656116
49,institute,Grantmaking,IKEA Foundation,7,1/18/2024,0.010802469,0.510825624,0.005518178
50,performance,Learnings,IKEA Foundation,19,1/18/2024,0.005709135,0.916290732,0.005231227
51,climate,Grantmaking,IKEA Foundation,15,1/18/2024,0.023148148,0.223143551,0.00516536
52,accounting,Grantmaking,IKEA Foundation,2,1/18/2024,0.00308642,1.609437912,0.004967401
53,bangladesh,Grantmaking,IKEA Foundation,2,1/18/2024,0.00308642,1.609437912,0.004967401
54,committee,Grantmaking,IKEA Foundation,2,1/18/2024,0.00308642,1.609437912,0.004967401
55,dataset,Grantmaking,IKEA Foundation,2,1/18/2024,0.00308642,1.609437912,0.004967401
56,displacement,Grantmaking,IKEA Foundation,2,1/18/2024,0.00308642,1.609437912,0.004967401
57,donation,Grantmaking,IKEA Foundation,2,1/18/2024,0.00308642,1.609437912,0.004967401
58,ecological,Grantmaking,IKEA Foundation,2,1/18/2024,0.00308642,1.609437912,0.004967401
59,financials,Grantmaking,IKEA Foundation,2,1/18/2024,0.00308642,1.609437912,0.004967401
60,included,Grantmaking,IKEA Foundation,2,1/18/2024,0.00308642,1.609437912,0.004967401
61,nederland,Grantmaking,IKEA Foundation,2,1/18/2024,0.00308642,1.609437912,0.004967401
62,reach,Grantmaking,IKEA Foundation,2,1/18/2024,0.00308642,1.609437912,0.004967401
63,foundations,About,IKEA Foundation,5,1/18/2024,0.003071253,1.609437912,0.004942991
64,ingvar,About,IKEA Foundation,5,1/18/2024,0.003071253,1.609437912,0.004942991
65,development,Grantmaking,IKEA Foundation,6,1/18/2024,0.009259259,0.510825624,0.004729867
66,board,About,IKEA Foundation,14,1/18/2024,0.008599509,0.510825624,0.004392849
67,implementing,Learnings,IKEA Foundation,9,1/18/2024,0.002704327,1.609437912,0.004352446
68,refugees,Programs,IKEA Foundation,13,1/18/2024,0.004713561,0.916290732,0.004318992
69,programme,Learnings,IKEA Foundation,28,1/18/2024,0.008413462,0.510825624,0.004297812
70,forum,Grantmaking,IKEA Foundation,3,1/18/2024,0.00462963,0.916290732,0.004242087
71,innovation,Grantmaking,IKEA Foundation,3,1/18/2024,0.00462963,0.916290732,0.004242087
72,partnership,Grantmaking,IKEA Foundation,3,1/18/2024,0.00462963,0.916290732,0.004242087
73,articles,Programs,IKEA Foundation,7,1/18/2024,0.002538071,1.609437912,0.004084868
74,entrepreneurs,Programs,IKEA Foundation,7,1/18/2024,0.002538071,1.609437912,0.004084868
75,helping,Programs,IKEA Foundation,12,1/18/2024,0.004350979,0.916290732,0.003986762
76,concern,About,IKEA Foundation,4,1/18/2024,0.002457002,1.609437912,0.003954393
77,directors,About,IKEA Foundation,4,1/18/2024,0.002457002,1.609437912,0.003954393
78,raise,About,IKEA Foundation,4,1/18/2024,0.002457002,1.609437912,0.003954393
79,centre,Grantmaking,IKEA Foundation,5,1/18/2024,0.007716049,0.510825624,0.003941556
80,global,Grantmaking,IKEA Foundation,11,1/18/2024,0.016975309,0.223143551,0.003787931
81,mount,Learnings,IKEA Foundation,7,1/18/2024,0.002103365,1.609437912,0.003385236
82,strategy,Learnings,IKEA Foundation,7,1/18/2024,0.002103365,1.609437912,0.003385236
83,dynamic,People,IKEA Foundation,1,1/18/2024,0.003690037,0.916290732,0.003381147
84,finance,People,IKEA Foundation,1,1/18/2024,0.003690037,0.916290732,0.003381147
85,general,People,IKEA Foundation,1,1/18/2024,0.003690037,0.916290732,0.003381147
86,operations,People,IKEA Foundation,1,1/18/2024,0.003690037,0.916290732,0.003381147
87,vision,People,IKEA Foundation,1,1/18/2024,0.003690037,0.916290732,0.003381147
88,communities,About,IKEA Foundation,6,1/18/2024,0.003685504,0.916290732,0.003376993
89,purpose,About,IKEA Foundation,6,1/18/2024,0.003685504,0.916290732,0.003376993
90,vulnerable,About,IKEA Foundation,6,1/18/2024,0.003685504,0.916290732,0.003376993
91,amount,Grantmaking,IKEA Foundation,4,1/18/2024,0.00617284,0.510825624,0.003153245
92,nations,Grantmaking,IKEA Foundation,4,1/18/2024,0.00617284,0.510825624,0.003153245
93,partner,Grantmaking,IKEA Foundation,4,1/18/2024,0.00617284,0.510825624,0.003153245
94,dollo,Learnings,IKEA Foundation,11,1/18/2024,0.003305288,0.916290732,0.003028605
95,landscape,Learnings,IKEA Foundation,11,1/18/2024,0.003305288,0.916290732,0.003028605
96,targets,Learnings,IKEA Foundation,11,1/18/2024,0.003305288,0.916290732,0.003028605
97,achieves,About,IKEA Foundation,3,1/18/2024,0.001842752,1.609437912,0.002965795
98,creating,About,IKEA Foundation,3,1/18/2024,0.001842752,1.609437912,0.002965795
99,dividends,About,IKEA Foundation,3,1/18/2024,0.001842752,1.609437912,0.002965795
100,ethical,About,IKEA Foundation,3,1/18/2024,0.001842752,1.609437912,0.002965795
101,funds,About,IKEA Foundation,3,1/18/2024,0.001842752,1.609437912,0.002965795
102,longterm,About,IKEA Foundation,3,1/18/2024,0.001842752,1.609437912,0.002965795
103,seats,About,IKEA Foundation,3,1/18/2024,0.001842752,1.609437912,0.002965795
104,ultimate,About,IKEA Foundation,3,1/18/2024,0.001842752,1.609437912,0.002965795
105,changemakers,Programs,IKEA Foundation,5,1/18/2024,0.001812908,1.609437912,0.002917763
106,certificate,Learnings,IKEA Foundation,6,1/18/2024,0.001802885,1.609437912,0.002901631
107,effectiveness,Learnings,IKEA Foundation,6,1/18/2024,0.001802885,1.609437912,0.002901631
108,science,Learnings,IKEA Foundation,6,1/18/2024,0.001802885,1.609437912,0.002901631
109,agricultural,Grantmaking,IKEA Foundation,2,1/18/2024,0.00308642,0.916290732,0.002828058
110,archive,Grantmaking,IKEA Foundation,2,1/18/2024,0.00308642,0.916290732,0.002828058
111,carbon,Grantmaking,IKEA Foundation,2,1/18/2024,0.00308642,0.916290732,0.002828058
112,european,Grantmaking,IKEA Foundation,2,1/18/2024,0.00308642,0.916290732,0.002828058
113,increase,Grantmaking,IKEA Foundation,2,1/18/2024,0.00308642,0.916290732,0.002828058
114,initiative,Grantmaking,IKEA Foundation,2,1/18/2024,0.00308642,0.916290732,0.002828058
115,kenya,Grantmaking,IKEA Foundation,2,1/18/2024,0.00308642,0.916290732,0.002828058
116,netherlands,Grantmaking,IKEA Foundation,2,1/18/2024,0.00308642,0.916290732,0.002828058
117,organisation,Grantmaking,IKEA Foundation,2,1/18/2024,0.00308642,0.916290732,0.002828058
118,philanthropy,Grantmaking,IKEA Foundation,2,1/18/2024,0.00308642,0.916290732,0.002828058
119,purpose,Grantmaking,IKEA Foundation,2,1/18/2024,0.00308642,0.916290732,0.002828058
120,resilience,Grantmaking,IKEA Foundation,2,1/18/2024,0.00308642,0.916290732,0.002828058
121,special,Grantmaking,IKEA Foundation,2,1/18/2024,0.00308642,0.916290732,0.002828058
122,urban,Grantmaking,IKEA Foundation,2,1/18/2024,0.00308642,0.916290732,0.002828058
123,support,About,IKEA Foundation,9,1/18/2024,0.005528256,0.510825624,0.002823975
124,energy,Grantmaking,IKEA Foundation,8,1/18/2024,0.012345679,0.223143551,0.002754859
125,shareaction,Learnings,IKEA Foundation,10,1/18/2024,0.003004808,0.916290732,0.002753277
126,living,Programs,IKEA Foundation,8,1/18/2024,0.002900653,0.916290732,0.002657841
127,response,Programs,IKEA Foundation,8,1/18/2024,0.002900653,0.916290732,0.002657841
128,create,About,IKEA Foundation,8,1/18/2024,0.004914005,0.510825624,0.0025102
129,aceli,Grantmaking,IKEA Foundation,1,1/18/2024,0.00154321,1.609437912,0.0024837
130,acumen,Grantmaking,IKEA Foundation,1,1/18/2024,0.00154321,1.609437912,0.0024837
131,addition,Grantmaking,IKEA Foundation,1,1/18/2024,0.00154321,1.609437912,0.0024837
132,adelphi,Grantmaking,IKEA Foundation,1,1/18/2024,0.00154321,1.609437912,0.0024837
133,advancement,Grantmaking,IKEA Foundation,1,1/18/2024,0.00154321,1.609437912,0.0024837
134,african,Grantmaking,IKEA Foundation,1,1/18/2024,0.00154321,1.609437912,0.0024837
135,agroecology,Grantmaking,IKEA Foundation,1,1/18/2024,0.00154321,1.609437912,0.0024837
136,american,Grantmaking,IKEA Foundation,1,1/18/2024,0.00154321,1.609437912,0.0024837
137,ashoka,Grantmaking,IKEA Foundation,1,1/18/2024,0.00154321,1.609437912,0.0024837
138,aspen,Grantmaking,IKEA Foundation,1,1/18/2024,0.00154321,1.609437912,0.0024837
139,benchmarking,Grantmaking,IKEA Foundation,1,1/18/2024,0.00154321,1.609437912,0.0024837
140,biovision,Grantmaking,IKEA Foundation,1,1/18/2024,0.00154321,1.609437912,0.0024837
