"","word","category","institution","n","date","tf","idf","tf_idf"
"1","evaluation","Learnings","IKEA Foundation",52,2024-01-20,0.015625,1.09861228866811,0.0171658170104392
"2","communities","Programs","IKEA Foundation",15,2024-01-20,0.00618301731244847,1.09861228866811,0.00679273880050356
"3","geographic","Grantmaking","IKEA Foundation",4,2024-01-20,0.00617283950617284,1.09861228866811,0.00678155733745747
"4","granted","Grantmaking","IKEA Foundation",4,2024-01-20,0.00617283950617284,1.09861228866811,0.00678155733745747
"5","stichting","Grantmaking","IKEA Foundation",4,2024-01-20,0.00617283950617284,1.09861228866811,0.00678155733745747
"6","total","Grantmaking","IKEA Foundation",4,2024-01-20,0.00617283950617284,1.09861228866811,0.00678155733745747
"7","performance","Learnings","IKEA Foundation",19,2024-01-20,0.00570913461538462,1.09861228866811,0.00627212544612202
"8","ladder","Learnings","IKEA Foundation",18,2024-01-20,0.00540865384615385,1.09861228866811,0.00594201358053665
"9","phase","Learnings","IKEA Foundation",17,2024-01-20,0.00510817307692308,1.09861228866811,0.00561190171495128
"10","refugees","Programs","IKEA Foundation",12,2024-01-20,0.00494641384995878,1.09861228866811,0.00543419104040285
"11","programs","Grantmaking","IKEA Foundation",3,2024-01-20,0.00462962962962963,1.09861228866811,0.0050861680030931
"12","international","Grantmaking","IKEA Foundation",7,2024-01-20,0.0108024691358025,0.405465108108164,0.00438002431598326
"13","development","Grantmaking","IKEA Foundation",6,2024-01-20,0.00925925925925926,0.405465108108164,0.00375430655655708
"14","landscape","Learnings","IKEA Foundation",11,2024-01-20,0.00330528846153846,1.09861228866811,0.00363123052143906
"15","programme","Learnings","IKEA Foundation",28,2024-01-20,0.00841346153846154,0.405465108108164,0.00341136509225619
"16","accounting","Grantmaking","IKEA Foundation",2,2024-01-20,0.00308641975308642,1.09861228866811,0.00339077866872873
"17","bangladesh","Grantmaking","IKEA Foundation",2,2024-01-20,0.00308641975308642,1.09861228866811,0.00339077866872873
"18","committee","Grantmaking","IKEA Foundation",2,2024-01-20,0.00308641975308642,1.09861228866811,0.00339077866872873
"19","dataset","Grantmaking","IKEA Foundation",2,2024-01-20,0.00308641975308642,1.09861228866811,0.00339077866872873
"20","displacement","Grantmaking","IKEA Foundation",2,2024-01-20,0.00308641975308642,1.09861228866811,0.00339077866872873
"21","donation","Grantmaking","IKEA Foundation",2,2024-01-20,0.00308641975308642,1.09861228866811,0.00339077866872873
"22","ecological","Grantmaking","IKEA Foundation",2,2024-01-20,0.00308641975308642,1.09861228866811,0.00339077866872873
"23","financials","Grantmaking","IKEA Foundation",2,2024-01-20,0.00308641975308642,1.09861228866811,0.00339077866872873
"24","included","Grantmaking","IKEA Foundation",2,2024-01-20,0.00308641975308642,1.09861228866811,0.00339077866872873
"25","nederland","Grantmaking","IKEA Foundation",2,2024-01-20,0.00308641975308642,1.09861228866811,0.00339077866872873
"26","philanthropy","Grantmaking","IKEA Foundation",2,2024-01-20,0.00308641975308642,1.09861228866811,0.00339077866872873
"27","purpose","Grantmaking","IKEA Foundation",2,2024-01-20,0.00308641975308642,1.09861228866811,0.00339077866872873
"28","reach","Grantmaking","IKEA Foundation",2,2024-01-20,0.00308641975308642,1.09861228866811,0.00339077866872873
"29","articles","Programs","IKEA Foundation",7,2024-01-20,0.00288540807914262,1.09861228866811,0.00316994477356833
"30","helping","Programs","IKEA Foundation",7,2024-01-20,0.00288540807914262,1.09861228866811,0.00316994477356833
"31","systems","Programs","IKEA Foundation",7,2024-01-20,0.00288540807914262,1.09861228866811,0.00316994477356833
"32","council","Grantmaking","IKEA Foundation",5,2024-01-20,0.00771604938271605,0.405465108108164,0.0031285887971309
"33","implementing","Learnings","IKEA Foundation",9,2024-01-20,0.00270432692307692,1.09861228866811,0.00297100679026833
"34","entrepreneurs","Programs","IKEA Foundation",6,2024-01-20,0.00247320692497939,1.09861228866811,0.00271709552020143
"35","living","Programs","IKEA Foundation",6,2024-01-20,0.00247320692497939,1.09861228866811,0.00271709552020143
"36","amount","Grantmaking","IKEA Foundation",4,2024-01-20,0.00617283950617284,0.405465108108164,0.00250287103770472
