,word,category,institution,n,date,tf,idf,tf_idf
1,charter,Board of Directors,Mc Arthur Foundation,4,1/16/2024,0.017241379,2.079441542,0.03585244
2,nigerian,Regions,Mc Arthur Foundation,15,1/16/2024,0.013599275,2.079441542,0.028278897
3,member,People,Mc Arthur Foundation,24,1/16/2024,0.019851117,1.386294361,0.027519491
4,labels,Grants,Mc Arthur Foundation,21,1/16/2024,0.013059701,2.079441542,0.027156886
5,accepting,Grantmaking,Mc Arthur Foundation,13,1/16/2024,0.023339318,0.980829253,0.022891886
6,elected,People,Mc Arthur Foundation,13,1/16/2024,0.010752688,2.079441542,0.022359586
7,break,Grants,Mc Arthur Foundation,21,1/16/2024,0.013059701,1.386294361,0.018104591
8,audit,Board of Directors,Mc Arthur Foundation,3,1/16/2024,0.012931034,1.386294361,0.01792622
9,articles,Board of Directors,Mc Arthur Foundation,2,1/16/2024,0.00862069,2.079441542,0.01792622
10,bylaws,Board of Directors,Mc Arthur Foundation,2,1/16/2024,0.00862069,2.079441542,0.01792622
11,standing,Board of Directors,Mc Arthur Foundation,2,1/16/2024,0.00862069,2.079441542,0.01792622
12,academy,People,Mc Arthur Foundation,10,1/16/2024,0.008271299,2.079441542,0.017199682
13,served,People,Mc Arthur Foundation,10,1/16/2024,0.008271299,2.079441542,0.017199682
14,fellow,People,Mc Arthur Foundation,9,1/16/2024,0.007444169,2.079441542,0.015479714
15,palfrey,People,Mc Arthur Foundation,9,1/16/2024,0.007444169,2.079441542,0.015479714
16,committee,Board of Directors,Mc Arthur Foundation,5,1/16/2024,0.021551724,0.693147181,0.014938517
17,committee,People,Mc Arthur Foundation,25,1/16/2024,0.020678246,0.693147181,0.014333068
18,ticks,Grants,Mc Arthur Foundation,11,1/16/2024,0.006840796,2.079441542,0.014225035
19,school,People,Mc Arthur Foundation,8,1/16/2024,0.006617039,2.079441542,0.013759746
20,portfolio,Grants,Mc Arthur Foundation,22,1/16/2024,0.013681592,0.980829253,0.013419306
21,dataset,Grants,Mc Arthur Foundation,10,1/16/2024,0.006218905,2.079441542,0.01293185
22,choices,Learnings,Mc Arthur Foundation,4,1/16/2024,0.006051437,2.079441542,0.01258361
23,director,People,Mc Arthur Foundation,15,1/16/2024,0.012406948,0.980829253,0.012169097
24,total,Grants,Mc Arthur Foundation,14,1/16/2024,0.008706468,1.386294361,0.012069727
25,approves,Board of Directors,Mc Arthur Foundation,2,1/16/2024,0.00862069,1.386294361,0.011950813
26,basis,Board of Directors,Mc Arthur Foundation,2,1/16/2024,0.00862069,1.386294361,0.011950813
27,nigerians,Regions,Mc Arthur Foundation,6,1/16/2024,0.00543971,2.079441542,0.011311559
28,answers,Grantmaking,Mc Arthur Foundation,3,1/16/2024,0.005385996,2.079441542,0.011199865
29,asked,Grantmaking,Mc Arthur Foundation,3,1/16/2024,0.005385996,2.079441542,0.011199865
30,workplace,Grantmaking,Mc Arthur Foundation,3,1/16/2024,0.005385996,2.079441542,0.011199865
31,board,Board of Directors,Mc Arthur Foundation,9,1/16/2024,0.038793103,0.287682072,0.01116008
32,assets,Grants,Mc Arthur Foundation,18,1/16/2024,0.01119403,0.980829253,0.010979432
33,society,Regions,Mc Arthur Foundation,17,1/16/2024,0.015412511,0.693147181,0.010683139
34,evaluate,Learnings,Mc Arthur Foundation,7,1/16/2024,0.010590015,0.980829253,0.010386997
35,senior,People,Mc Arthur Foundation,9,1/16/2024,0.007444169,1.386294361,0.010319809
36,chairs,People,Mc Arthur Foundation,6,1/16/2024,0.004962779,2.079441542,0.010319809
37,harvard,People,Mc Arthur Foundation,6,1/16/2024,0.004962779,2.079441542,0.010319809
38,manyika,People,Mc Arthur Foundation,6,1/16/2024,0.004962779,2.079441542,0.010319809
39,sciences,People,Mc Arthur Foundation,6,1/16/2024,0.004962779,2.079441542,0.010319809
40,simmons,People,Mc Arthur Foundation,6,1/16/2024,0.004962779,2.079441542,0.010319809
41,prevent,Regions,Mc Arthur Foundation,5,1/16/2024,0.004533092,2.079441542,0.009426299
42,learning,Learnings,Mc Arthur Foundation,13,1/16/2024,0.019667171,0.470003629,0.009243642
43,council,People,Mc Arthur Foundation,8,1/16/2024,0.006617039,1.386294361,0.009173164
44,const,Grants,Mc Arthur Foundation,7,1/16/2024,0.004353234,2.079441542,0.009052295
45,appoints,Board of Directors,Mc Arthur Foundation,1,1/16/2024,0.004310345,2.079441542,0.00896311
46,charters,Board of Directors,Mc Arthur Foundation,1,1/16/2024,0.004310345,2.079441542,0.00896311
47,direction,Board of Directors,Mc Arthur Foundation,1,1/16/2024,0.004310345,2.079441542,0.00896311
48,excess,Board of Directors,Mc Arthur Foundation,1,1/16/2024,0.004310345,2.079441542,0.00896311
49,found,Board of Directors,Mc Arthur Foundation,1,1/16/2024,0.004310345,2.079441542,0.00896311
50,hisher,Board of Directors,Mc Arthur Foundation,1,1/16/2024,0.004310345,2.079441542,0.00896311
51,serves,People,Mc Arthur Foundation,11,1/16/2024,0.009098428,0.980829253,0.008924005
52,civil,Regions,Mc Arthur Foundation,14,1/16/2024,0.012692656,0.693147181,0.008797879
53,managers,Grants,Mc Arthur Foundation,10,1/16/2024,0.006218905,1.386294361,0.008621234
54,boards,People,Mc Arthur Foundation,5,1/16/2024,0.004135649,2.079441542,0.008599841
55,james,People,Mc Arthur Foundation,5,1/16/2024,0.004135649,2.079441542,0.008599841
56,katzman,People,Mc Arthur Foundation,5,1/16/2024,0.004135649,2.079441542,0.008599841
57,minow,People,Mc Arthur Foundation,5,1/16/2024,0.004135649,2.079441542,0.008599841
58,muñoz,People,Mc Arthur Foundation,5,1/16/2024,0.004135649,2.079441542,0.008599841
59,professor,People,Mc Arthur Foundation,5,1/16/2024,0.004135649,2.079441542,0.008599841
60,budget,Board of Directors,Mc Arthur Foundation,2,1/16/2024,0.00862069,0.980829253,0.008455425
61,director,Board of Directors,Mc Arthur Foundation,2,1/16/2024,0.00862069,0.980829253,0.008455425
62,board,People,Mc Arthur Foundation,35,1/16/2024,0.028949545,0.287682072,0.008328265
63,president,People,Mc Arthur Foundation,21,1/16/2024,0.017369727,0.470003629,0.008163835
64,btnarrow,Grants,Mc Arthur Foundation,6,1/16/2024,0.003731343,2.079441542,0.00775911
65,returns,Grants,Mc Arthur Foundation,6,1/16/2024,0.003731343,2.079441542,0.00775911
66,native,About,Mc Arthur Foundation,11,1/16/2024,0.003703704,2.079441542,0.007701635
67,demand,Regions,Mc Arthur Foundation,6,1/16/2024,0.00543971,1.386294361,0.007541039
68,commonly,Grantmaking,Mc Arthur Foundation,3,1/16/2024,0.005385996,1.386294361,0.007466576
69,indirect,Grantmaking,Mc Arthur Foundation,2,1/16/2024,0.003590664,2.079441542,0.007466576
70,inquiry,Grantmaking,Mc Arthur Foundation,2,1/16/2024,0.003590664,2.079441542,0.007466576
71,start,Grantmaking,Mc Arthur Foundation,2,1/16/2024,0.003590664,2.079441542,0.007466576
72,inclusive,About,Mc Arthur Foundation,15,1/16/2024,0.005050505,1.386294361,0.007001487
73,reduce,Regions,Mc Arthur Foundation,11,1/16/2024,0.009972801,0.693147181,0.006912619
74,bellrose,People,Mc Arthur Foundation,4,1/16/2024,0.003308519,2.079441542,0.006879873
75,cancer,People,Mc Arthur Foundation,4,1/16/2024,0.003308519,2.079441542,0.006879873
76,colleges,People,Mc Arthur Foundation,4,1/16/2024,0.003308519,2.079441542,0.006879873
77,institute,People,Mc Arthur Foundation,4,1/16/2024,0.003308519,2.079441542,0.006879873
78,salgado,People,Mc Arthur Foundation,4,1/16/2024,0.003308519,2.079441542,0.006879873
79,financial,Grants,Mc Arthur Foundation,11,1/16/2024,0.006840796,0.980829253,0.006709653
80,callback,Grants,Mc Arthur Foundation,5,1/16/2024,0.003109453,2.079441542,0.006465925
