"","word","category","institution","n","date","tf","idf","tf_idf"
"1","corruption","Regions","Mc Arthur Foundation",39,2024-01-19,0.0254901960784314,1.38629436111989,0.0353369150873698
"2","charter","Board of Directors","Mc Arthur Foundation",4,2024-01-19,0.0131578947368421,2.07944154167984,0.0273610729168399
"3","member","People","Mc Arthur Foundation",24,2024-01-19,0.0155743024010383,1.38629436111989,0.0215905675969353
"4","nigerian","Regions","Mc Arthur Foundation",15,2024-01-19,0.00980392156862745,2.07944154167984,0.0203866817811749
"5","labels","Grants","Mc Arthur Foundation",21,2024-01-19,0.00954979536152797,2.07944154167984,0.0198582411893027
"6","committees","Board of Directors","Mc Arthur Foundation",4,2024-01-19,0.0131578947368421,1.38629436111989,0.0182407152778933
"7","compensation","Board of Directors","Mc Arthur Foundation",4,2024-01-19,0.0131578947368421,1.38629436111989,0.0182407152778933
"8","elected","People","Mc Arthur Foundation",13,2024-01-19,0.00843608046722907,2.07944154167984,0.01754233617251
"9","accepting","Grantmaking","Mc Arthur Foundation",13,2024-01-19,0.0174496644295302,0.980829253011726,0.0171151413277214
"10","audit","Board of Directors","Mc Arthur Foundation",3,2024-01-19,0.00986842105263158,1.38629436111989,0.01368053645842
"11","articles","Board of Directors","Mc Arthur Foundation",2,2024-01-19,0.00657894736842105,2.07944154167984,0.01368053645842
"12","bylaws","Board of Directors","Mc Arthur Foundation",2,2024-01-19,0.00657894736842105,2.07944154167984,0.01368053645842
"13","incorporation","Board of Directors","Mc Arthur Foundation",2,2024-01-19,0.00657894736842105,2.07944154167984,0.01368053645842
"14","standing","Board of Directors","Mc Arthur Foundation",2,2024-01-19,0.00657894736842105,2.07944154167984,0.01368053645842
"15","academy","People","Mc Arthur Foundation",10,2024-01-19,0.00648929266709929,2.07944154167984,0.0134941047480846
"16","served","People","Mc Arthur Foundation",10,2024-01-19,0.00648929266709929,2.07944154167984,0.0134941047480846
"17","break","Grants","Mc Arthur Foundation",21,2024-01-19,0.00954979536152797,1.38629436111989,0.0132388274595351
"18","fellow","People","Mc Arthur Foundation",9,2024-01-19,0.00584036340038936,2.07944154167984,0.0121446942732761
"19","palfrey","People","Mc Arthur Foundation",9,2024-01-19,0.00584036340038936,2.07944154167984,0.0121446942732761
"20","committee","Board of Directors","Mc Arthur Foundation",5,2024-01-19,0.0164473684210526,0.693147180559945,0.0114004470486833
"21","committee","People","Mc Arthur Foundation",25,2024-01-19,0.0162232316677482,0.693147180559945,0.0112450872900705
"22","school","People","Mc Arthur Foundation",8,2024-01-19,0.00519143413367943,2.07944154167984,0.0107952837984677
"23","stafftitletwo","People","Mc Arthur Foundation",8,2024-01-19,0.00519143413367943,2.07944154167984,0.0107952837984677
"24","ticks","Grants","Mc Arthur Foundation",11,2024-01-19,0.00500227376080036,2.07944154167984,0.0104019358610633
"25","director","People","Mc Arthur Foundation",16,2024-01-19,0.0103828682673589,0.980829253011726,0.0101838209267927
"26","imperative","About","Mc Arthur Foundation",29,2024-01-19,0.00721572530480219,1.38629436111989,0.0100031193014374
"27","senior","People","Mc Arthur Foundation",11,2024-01-19,0.00713822193380921,1.38629436111989,0.00989567681526204
"28","portfolio","Grants","Mc Arthur Foundation",22,2024-01-19,0.0100045475216007,0.980829253011726,0.00981275287233196
"29","strengthen","Regions","Mc Arthur Foundation",15,2024-01-19,0.00980392156862745,0.980829253011726,0.00961597306874241
"30","choices","Learnings","Mc Arthur Foundation",4,2024-01-19,0.00456100342075257,2.07944154167984,0.00948433998485672
"31","dataset","Grants","Mc Arthur Foundation",10,2024-01-19,0.0045475216007276,2.07944154167984,0.00945630532823936
"32","description","Grants","Mc Arthur Foundation",10,2024-01-19,0.0045475216007276,2.07944154167984,0.00945630532823936
"33","approves","Board of Directors","Mc Arthur Foundation",2,2024-01-19,0.00657894736842105,1.38629436111989,0.00912035763894665
"34","basis","Board of Directors","Mc Arthur Foundation",2,2024-01-19,0.00657894736842105,1.38629436111989,0.00912035763894665
"35","nominating","Board of Directors","Mc Arthur Foundation",2,2024-01-19,0.00657894736842105,1.38629436111989,0.00912035763894665
"36","investment","Grants","Mc Arthur Foundation",42,2024-01-19,0.0190995907230559,0.470003629245736,0.00897687695694447
"37","total","Grants","Mc Arthur Foundation",14,2024-01-19,0.00636653024101864,1.38629436111989,0.00882588497302341
"38","board","Board of Directors","Mc Arthur Foundation",9,2024-01-19,0.0296052631578947,0.287682072451781,0.00851690346074351
"39","answers","Grantmaking","Mc Arthur Foundation",3,2024-01-19,0.00402684563758389,2.07944154167984,0.00837359010072417
"40","asked","Grantmaking","Mc Arthur Foundation",3,2024-01-19,0.00402684563758389,2.07944154167984,0.00837359010072417
"41","workplace","Grantmaking","Mc Arthur Foundation",3,2024-01-19,0.00402684563758389,2.07944154167984,0.00837359010072417
"42","nigerians","Regions","Mc Arthur Foundation",6,2024-01-19,0.00392156862745098,2.07944154167984,0.00815467271246994
"43","university","People","Mc Arthur Foundation",9,2024-01-19,0.00584036340038936,1.38629436111989,0.00809646284885076
"44","chairs","People","Mc Arthur Foundation",6,2024-01-19,0.00389357560025957,2.07944154167984,0.00809646284885076
"45","harvard","People","Mc Arthur Foundation",6,2024-01-19,0.00389357560025957,2.07944154167984,0.00809646284885076
"46","manyika","People","Mc Arthur Foundation",6,2024-01-19,0.00389357560025957,2.07944154167984,0.00809646284885076
"47","sciences","People","Mc Arthur Foundation",6,2024-01-19,0.00389357560025957,2.07944154167984,0.00809646284885076
"48","simmons","People","Mc Arthur Foundation",6,2024-01-19,0.00389357560025957,2.07944154167984,0.00809646284885076
"49","assets","Grants","Mc Arthur Foundation",18,2024-01-19,0.00818553888130969,0.980829253011726,0.00802861598645342
"50","evaluate","Learnings","Mc Arthur Foundation",7,2024-01-19,0.00798175598631699,0.980829253011726,0.00782873976178117
"51","society","Regions","Mc Arthur Foundation",17,2024-01-19,0.0111111111111111,0.693147180559945,0.00770163533955495
"52","government","Regions","Mc Arthur Foundation",12,2024-01-19,0.00784313725490196,0.980829253011726,0.00769277845499393
"53","council","People","Mc Arthur Foundation",8,2024-01-19,0.00519143413367943,1.38629436111989,0.00719685586564512
"54","serves","People","Mc Arthur Foundation",11,2024-01-19,0.00713822193380921,0.980829253011726,0.00700137688717001
"55","learning","Learnings","Mc Arthur Foundation",13,2024-01-19,0.0148232611174458,0.470003629245736,0.00696698652245674
"56","designbuild","About","Mc Arthur Foundation",20,2024-01-19,0.00497636227917392,1.38629436111989,0.00689870296650854
"57","appoints","Board of Directors","Mc Arthur Foundation",1,2024-01-19,0.00328947368421053,2.07944154167984,0.00684026822920999
"58","charters","Board of Directors","Mc Arthur Foundation",1,2024-01-19,0.00328947368421053,2.07944154167984,0.00684026822920999
"59","direction","Board of Directors","Mc Arthur Foundation",1,2024-01-19,0.00328947368421053,2.07944154167984,0.00684026822920999
"60","directorsour","Board of Directors","Mc Arthur Foundation",1,2024-01-19,0.00328947368421053,2.07944154167984,0.00684026822920999
"61","excess","Board of Directors","Mc Arthur Foundation",1,2024-01-19,0.00328947368421053,2.07944154167984,0.00684026822920999
"62","found","Board of Directors","Mc Arthur Foundation",1,2024-01-19,0.00328947368421053,2.07944154167984,0.00684026822920999
"63","hisher","Board of Directors","Mc Arthur Foundation",1,2024-01-19,0.00328947368421053,2.07944154167984,0.00684026822920999
"64","prevent","Regions","Mc Arthur Foundation",5,2024-01-19,0.00326797385620915,2.07944154167984,0.00679556059372495
"65","boards","People","Mc Arthur Foundation",5,2024-01-19,0.00324464633354964,2.07944154167984,0.0067470523740423
"66","james","People","Mc Arthur Foundation",5,2024-01-19,0.00324464633354964,2.07944154167984,0.0067470523740423
"67","katzman","People","Mc Arthur Foundation",5,2024-01-19,0.00324464633354964,2.07944154167984,0.0067470523740423
"68","minow","People","Mc Arthur Foundation",5,2024-01-19,0.00324464633354964,2.07944154167984,0.0067470523740423
"69","muñoz","People","Mc Arthur Foundation",5,2024-01-19,0.00324464633354964,2.07944154167984,0.0067470523740423
