,word,category,institution,n,date,tf,idf,tf_idf
1,alliance,Partners,Sean Parker Foundation,26,1/16/2024,0.032745592,1.791759469,0.058672224
2,obama,Partners,Sean Parker Foundation,66,1/16/2024,0.083123426,0.405465108,0.033703649
3,brothers,Partners,Sean Parker Foundation,14,1/16/2024,0.017632242,1.791759469,0.031592736
4,girls,Partners,Sean Parker Foundation,14,1/16/2024,0.017632242,1.791759469,0.031592736
5,keeper,Partners,Sean Parker Foundation,14,1/16/2024,0.017632242,1.791759469,0.031592736
6,barack,Partners,Sean Parker Foundation,10,1/16/2024,0.012594458,1.791759469,0.02256624
7,award,Partners,Sean Parker Foundation,16,1/16/2024,0.020151134,1.098612289,0.022138283
8,approach,Grantmaking,Sean Parker Foundation,7,1/16/2024,0.02,1.098612289,0.021972246
9,solution,Grantmaking,Sean Parker Foundation,7,1/16/2024,0.02,1.098612289,0.021972246
10,award,About,Sean Parker Foundation,8,1/16/2024,0.018648019,1.098612289,0.020486942
11,permanent,Grantmaking,Sean Parker Foundation,4,1/16/2024,0.011428571,1.791759469,0.020477251
12,initvideo,Initiatives,Sean Parker Foundation,14,1/16/2024,0.011084719,1.791759469,0.01986115
13,allergies,Grantmaking,Sean Parker Foundation,10,1/16/2024,0.028571429,0.693147181,0.019804205
14,problem,Grantmaking,Sean Parker Foundation,6,1/16/2024,0.017142857,1.098612289,0.018833354
15,times,Press,Sean Parker Foundation,3,1/16/2024,0.016759777,1.098612289,0.018412496
16,personal,Partners,Sean Parker Foundation,8,1/16/2024,0.010075567,1.791759469,0.018052992
17,alexandra,About,Sean Parker Foundation,6,1/16/2024,0.013986014,1.098612289,0.015365207
18,usable,Grantmaking,Sean Parker Foundation,3,1/16/2024,0.008571429,1.791759469,0.015357938
19,service,Partners,Sean Parker Foundation,10,1/16/2024,0.012594458,1.098612289,0.013836427
20,chicago,Partners,Sean Parker Foundation,6,1/16/2024,0.007556675,1.791759469,0.013539744
21,michelle,Partners,Sean Parker Foundation,6,1/16/2024,0.007556675,1.791759469,0.013539744
22,youth,Partners,Sean Parker Foundation,6,1/16/2024,0.007556675,1.791759469,0.013539744
23,allergic,Grantmaking,Sean Parker Foundation,4,1/16/2024,0.011428571,1.098612289,0.012555569
24,catalytic,Grantmaking,Sean Parker Foundation,4,1/16/2024,0.011428571,1.098612289,0.012555569
25,finding,Grantmaking,Sean Parker Foundation,4,1/16/2024,0.011428571,1.098612289,0.012555569
26,february,Press,Sean Parker Foundation,2,1/16/2024,0.011173184,1.098612289,0.012274998
27,october,Press,Sean Parker Foundation,2,1/16/2024,0.011173184,1.098612289,0.012274998
28,professor,Initiatives,Sean Parker Foundation,8,1/16/2024,0.006334125,1.791759469,0.011349229
29,build,Partners,Sean Parker Foundation,5,1/16/2024,0.006297229,1.791759469,0.01128312
30,donation,Partners,Sean Parker Foundation,5,1/16/2024,0.006297229,1.791759469,0.01128312
31,general,Partners,Sean Parker Foundation,5,1/16/2024,0.006297229,1.791759469,0.01128312
32,whitebox,Partners,Sean Parker Foundation,5,1/16/2024,0.006297229,1.791759469,0.01128312
33,learn,Programs,Sean Parker Foundation,10,1/16/2024,0.010245902,1.098612289,0.011256273
34,problems,About,Sean Parker Foundation,4,1/16/2024,0.009324009,1.098612289,0.010243471
35,alleviate,Grantmaking,Sean Parker Foundation,2,1/16/2024,0.005714286,1.791759469,0.010238626
36,ambitious,Grantmaking,Sean Parker Foundation,2,1/16/2024,0.005714286,1.791759469,0.010238626
37,genetics,Grantmaking,Sean Parker Foundation,2,1/16/2024,0.005714286,1.791759469,0.010238626
38,impactful,Grantmaking,Sean Parker Foundation,2,1/16/2024,0.005714286,1.791759469,0.010238626
39,large,Grantmaking,Sean Parker Foundation,2,1/16/2024,0.005714286,1.791759469,0.010238626
40,piece,Grantmaking,Sean Parker Foundation,2,1/16/2024,0.005714286,1.791759469,0.010238626
41,reaction,Grantmaking,Sean Parker Foundation,2,1/16/2024,0.005714286,1.791759469,0.010238626
42,scale,Grantmaking,Sean Parker Foundation,2,1/16/2024,0.005714286,1.791759469,0.010238626
43,accepted,Press,Sean Parker Foundation,1,1/16/2024,0.005586592,1.791759469,0.010009829
44,advice,Press,Sean Parker Foundation,1,1/16/2024,0.005586592,1.791759469,0.010009829
45,announces,Press,Sean Parker Foundation,1,1/16/2024,0.005586592,1.791759469,0.010009829
