"","word","category","institution","n","date","tf","idf","tf_idf"
"1","description","Partners","Sean Parker Foundation",62,2024-01-19,0.0575139146567718,1.79175946922805,0.103051101198645
"2","alliance","Partners","Sean Parker Foundation",26,2024-01-19,0.0241187384044527,1.79175946922805,0.0432149779220125
"3","presidential","Partners","Sean Parker Foundation",23,2024-01-19,0.0213358070500928,1.79175946922805,0.0382286343156264
"4","obama","Partners","Sean Parker Foundation",66,2024-01-19,0.0612244897959184,0.405465108108164,0.0248243943739692
"5","brothers","Partners","Sean Parker Foundation",14,2024-01-19,0.012987012987013,1.79175946922805,0.0232696034964682
"6","girls","Partners","Sean Parker Foundation",14,2024-01-19,0.012987012987013,1.79175946922805,0.0232696034964682
"7","keeper","Partners","Sean Parker Foundation",14,2024-01-19,0.012987012987013,1.79175946922805,0.0232696034964682
"8","approach","Grantmaking","Sean Parker Foundation",7,2024-01-19,0.0152173913043478,1.09861228866811,0.0167180130884278
"9","solution","Grantmaking","Sean Parker Foundation",7,2024-01-19,0.0152173913043478,1.09861228866811,0.0167180130884278
"10","barack","Partners","Sean Parker Foundation",10,2024-01-19,0.00927643784786642,1.79175946922805,0.0166211453546202
"11","award","Partners","Sean Parker Foundation",16,2024-01-19,0.0148423005565863,1.09861228866811,0.0163059337835712
"12","permanent","Grantmaking","Sean Parker Foundation",4,2024-01-19,0.00869565217391304,1.79175946922805,0.0155805171237222
"13","award","About","Sean Parker Foundation",8,2024-01-19,0.0138648180242634,1.09861228866811,0.0152320594616029
"14","allergies","Grantmaking","Sean Parker Foundation",10,2024-01-19,0.0217391304347826,0.693147180559945,0.0150684169686945
"15","arsenalbio","Press","Sean Parker Foundation",2,2024-01-19,0.00840336134453781,1.79175946922805,0.0150568022624206
"16","problem","Grantmaking","Sean Parker Foundation",6,2024-01-19,0.0130434782608696,1.09861228866811,0.0143297255043666
"17","initvideo","Initiatives","Sean Parker Foundation",14,2024-01-19,0.00792751981879955,1.79175946922805,0.0142042087028272
"18","times","Press","Sean Parker Foundation",3,2024-01-19,0.0126050420168067,1.09861228866811,0.0138480540588417
"19","personal","Partners","Sean Parker Foundation",8,2024-01-19,0.00742115027829314,1.79175946922805,0.0132969162836961
"20","multifaceted","Grantmaking","Sean Parker Foundation",3,2024-01-19,0.00652173913043478,1.79175946922805,0.0116853878427917
"21","usable","Grantmaking","Sean Parker Foundation",3,2024-01-19,0.00652173913043478,1.79175946922805,0.0116853878427917
"22","alexandra","About","Sean Parker Foundation",6,2024-01-19,0.0103986135181976,1.09861228866811,0.0114240445962022
"23","service","Partners","Sean Parker Foundation",10,2024-01-19,0.00927643784786642,1.09861228866811,0.010191208614732
"24","chicago","Partners","Sean Parker Foundation",6,2024-01-19,0.00556586270871985,1.79175946922805,0.0099726872127721
"25","michelle","Partners","Sean Parker Foundation",6,2024-01-19,0.00556586270871985,1.79175946922805,0.0099726872127721
"26","scholarship","Partners","Sean Parker Foundation",6,2024-01-19,0.00556586270871985,1.79175946922805,0.0099726872127721
"27","youth","Partners","Sean Parker Foundation",6,2024-01-19,0.00556586270871985,1.79175946922805,0.0099726872127721
"28","allergic","Grantmaking","Sean Parker Foundation",4,2024-01-19,0.00869565217391304,1.09861228866811,0.00955315033624443
"29","catalytic","Grantmaking","Sean Parker Foundation",4,2024-01-19,0.00869565217391304,1.09861228866811,0.00955315033624443
"30","finding","Grantmaking","Sean Parker Foundation",4,2024-01-19,0.00869565217391304,1.09861228866811,0.00955315033624443
"31","philanthropic","About","Sean Parker Foundation",5,2024-01-19,0.00866551126516464,1.09861228866811,0.00952003716350182
"32","february","Press","Sean Parker Foundation",2,2024-01-19,0.00840336134453781,1.09861228866811,0.00923203603922781
"33","october","Press","Sean Parker Foundation",2,2024-01-19,0.00840336134453781,1.09861228866811,0.00923203603922781
"34","learn","Programs","Sean Parker Foundation",10,2024-01-19,0.007627765064836,1.09861228866811,0.00837995643530213
"35","build","Partners","Sean Parker Foundation",5,2024-01-19,0.00463821892393321,1.79175946922805,0.00831057267731009
"36","donation","Partners","Sean Parker Foundation",5,2024-01-19,0.00463821892393321,1.79175946922805,0.00831057267731009
"37","general","Partners","Sean Parker Foundation",5,2024-01-19,0.00463821892393321,1.79175946922805,0.00831057267731009
"38","whitebox","Partners","Sean Parker Foundation",5,2024-01-19,0.00463821892393321,1.79175946922805,0.00831057267731009
"39","professor","Initiatives","Sean Parker Foundation",8,2024-01-19,0.00453001132502831,1.79175946922805,0.00811669068732981
"40","alleviate","Grantmaking","Sean Parker Foundation",2,2024-01-19,0.00434782608695652,1.79175946922805,0.00779025856186111
"41","ambitious","Grantmaking","Sean Parker Foundation",2,2024-01-19,0.00434782608695652,1.79175946922805,0.00779025856186111
"42","genetics","Grantmaking","Sean Parker Foundation",2,2024-01-19,0.00434782608695652,1.79175946922805,0.00779025856186111
"43","impactful","Grantmaking","Sean Parker Foundation",2,2024-01-19,0.00434782608695652,1.79175946922805,0.00779025856186111
"44","large","Grantmaking","Sean Parker Foundation",2,2024-01-19,0.00434782608695652,1.79175946922805,0.00779025856186111
"45","piece","Grantmaking","Sean Parker Foundation",2,2024-01-19,0.00434782608695652,1.79175946922805,0.00779025856186111
"46","reaction","Grantmaking","Sean Parker Foundation",2,2024-01-19,0.00434782608695652,1.79175946922805,0.00779025856186111
"47","scale","Grantmaking","Sean Parker Foundation",2,2024-01-19,0.00434782608695652,1.79175946922805,0.00779025856186111
"48","wellorganized","Grantmaking","Sean Parker Foundation",2,2024-01-19,0.00434782608695652,1.79175946922805,0.00779025856186111
"49","problems","About","Sean Parker Foundation",4,2024-01-19,0.00693240901213172,1.09861228866811,0.00761602973080145
"50","medicine","Grantmaking","Sean Parker Foundation",5,2024-01-19,0.0108695652173913,0.693147180559945,0.00753420848434723
"51","accepted","Press","Sean Parker Foundation",1,2024-01-19,0.00420168067226891,1.79175946922805,0.00752840113121031
"52","advice","Press","Sean Parker Foundation",1,2024-01-19,0.00420168067226891,1.79175946922805,0.00752840113121031
"53","announces","Press","Sean Parker Foundation",1,2024-01-19,0.00420168067226891,1.79175946922805,0.00752840113121031
"54","ardigen","Press","Sean Parker Foundation",1,2024-01-19,0.00420168067226891,1.79175946922805,0.00752840113121031
"55","article","Press","Sean Parker Foundation",1,2024-01-19,0.00420168067226891,1.79175946922805,0.00752840113121031
"56","articles","Press","Sean Parker Foundation",1,2024-01-19,0.00420168067226891,1.79175946922805,0.00752840113121031
"57","babies","Press","Sean Parker Foundation",1,2024-01-19,0.00420168067226891,1.79175946922805,0.00752840113121031
"58","biggest","Press","Sean Parker Foundation",1,2024-01-19,0.00420168067226891,1.79175946922805,0.00752840113121031
"59","billionaire","Press","Sean Parker Foundation",1,2024-01-19,0.00420168067226891,1.79175946922805,0.00752840113121031
"60","biospace","Press","Sean Parker Foundation",1,2024-01-19,0.00420168067226891,1.79175946922805,0.00752840113121031
"61","calls","Press","Sean Parker Foundation",1,2024-01-19,0.00420168067226891,1.79175946922805,0.00752840113121031
"62","cities","Press","Sean Parker Foundation",1,2024-01-19,0.00420168067226891,1.79175946922805,0.00752840113121031
"63","claire","Press","Sean Parker Foundation",1,2024-01-19,0.00420168067226891,1.79175946922805,0.00752840113121031
"64","climate","Press","Sean Parker Foundation",1,2024-01-19,0.00420168067226891,1.79175946922805,0.00752840113121031
"65","collaborate","Press","Sean Parker Foundation",1,2024-01-19,0.00420168067226891,1.79175946922805,0.00752840113121031
"66","consortium","Press","Sean Parker Foundation",1,2024-01-19,0.00420168067226891,1.79175946922805,0.00752840113121031
"67","continued","Press","Sean Parker Foundation",1,2024-01-19,0.00420168067226891,1.79175946922805,0.00752840113121031
"68","crazy","Press","Sean Parker Foundation",1,2024-01-19,0.00420168067226891,1.79175946922805,0.00752840113121031
"69","demographic","Press","Sean Parker Foundation",1,2024-01-19,0.00420168067226891,1.79175946922805,0.00752840113121031
"70","destroying","Press","Sean Parker Foundation",1,2024-01-19,0.00420168067226891,1.79175946922805,0.00752840113121031
"71","dlife","Press","Sean Parker Foundation",1,2024-01-19,0.00420168067226891,1.79175946922805,0.00752840113121031
"72","donors","Press","Sean Parker Foundation",1,2024-01-19,0.00420168067226891,1.79175946922805,0.00752840113121031
"73","emerges","Press","Sean Parker Foundation",1,2024-01-19,0.00420168067226891,1.79175946922805,0.00752840113121031
"74","extends","Press","Sean Parker Foundation",1,2024-01-19,0.00420168067226891,1.79175946922805,0.00752840113121031
"75","festival","Press","Sean Parker Foundation",1,2024-01-19,0.00420168067226891,1.79175946922805,0.00752840113121031
"76","filter","Press","Sean Parker Foundation",1,2024-01-19,0.00420168067226891,1.79175946922805,0.00752840113121031
"77","finance","Press","Sean Parker Foundation",1,2024-01-19,0.00420168067226891,1.79175946922805,0.00752840113121031
"78","geneedited","Press","Sean Parker Foundation",1,2024-01-19,0.00420168067226891,1.79175946922805,0.00752840113121031
"79","genes","Press","Sean Parker Foundation",1,2024-01-19,0.00420168067226891,1.79175946922805,0.00752840113121031
"80","hackers","Press","Sean Parker Foundation",1,2024-01-19,0.00420168067226891,1.79175946922805,0.00752840113121031
"81","happened","Press","Sean Parker Foundation",1,2024-01-19,0.00420168067226891,1.79175946922805,0.00752840113121031
"82","helmsley","Press","Sean Parker Foundation",1,2024-01-19,0.00420168067226891,1.79175946922805,0.00752840113121031
