"","word","category","institution","n","date"
"1","research","Crops","Alliance",87,2024-01-19
"2","systems","Research","Alliance",78,2024-01-19
"3","climate","Research","Alliance",69,2024-01-19
"4","research","Research","Alliance",65,2024-01-19
"5","alliance","Research","Alliance",55,2024-01-19
"6","annual","Research","Alliance",51,2024-01-19
"7","gender","Research","Alliance",48,2024-01-19
"8","report","Research","Alliance",47,2024-01-19
"9","alliance","Crops","Alliance",44,2024-01-19
"10","digital","Research","Alliance",41,2024-01-19
"11","inclusion","Research","Alliance",41,2024-01-19
"12","agriculture","Research","Alliance",40,2024-01-19
"13","cassava","Crops","Alliance",40,2024-01-19
"14","tropical","Crops","Alliance",40,2024-01-19
"15","discover","Research","Alliance",37,2024-01-19
"16","landscapes","Research","Alliance",37,2024-01-19
"17","forages","Crops","Alliance",36,2024-01-19
"18","systems","Regions","Alliance",36,2024-01-19
"19","change","Research","Alliance",35,2024-01-19
"20","crops","Research","Alliance",35,2024-01-19
"21","program","Crops","Alliance",34,2024-01-19
"22","sustainable","Research","Alliance",34,2024-01-19
"23","environment","Research","Alliance",33,2024-01-19
"24","innovations","Research","Alliance",33,2024-01-19
"25","action","Research","Alliance",31,2024-01-19
"26","banana","Crops","Alliance",31,2024-01-19
"27","international","Crops","Alliance",31,2024-01-19
"28","nutrition","Research","Alliance",31,2024-01-19
"29","spanish","Research","Alliance",31,2024-01-19
"30","africa","Crops","Alliance",30,2024-01-19
"31","impact","Research","Alliance",30,2024-01-19
"32","publications","Research","Alliance",28,2024-01-19
"33","tools","Research","Alliance",28,2024-01-19
"34","enhance","Research","Alliance",27,2024-01-19
"35","global","Research","Alliance",27,2024-01-19
"36","annual","Crops","Alliance",26,2024-01-19
"37","international","Research","Alliance",26,2024-01-19
"38","improving","Research","Alliance",25,2024-01-19
"39","biodiversity","Research","Alliance",24,2024-01-19
"40","genebanks","Research","Alliance",24,2024-01-19
"41","areas","Research","Alliance",23,2024-01-19
"42","climate","Regions","Alliance",23,2024-01-19
"43","research","Regions","Alliance",23,2024-01-19
"44","africa","Research","Alliance",22,2024-01-19
"45","bioversity","Research","Alliance",22,2024-01-19
"46","partners","Crops","Alliance",22,2024-01-19
"47","agricultural","Research","Alliance",21,2024-01-19
"48","inclusive","Research","Alliance",21,2024-01-19
"49","solutions","Research","Alliance",21,2024-01-19
"50","cgiar","Research","Alliance",20,2024-01-19
"51","farmers","Crops","Alliance",20,2024-01-19
"52","health","Research","Alliance",20,2024-01-19
"53","partners","Research","Alliance",20,2024-01-19
"54","production","Crops","Alliance",20,2024-01-19
"55","report","Crops","Alliance",20,2024-01-19
"56","behavior","Research","Alliance",19,2024-01-19
"57","consumer","Research","Alliance",19,2024-01-19
"58","crops","Crops","Alliance",19,2024-01-19
"59","development","Regions","Alliance",19,2024-01-19
"60","genetic","Crops","Alliance",19,2024-01-19
"61","security","Research","Alliance",19,2024-01-19
"62","services","Research","Alliance",19,2024-01-19
"63","spanish","Crops","Alliance",19,2024-01-19
"64","beans","Crops","Alliance",18,2024-01-19
"65","development","Crops","Alliance",18,2024-01-19
"66","strategy","Research","Alliance",18,2024-01-19
"67","themes","Research","Alliance",18,2024-01-19
"68","africa","Regions","Alliance",17,2024-01-19
"69","alliance","Regions","Alliance",17,2024-01-19
"70","breeding","Crops","Alliance",17,2024-01-19
"71","development","Research","Alliance",17,2024-01-19
"72","future","Research","Alliance",17,2024-01-19
"73","scientist","Crops","Alliance",17,2024-01-19
"74","sustainable","Regions","Alliance",17,2024-01-19
"75","agriculture","Regions","Alliance",16,2024-01-19
"76","america","Crops","Alliance",16,2024-01-19
"77","annual","Regions","Alliance",16,2024-01-19
"78","bioversity","Crops","Alliance",16,2024-01-19
"79","events","Research","Alliance",16,2024-01-19
"80","farmers","Research","Alliance",16,2024-01-19
"81","global","Crops","Alliance",16,2024-01-19
"82","women","Research","Alliance",16,2024-01-19
"83","climate","Crops","Alliance",15,2024-01-19
"84","discover","Regions","Alliance",15,2024-01-19
"85","enhance","Crops","Alliance",15,2024-01-19
"86","improve","Research","Alliance",15,2024-01-19
"87","latin","Crops","Alliance",15,2024-01-19
"88","management","Research","Alliance",15,2024-01-19
"89","publications","Crops","Alliance",15,2024-01-19
"90","system","Research","Alliance",15,2024-01-19
"91","tools","Crops","Alliance",15,2024-01-19
"92","americas","Regions","Alliance",14,2024-01-19
"93","areas","Crops","Alliance",14,2024-01-19
"94","bananas","Crops","Alliance",14,2024-01-19
"95","nutrition","Regions","Alliance",14,2024-01-19
"96","partnership","Research","Alliance",14,2024-01-19
"97","plant","Crops","Alliance",14,2024-01-19
"98","sector","Regions","Alliance",14,2024-01-19
"99","address","Research","Alliance",13,2024-01-19
"100","agriculture","Crops","Alliance",13,2024-01-19
"101","beans","Research","Alliance",13,2024-01-19
"102","diets","Research","Alliance",13,2024-01-19
"103","genebanks","Crops","Alliance",13,2024-01-19
"104","health","Crops","Alliance",13,2024-01-19
"105","partnerships","Research","Alliance",13,2024-01-19
"106","policy","Research","Alliance",13,2024-01-19
"107","report","Regions","Alliance",13,2024-01-19
"108","resilience","Research","Alliance",13,2024-01-19
"109","sustainable","Crops","Alliance",13,2024-01-19
"110","systems","Crops","Alliance",13,2024-01-19
"111","tropical","Research","Alliance",13,2024-01-19
"112","varieties","Crops","Alliance",13,2024-01-19
"113","access","Research","Alliance",12,2024-01-19
"114","americas","Research","Alliance",12,2024-01-19
"115","communities","Research","Alliance",12,2024-01-19
"116","crosscutting","Research","Alliance",12,2024-01-19
"117","forages","Research","Alliance",12,2024-01-19
"118","inclusion","Crops","Alliance",12,2024-01-19
"119","livestock","Crops","Alliance",12,2024-01-19
"120","mitigation","Research","Alliance",12,2024-01-19
"121","nutrition","Crops","Alliance",12,2024-01-19
"122","regions","Crops","Alliance",12,2024-01-19
"123","regions","Research","Alliance",12,2024-01-19
"124","reports","Research","Alliance",12,2024-01-19
"125","scientists","Crops","Alliance",12,2024-01-19
"126","scientists","Research","Alliance",12,2024-01-19
"127","security","Regions","Alliance",12,2024-01-19
"128","stories","Research","Alliance",12,2024-01-19
"129","thematic","Crops","Alliance",12,2024-01-19
"130","agricultural","Crops","Alliance",11,2024-01-19
"131","cassava","Research","Alliance",11,2024-01-19
"132","conservation","Research","Alliance",11,2024-01-19
"133","countries","Crops","Alliance",11,2024-01-19
"134","develop","Crops","Alliance",11,2024-01-19
"135","explore","Crops","Alliance",11,2024-01-19
"136","governance","Research","Alliance",11,2024-01-19
"137","healthy","Research","Alliance",11,2024-01-19
"138","history","Research","Alliance",11,2024-01-19
"139","impact","Regions","Alliance",11,2024-01-19
"140","information","Crops","Alliance",11,2024-01-19
"141","italy","Research","Alliance",11,2024-01-19
"142","pacific","Regions","Alliance",11,2024-01-19
"143","partners","Regions","Alliance",11,2024-01-19
"144","projects","Research","Alliance",11,2024-01-19
"145","technologies","Crops","Alliance",11,2024-01-19
"146","accept","Research","Alliance",10,2024-01-19
"147","agree","Research","Alliance",10,2024-01-19
"148","approach","Crops","Alliance",10,2024-01-19
"149","bananas","Research","Alliance",10,2024-01-19
"150","bordercolor","Research","Alliance",10,2024-01-19
"151","building","Research","Alliance",10,2024-01-19
"152","careers","Research","Alliance",10,2024-01-19
"153","centersour","Research","Alliance",10,2024-01-19
"154","change","Regions","Alliance",10,2024-01-19
"155","common","Research","Alliance",10,2024-01-19
"156","consent","Research","Alliance",10,2024-01-19
"157","disease","Crops","Alliance",10,2024-01-19
"158","diversity","Crops","Alliance",10,2024-01-19
"159","domenico","Research","Alliance",10,2024-01-19
"160","ethics","Research","Alliance",10,2024-01-19
"161","extras","Research","Alliance",10,2024-01-19
"162","featured","Crops","Alliance",10,2024-01-19
"163","finances","Research","Alliance",10,2024-01-19
"164","follow","Research","Alliance",10,2024-01-19
"165","foodsecure","Research","Alliance",10,2024-01-19
"166","functionvar","Research","Alliance",10,2024-01-19
"167","future","Crops","Alliance",10,2024-01-19
"168","headquarters","Research","Alliance",10,2024-01-19
"169","highlights","Research","Alliance",10,2024-01-19
"170","history","Crops","Alliance",10,2024-01-19
"171","improved","Crops","Alliance",10,2024-01-19
"172","innovation","Research","Alliance",10,2024-01-19
"173","innovations","Regions","Alliance",10,2024-01-19
"174","laboratories","Research","Alliance",10,2024-01-19
"175","legal","Research","Alliance",10,2024-01-19
"176","methods","Research","Alliance",10,2024-01-19
"177","offices","Research","Alliance",10,2024-01-19
"178","opportunities","Research","Alliance",10,2024-01-19
"179","partnership","Crops","Alliance",10,2024-01-19
"180","paths","Research","Alliance",10,2024-01-19
"181","peace","Research","Alliance",10,2024-01-19
"182","phone","Research","Alliance",10,2024-01-19
"183","press","Research","Alliance",10,2024-01-19
"184","privacy","Research","Alliance",10,2024-01-19
"185","program","Research","Alliance",10,2024-01-19
"186","sector","Research","Alliance",10,2024-01-19
"187","stories","Crops","Alliance",10,2024-01-19
"188","supporting","Research","Alliance",10,2024-01-19
"189","transparent","Research","Alliance",10,2024-01-19
"190","achievements","Research","Alliance",9,2024-01-19
"191","agricultural","Regions","Alliance",9,2024-01-19
"192","agroecology","Research","Alliance",9,2024-01-19
"193","breakthrough","Research","Alliance",9,2024-01-19
"194","cacao","Research","Alliance",9,2024-01-19
"195","challenges","Crops","Alliance",9,2024-01-19
"196","consumer","Crops","Alliance",9,2024-01-19
"197","enabling","Research","Alliance",9,2024-01-19
"198","enhance","Regions","Alliance",9,2024-01-19
"199","gender","Crops","Alliance",9,2024-01-19
"200","improving","Regions","Alliance",9,2024-01-19
"201","national","Research","Alliance",9,2024-01-19
"202","organizations","Crops","Alliance",9,2024-01-19
