"","word","category","institution","n","date"
"1","bloomberg","Programs","Bloomberg Philantrhopies",286,2024-01-18
"2","fontweight","Programs","Bloomberg Philantrhopies",270,2024-01-18
"3","fontweight","Grants","Bloomberg Philantrhopies",254,2024-01-18
"4","bloomberg","Grants","Bloomberg Philantrhopies",225,2024-01-18
"5","marginbottom","Programs","Bloomberg Philantrhopies",210,2024-01-18
"6","lineheight","Grants","Bloomberg Philantrhopies",190,2024-01-18
"7","marginbottom","Grants","Bloomberg Philantrhopies",188,2024-01-18
"8","lineheight","Programs","Bloomberg Philantrhopies",176,2024-01-18
"9","gtmevent","Grants","Bloomberg Philantrhopies",168,2024-01-18
"10","fontweight","Approach","Bloomberg Philantrhopies",156,2024-01-18
"11","agent","Programs","Bloomberg Philantrhopies",140,2024-01-18
"12","cities","Grants","Bloomberg Philantrhopies",135,2024-01-18
"13","health","Grants","Bloomberg Philantrhopies",132,2024-01-18
"14","health","Programs","Bloomberg Philantrhopies",129,2024-01-18
"15","datalayer","Grants","Bloomberg Philantrhopies",126,2024-01-18
"16","marginbottom","Approach","Bloomberg Philantrhopies",120,2024-01-18
"17","norepeat","Grants","Bloomberg Philantrhopies",120,2024-01-18
"18","public","Grants","Bloomberg Philantrhopies",118,2024-01-18
"19","public","Programs","Bloomberg Philantrhopies",117,2024-01-18
"20","letterspacing","Programs","Bloomberg Philantrhopies",116,2024-01-18
"21","bloomberg","Approach","Bloomberg Philantrhopies",114,2024-01-18
"22","agent","Grants","Bloomberg Philantrhopies",112,2024-01-18
"23","fontweight","Regions","Bloomberg Philantrhopies",112,2024-01-18
"24","annual","Programs","Bloomberg Philantrhopies",111,2024-01-18
"25","spotlight","Programs","Bloomberg Philantrhopies",108,2024-01-18
"26","annual","Grants","Bloomberg Philantrhopies",107,2024-01-18
"27","fontweight","About","Bloomberg Philantrhopies",106,2024-01-18
"28","spotlight","Grants","Bloomberg Philantrhopies",105,2024-01-18
"29","lineheight","Approach","Bloomberg Philantrhopies",102,2024-01-18
"30","borderbottom","Programs","Bloomberg Philantrhopies",100,2024-01-18
"31","letterspacing","Grants","Bloomberg Philantrhopies",98,2024-01-18
"32","bloomberg","Regions","Bloomberg Philantrhopies",96,2024-01-18
"33","education","Programs","Bloomberg Philantrhopies",95,2024-01-18
"34","cities","Programs","Bloomberg Philantrhopies",93,2024-01-18
"35","minwidth","Grants","Bloomberg Philantrhopies",90,2024-01-18
"36","marginbottom","About","Bloomberg Philantrhopies",88,2024-01-18
"37","education","Grants","Bloomberg Philantrhopies",85,2024-01-18
