"","cat","word1","word2","n","date"
"1","Grants","bbg","carousel",272,2023-12-20
"2","Grants","annual","report",248,2023-12-20
"3","Grants","dotorg","sites",228,2023-12-20
"4","Programs","pillar","eyebrow",204,2023-12-20
"5","Programs","annual","report",181,2023-12-20
"6","Grants","pillar","eyebrow",160,2023-12-20
"7","Programs","bloomberg","philanthropies",146,2023-12-20
"8","Grants","getattribute","data",142,2023-12-20
"9","Programs","dotorg","sites",136,2023-12-20
"10","Grants","carousel","getattribute",126,2023-12-20
"11","Grants","data","carousel",126,2023-12-20
"12","Grants","gtm","datalayer",126,2023-12-20
"13","Grants","push","gtm",126,2023-12-20
"14","Approach","pillar","eyebrow",120,2023-12-20
"15","Grants","public","health",106,2023-12-20
"16","Grants","data","anchor",105,2023-12-20
"17","Grants","bloomberg","philanthropies",93,2023-12-20
"18","Regions","annual","report",92,2023-12-20
"19","Approach","annual","report",84,2023-12-20
"20","Grants","drag","push",84,2023-12-20
"21","Grants","tile","drag",84,2023-12-20
"22","About","pillar","eyebrow",80,2023-12-20
"23","Programs","bbg","archive",80,2023-12-20
"24","Regions","pillar","eyebrow",80,2023-12-20
"25","Programs","public","health",77,2023-12-20
"26","Programs","agent","identifier",70,2023-12-20
"27","Programs","bbg","focus",70,2023-12-20
"28","Programs","objects","require",70,2023-12-20
"29","About","dotorg","sites",69,2023-12-20
"30","Grants","report","arts",66,2023-12-20
"31","Grants","arts","blobs",64,2023-12-20
"32","Grants","bbg","archive",64,2023-12-20
"33","Grants","bbg","focus",60,2023-12-20
"34","Programs","bookend","blob",60,2023-12-20
"35","Programs","called","void",60,2023-12-20
"36","Programs","report","bookend",60,2023-12-20
"37","Grants","government","innovation",59,2023-12-20
"38","About","annual","report",58,2023-12-20
"39","Programs","government","innovation",58,2023-12-20
"40","Grants","agent","identifier",56,2023-12-20
"41","Grants","objects","require",56,2023-12-20
"42","Programs","bbg","carousel",56,2023-12-20
"43","Approach","bloomberg","philanthropies",54,2023-12-20
"44","Grants","bb","wysiwyg",52,2023-12-20
"45","About","bbg","carousel",50,2023-12-20
"46","Programs","link","depth",50,2023-12-20
"47","Approach","bbg","archive",48,2023-12-20
"48","Grants","ar","bg",48,2023-12-20
"49","Grants","bookend","blob",48,2023-12-20
"50","Grants","called","void",48,2023-12-20
"51","Grants","report","bookend",48,2023-12-20
"52","Programs","johns","hopkins",47,2023-12-20
"53","Programs","bloomberg","associates",45,2023-12-20
"54","Grants","bloomberg","associates",44,2023-12-20
"55","Programs","bb","wysiwyg",44,2023-12-20
"56","Approach","agent","identifier",42,2023-12-20
"57","Approach","bbg","focus",42,2023-12-20
"58","Approach","dotorg","sites",42,2023-12-20
"59","Approach","objects","require",42,2023-12-20
"60","Grants","ar","lp",42,2023-12-20
"61","Grants","closest","bbg",42,2023-12-20
"62","Grants","closest","data",42,2023-12-20
"63","Grants","customevent","mouseup",42,2023-12-20
"64","Grants","dataset","pagesection",42,2023-12-20
"65","Grants","innertext","const",42,2023-12-20
"66","Grants","mouseup","bubbles",42,2023-12-20
"67","Grants","pagesection","const",42,2023-12-20
"68","Grants","section","dataset",42,2023-12-20
"69","Grants","link","depth",40,2023-12-20
"70","Press","pillar","eyebrow",40,2023-12-20
"71","Programs","agent","api",40,2023-12-20
"72","Programs","apply","filter",40,2023-12-20
"73","Programs","data","depth",40,2023-12-20
"74","Programs","instanceof","workerglobalscope",40,2023-12-20
"75","Programs","player","single",40,2023-12-20
"76","Programs","podcasts","videos",40,2023-12-20
"77","Regions","public","health",40,2023-12-20
"78","About","bloomberg","philanthropies",39,2023-12-20
"79","Programs","getattribute","data",38,2023-12-20
"80","Approach","bookend","blob",36,2023-12-20
"81","Approach","called","void",36,2023-12-20
"82","Approach","report","bookend",36,2023-12-20
"83","Programs","customevent","mouseup",36,2023-12-20
"84","Programs","data","anchor",36,2023-12-20
"85","Programs","mouseup","bubbles",36,2023-12-20
"86","Programs","mike","bloomberg",33,2023-12-20
"87","About","bbg","archive",32,2023-12-20
"88","About","bbg","focus",32,2023-12-20
"89","Grants","agent","api",32,2023-12-20
"90","Grants","apply","filter",32,2023-12-20
"91","Grants","data","depth",32,2023-12-20
"92","Grants","instanceof","workerglobalscope",32,2023-12-20
"93","Grants","player","single",32,2023-12-20
"94","Grants","podcasts","videos",32,2023-12-20
"95","Programs","privacy","policy",32,2023-12-20
"96","Regions","bbg","archive",32,2023-12-20
"97","Approach","government","innovation",30,2023-12-20
"98","Approach","link","depth",30,2023-12-20
"99","Approach","public","health",30,2023-12-20
"100","Grants","jump","link",30,2023-12-20
"101","Grants","link","desktop",30,2023-12-20
"102","Grants","lp","control",30,2023-12-20
"103","Programs","ar","links",30,2023-12-20
"104","Programs","bbg","toggle",30,2023-12-20
"105","Programs","google","translate",30,2023-12-20
"106","Programs","interstitial","clickable",30,2023-12-20
"107","Programs","links","interstitial",30,2023-12-20
"108","Programs","seterrorhandler","finished",30,2023-12-20
"109","About","getattribute","data",29,2023-12-20
"110","Programs","corporate","philanthropy",29,2023-12-20
"111","About","agent","identifier",28,2023-12-20
"112","About","objects","require",28,2023-12-20
"113","Grants","spotlight","bbg",28,2023-12-20
"114","Press","annual","report",28,2023-12-20
"115","Press","bloomberg","philanthropies",28,2023-12-20
"116","Regions","agent","identifier",28,2023-12-20
"117","Regions","bbg","focus",28,2023-12-20
"118","Regions","dotorg","sites",28,2023-12-20
"119","Regions","objects","require",28,2023-12-20
"120","About","public","health",26,2023-12-20
"121","Grants","road","safety",25,2023-12-20
"122","About","bookend","blob",24,2023-12-20
"123","About","called","void",24,2023-12-20
"124","About","government","innovation",24,2023-12-20
"125","About","report","bookend",24,2023-12-20
"126","Approach","agent","api",24,2023-12-20
"127","Approach","apply","filter",24,2023-12-20
"128","Approach","bb","wysiwyg",24,2023-12-20
"129","Approach","bloomberg","associates",24,2023-12-20
"130","Approach","data","depth",24,2023-12-20
"131","Approach","engage","strong",24,2023-12-20
"132","Approach","instanceof","workerglobalscope",24,2023-12-20
"133","Approach","player","single",24,2023-12-20
"134","Approach","podcasts","videos",24,2023-12-20
"135","Grants","annualreport","public",24,2023-12-20
"136","Grants","ar","links",24,2023-12-20
"137","Grants","bbg","toggle",24,2023-12-20
"138","Grants","google","translate",24,2023-12-20
"139","Grants","interstitial","clickable",24,2023-12-20
"140","Grants","links","interstitial",24,2023-12-20
"141","Grants","seterrorhandler","finished",24,2023-12-20
"142","Grants","statistic","block",24,2023-12-20
"143","Grants","statistic","middle",24,2023-12-20
"144","Programs","arts","blobs",24,2023-12-20
"145","Programs","gun","safety",24,2023-12-20
"146","Programs","report","arts",24,2023-12-20
"147","Regions","bloomberg","associates",24,2023-12-20
"148","Regions","bloomberg","philanthropies",24,2023-12-20
"149","Regions","bookend","blob",24,2023-12-20
"150","Regions","called","void",24,2023-12-20
"151","Regions","government","innovation",24,2023-12-20
"152","Regions","hong","kong",24,2023-12-20
"153","Regions","report","bookend",24,2023-12-20
