"","cat","word1","word2","n","date"
"1","About","transform","translatey",156,2023-12-20
"2","About","transform","perspective",120,2023-12-20
"3","About","hgbfooter","footermenu",117,2023-12-20
"4","Learnings","transform","translatey",104,2023-12-20
"5","Learnings","transform","perspective",80,2023-12-20
"6","Learnings","hgbfooter","footermenu",78,2023-12-20
"7","About","free","archive",66,2023-12-20
"8","About","transform","translatex",60,2023-12-20
"9","Programs","transform","translatey",52,2023-12-20
"10","Regions","transform","translatey",52,2023-12-20
"11","About","visibility","visible",48,2023-12-20
"12","Learnings","free","archive",44,2023-12-20
"13","Learnings","transform","translatex",40,2023-12-20
"14","Programs","transform","perspective",40,2023-12-20
"15","Regions","transform","perspective",40,2023-12-20
"16","Programs","hgbfooter","footermenu",39,2023-12-20
"17","Regions","hgbfooter","footermenu",39,2023-12-20
"18","About","transform","scale",33,2023-12-20
"19","Learnings","visibility","visible",32,2023-12-20
"20","Learnings","annual","report",31,2023-12-20
"21","About","annkellybolton","picbg",27,2023-12-20
"22","About","ms","input",27,2023-12-20
"23","About","themes","divi",27,2023-12-20
"24","About","free","du",24,2023-12-20
"25","About","transition","duration",24,2023-12-20
"26","About","backface","visibility",22,2023-12-20
"27","Learnings","transform","scale",22,2023-12-20
"28","Programs","free","archive",22,2023-12-20
"29","Regions","free","archive",22,2023-12-20
"30","About","buffett","foundation",21,2023-12-20
"31","About","custom","free",21,2023-12-20
"32","Programs","transform","translatex",20,2023-12-20
"33","Regions","transform","translatex",20,2023-12-20
"34","About","food","security",19,2023-12-20
"35","Learnings","blend","mode",19,2023-12-20
"36","About","feature","settings",18,2023-12-20
"37","About","hgbfooter","footerlogo",18,2023-12-20
"38","About","input","ms",18,2023-12-20
"39","About","multi","view",18,2023-12-20
"40","Learnings","annkellybolton","picbg",18,2023-12-20
"41","Learnings","ms","input",18,2023-12-20
"42","Learnings","themes","divi",18,2023-12-20
"43","About","pb","controllers",17,2023-12-20
"44","About","smoothing","antialiased",17,2023-12-20
"45","Learnings","mode","overlay",17,2023-12-20
"46","About","marginalized","populations",16,2023-12-20
"47","Learnings","free","du",16,2023-12-20
"48","Learnings","transition","duration",16,2023-12-20
"49","Programs","visibility","visible",16,2023-12-20
"50","Regions","visibility","visible",16,2023-12-20
"51","About","block","pullquote",15,2023-12-20
"52","About","core","admin",15,2023-12-20
"53","About","divi","core",15,2023-12-20
"54","About","food","insecurity",15,2023-12-20
"55","About","wrap","wrap",15,2023-12-20
"56","Learnings","annual","reports",15,2023-12-20
"57","About","public","safety",14,2023-12-20
"58","Learnings","backface","visibility",14,2023-12-20
"59","Learnings","buffett","foundation",14,2023-12-20
"60","Learnings","custom","free",14,2023-12-20
"61","About","conflict","mitigation",13,2023-12-20
"62","About","address","food",12,2023-12-20
"63","About","catalyze","transformational",12,2023-12-20
"64","About","roboto","condensed",12,2023-12-20
"65","About","transform","scaley",12,2023-12-20
"66","About","transformational","change",12,2023-12-20
"67","About","visual","builder",12,2023-12-20
"68","About","word","wrap",12,2023-12-20
"69","Learnings","feature","settings",12,2023-12-20
"70","Learnings","hgbfooter","footerlogo",12,2023-12-20
"71","Learnings","input","ms",12,2023-12-20
"72","Learnings","multi","view",12,2023-12-20
"73","About","catalyze","change",11,2023-12-20
"74","About","human","trafficking",11,2023-12-20
"75","About","pb","active",11,2023-12-20
"76","About","taking","risks",11,2023-12-20
"77","Learnings","smoothing","antialiased",11,2023-12-20
"78","Programs","transform","scale",11,2023-12-20
"79","Regions","transform","scale",11,2023-12-20
"80","About","economic","development",10,2023-12-20
"81","About","el","salvador",10,2023-12-20
"82","About","inlanguage","en",10,2023-12-20
"83","Learnings","block","pullquote",10,2023-12-20
"84","Learnings","conservation","agriculture",10,2023-12-20
"85","Learnings","core","admin",10,2023-12-20
"86","Learnings","divi","core",10,2023-12-20
"87","Learnings","wrap","wrap",10,2023-12-20
"88","About","block","audio",9,2023-12-20
"89","About","block","embed",9,2023-12-20
"90","About","block","gallery",9,2023-12-20
"91","About","block","quote",9,2023-12-20
"92","About","break","word",9,2023-12-20
"93","About","central","america",9,2023-12-20
"94","About","divi","includes",9,2023-12-20
"95","About","electric","grass",9,2023-12-20
"96","About","hgb","pics",9,2023-12-20
"97","About","hitobject","arguments",9,2023-12-20
"98","About","includes","builder",9,2023-12-20
"99","About","livesour","mission",9,2023-12-20
"100","About","luminous","dusk",9,2023-12-20
"101","About","map","wrap",9,2023-12-20
"102","About","mode","indicator",9,2023-12-20
"103","About","ms","flexbox",9,2023-12-20
"104","About","northern","triangle",9,2023-12-20
"105","About","safe","mode",9,2023-12-20
"106","About","site","blocks",9,2023-12-20
