"","cat","word1","word2","n","date"
"1","Programs","aex","src",80,2023-12-20
"2","Programs","local","news",63,2023-12-20
"3","Programs","climate","solutions",49,2023-12-20
"4","Programs","news","stories",48,2023-12-20
"5","Programs","criminal","justice",43,2023-12-20
"6","Programs","macarthur","foundation",43,2023-12-20
"7","Programs","informed","sign",42,2023-12-20
"8","Programs","stay","informed",42,2023-12-20
"9","Programs","charset","utf",40,2023-12-20
"10","Programs","data","domain",40,2023-12-20
"11","Programs","data","role",40,2023-12-20
"12","Programs","data","vendor",40,2023-12-20
"13","Programs","domain","script",40,2023-12-20
"14","Programs","evaluations","suggested",40,2023-12-20
"15","Programs","evaluations","view",40,2023-12-20
"16","Programs","fs","data",40,2023-12-20
"17","Programs","fsr","fsready",40,2023-12-20
"18","Programs","links","fellows",40,2023-12-20
"19","Programs","news","updates",40,2023-12-20
"20","Programs","news","view",40,2023-12-20
"21","Programs","periodic","news",40,2023-12-20
"22","Programs","privacy","policy",40,2023-12-20
"23","Programs","program","evaluations",40,2023-12-20
"24","Programs","push","arguments",40,2023-12-20
"25","Programs","quick","links",40,2023-12-20
"26","Programs","research","evaluations",40,2023-12-20
"27","Programs","role","gateway",40,2023-12-20
"28","Programs","sites","macfound",40,2023-12-20
"29","Programs","src","cookie",40,2023-12-20
"30","Programs","stories","grant",40,2023-12-20
"31","Programs","suggested","view",40,2023-12-20
"32","Programs","vendor","fs",40,2023-12-20
"33","Programs","nuclear","challenges",36,2023-12-20
"34","Programs","equitable","recovery",31,2023-12-20
"35","About","aex","src",28,2023-12-20
"36","Programs","evaluations","grantee",28,2023-12-20
"37","Programs","grantee","research",28,2023-12-20
"38","Programs","press","releases",28,2023-12-20
"39","Programs","macarthur","fellows",27,2023-12-20
"40","Programs","field","support",25,2023-12-20
"41","Programs","enduring","commitments",23,2023-12-20
"42","Programs","programsbig","betsclimate",23,2023-12-20
"43","Programs","justice","local",22,2023-12-20
"44","Programs","news","nuclear",22,2023-12-20
"45","Programs","solutions","criminal",22,2023-12-20
"46","Programs","change","macarthur",21,2023-12-20
"47","Programs","legal","information",21,2023-12-20
"48","Programs","account","create",20,2023-12-20
"49","Programs","account","login",20,2023-12-20
"50","Programs","annual","essays",20,2023-12-20
"51","Programs","annual","essaysour",20,2023-12-20
"52","Programs","awards","overview",20,2023-12-20
"53","Programs","bets","overview",20,2023-12-20
"54","Programs","betsclimate","solutionscriminal",20,2023-12-20
"55","Programs","changemacarthur","fellowsenduring",20,2023-12-20
"56","Programs","chicago","commitment",20,2023-12-20
"57","Programs","commitment","journalism",20,2023-12-20
"58","Programs","commitmentjournalism","mediafield",20,2023-12-20
"59","Programs","commitments","overview",20,2023-12-20
"60","Programs","commitmentschicago","commitmentjournalism",20,2023-12-20
"61","Programs","commons","legal",20,2023-12-20
"62","Programs","communication","guidelines",20,2023-12-20
"63","Programs","create","account",20,2023-12-20
"64","Programs","creative","commons",20,2023-12-20
"65","Programs","datalayer","gtm",20,2023-12-20
"66","Programs","document","script",20,2023-12-20
"67","Programs","employment","faqs",20,2023-12-20
"68","Programs","essaysour","historyfinancialsinvestmentspoliciesemploymentfaqscontact",20,2023-12-20
"69","Programs","evaluation","strategy",20,2023-12-20
"70","Programs","evaluations","events",20,2023-12-20
"71","Programs","events","videos",20,2023-12-20
"72","Programs","faqs","learnings",20,2023-12-20
"73","Programs","faqs","programsbig",20,2023-12-20
"74","Programs","fellows","enduring",20,2023-12-20
"75","Programs","fellowsenduring","commitmentschicago",20,2023-12-20
"76","Programs","financials","investments",20,2023-12-20
"77","Programs","foundation","creative",20,2023-12-20
"78","Programs","foundation","login",20,2023-12-20
"79","Programs","funding","faqs",20,2023-12-20
"80","Programs","grantee","account",20,2023-12-20
"81","Programs","grantee","news",20,2023-12-20
"82","Programs","grantee","publications",20,2023-12-20
"83","Programs","grantee","stories",20,2023-12-20
"84","Programs","grantees","grant",20,2023-12-20
"85","Programs","granteesgrant","searchfunding",20,2023-12-20
"86","Programs","grants","learnings",20,2023-12-20
"87","Programs","grants","overview",20,2023-12-20
"88","Programs","guidelines","press",20,2023-12-20
"89","Programs","history","financials",20,2023-12-20
"90","Programs","historyfinancialsinvestmentspoliciesemploymentfaqscontact","uscommunication",20,2023-12-20
"91","Programs","impact","investments",20,2023-12-20
"92","Programs","information","stay",20,2023-12-20
"93","Programs","initiatives","overview",20,2023-12-20
"94","Programs","interestinitiativesequitable","recoverynew",20,2023-12-20
"95","Programs","investments","philanthrophy",20,2023-12-20
"96","Programs","investments","policies",20,2023-12-20
"97","Programs","invitations","privacy",20,2023-12-20
"98","Programs","invitations","view",20,2023-12-20
"99","Programs","justicelocal","newsnuclear",20,2023-12-20
"100","Programs","learnings","connect",20,2023-12-20
"101","Programs","learnings","overview",20,2023-12-20
"102","Programs","learningsevaluation","strategyevaluationsgrantee",20,2023-12-20
"103","Programs","login","login",20,2023-12-20
"104","Programs","macarthur","foundationtry",20,2023-12-20
"105","Programs","macfound","production",20,2023-12-20
"106","Programs","macfound","staging",20,2023-12-20
"107","Programs","mediafield","supportimpact",20,2023-12-20
"108","Programs","newgrantee","newsgrantee",20,2023-12-20
"109","Programs","news","grantee",20,2023-12-20
"110","Programs","newsgrantee","publicationsgrantee",20,2023-12-20
"111","Programs","newsnuclear","challengeson",20,2023-12-20
"112","Programs","nigeria","awards",20,2023-12-20
"113","Programs","offices","press",20,2023-12-20
"114","Programs","overview","chicago",20,2023-12-20
"115","Programs","overview","climate",20,2023-12-20
"116","Programs","overview","equitable",20,2023-12-20
"117","Programs","overview","evaluation",20,2023-12-20
"118","Programs","overview","grantee",20,2023-12-20
"119","Programs","overview","impact",20,2023-12-20
"120","Programs","overview","mission",20,2023-12-20
"121","Programs","people","reflections",20,2023-12-20
"122","Programs","perspectives","press",20,2023-12-20
"123","Programs","philanthrophy","technology",20,2023-12-20
"124","Programs","policies","employment",20,2023-12-20
"125","Programs","policy","submit",20,2023-12-20
"126","Programs","programs","grants",20,2023-12-20
"127","Programs","programs","overview",20,2023-12-20
"128","Programs","public","interestinitiativesequitable",20,2023-12-20
"129","Programs","publications","grantee",20,2023-12-20
"130","Programs","publicationsgrantee","storiesperspectivespress",20,2023-12-20
"131","Programs","recoverynew","workpast",20,2023-12-20
"132","Programs","reflections","annual",20,2023-12-20
"133","Programs","releases","evaluations",20,2023-12-20
"134","Programs","releasesevaluationseventsvideos","grantsinfo",20,2023-12-20
"135","Programs","research","perspectives",20,2023-12-20
"136","Programs","script","datalayer",20,2023-12-20
"137","Programs","searchfunding","faqs",20,2023-12-20
"138","Programs","solutionscriminal","justicelocal",20,2023-12-20
"139","Programs","stories","perspectives",20,2023-12-20
"140","Programs","storiesperspectivespress","releasesevaluationseventsvideos",20,2023-12-20
"141","Programs","strategy","evaluations",20,2023-12-20
"142","Programs","strategyevaluationsgrantee","researchperspectivesaboutmission",20,2023-12-20
"143","Programs","support","overview",20,2023-12-20
"144","Programs","supportimpact","investmentsphilanthrophytechnology",20,2023-12-20
"145","Programs","uscommunication","guidelinespress",20,2023-12-20
"146","Programs","val","move",20,2023-12-20
"147","Programs","videos","programs",20,2023-12-20
"148","Programs","view","privacy",20,2023-12-20
"149","Programs","workpeoplereflections","annual",20,2023-12-20
"150","Programs","grant","guidelines",19,2023-12-20
"151","Regions","criminal","justice",19,2023-12-20
"152","About","diversity","equity",18,2023-12-20
"153","About","impact","investments",18,2023-12-20
"154","Grants","impact","investments",17,2023-12-20
"155","Programs","overview","strategy",17,2023-12-20
"156","Grants","aex","src",16,2023-12-20
"157","About","indigenous","people",15,2023-12-20
"158","About","macarthur","foundation",15,2023-12-20
"159","About","charset","utf",14,2023-12-20
"160","About","data","domain",14,2023-12-20
"161","About","data","role",14,2023-12-20
"162","About","data","vendor",14,2023-12-20
"163","About","domain","script",14,2023-12-20
"164","About","evaluations","suggested",14,2023-12-20
"165","About","evaluations","view",14,2023-12-20
"166","About","fs","data",14,2023-12-20
"167","About","fsr","fsready",14,2023-12-20
"168","About","informed","sign",14,2023-12-20
"169","About","links","fellows",14,2023-12-20
"170","About","news","stories",14,2023-12-20
"171","About","news","updates",14,2023-12-20
"172","About","news","view",14,2023-12-20
"173","About","periodic","news",14,2023-12-20
"174","About","privacy","policy",14,2023-12-20
"175","About","program","evaluations",14,2023-12-20
"176","About","push","arguments",14,2023-12-20
"177","About","quick","links",14,2023-12-20
"178","About","research","evaluations",14,2023-12-20
"179","About","role","gateway",14,2023-12-20
"180","About","sites","macfound",14,2023-12-20
"181","About","src","cookie",14,2023-12-20
"182","About","stay","informed",14,2023-12-20
"183","About","stories","grant",14,2023-12-20
"184","About","suggested","view",14,2023-12-20
"185","About","vendor","fs",14,2023-12-20
"186","Programs","nuclear","field",14,2023-12-20
"187","Programs","press","forward",14,2023-12-20
"188","Regions","civil","society",14,2023-12-20
"189","Programs","account","programsbig",13,2023-12-20
"190","Programs","clean","energy",13,2023-12-20
"191","Programs","justice","challenge",13,2023-12-20
"192","Programs","strategy","grant",12,2023-12-20
"193","Regions","aex","src",12,2023-12-20
"194","About","equitable","recovery",11,2023-12-20
"195","Grants","field","support",11,2023-12-20
"196","Grants","investment","portfolio",11,2023-12-20
"197","Programs","funding","priorities",11,2023-12-20
"198","About","enduring","commitments",10,2023-12-20
"199","Grants","class","mac",10,2023-12-20
"200","Grants","enduring","commitments",10,2023-12-20
"201","Programs","climate","change",10,2023-12-20
"202","Programs","climate","crisis",10,2023-12-20
"203","Programs","ethnic","disparities",10,2023-12-20
"204","Programs","expected","outcomes",10,2023-12-20
"205","Regions","reduce","corruption",10,2023-12-20
"206","About","information","sharing",9,2023-12-20
"207","About","land","acknowledgement",9,2023-12-20
"208","Programs","american","democracy",9,2023-12-20
"209","Programs","capstone","investment",9,2023-12-20
"210","Programs","justice","systems",9,2023-12-20
"211","Programs","local","newsrooms",9,2023-12-20
"212","Programs","time","limited",9,2023-12-20
"213","Regions","anti","corruption",9,2023-12-20
"214","About","build","strategy",8,2023-12-20
"215","About","criminal","justice",8,2023-12-20
"216","About","press","releases",8,2023-12-20
"217","Grantmaking","aex","src",8,2023-12-20
"218","Grants","canvas","wrap",8,2023-12-20
"219","Grants","charset","utf",8,2023-12-20
"220","Grants","chart","canvas",8,2023-12-20
"221","Grants","data","domain",8,2023-12-20
"222","Grants","data","role",8,2023-12-20
"223","Grants","data","vendor",8,2023-12-20
"224","Grants","dataset","labels",8,2023-12-20
"225","Grants","domain","script",8,2023-12-20
"226","Grants","evaluations","suggested",8,2023-12-20
"227","Grants","evaluations","view",8,2023-12-20
"228","Grants","fs","data",8,2023-12-20
"229","Grants","fsr","fsready",8,2023-12-20
"230","Grants","informed","sign",8,2023-12-20
"231","Grants","links","fellows",8,2023-12-20
"232","Grants","macarthur","foundation",8,2023-12-20
"233","Grants","news","stories",8,2023-12-20
"234","Grants","news","updates",8,2023-12-20
"235","Grants","news","view",8,2023-12-20
"236","Grants","periodic","news",8,2023-12-20
"237","Grants","privacy","policy",8,2023-12-20
"238","Grants","program","evaluations",8,2023-12-20
"239","Grants","push","arguments",8,2023-12-20
"240","Grants","quick","links",8,2023-12-20
"241","Grants","research","evaluations",8,2023-12-20
"242","Grants","role","gateway",8,2023-12-20
"243","Grants","showstats","dataset",8,2023-12-20
