"","cat","word1","word2","n","date"
"1","Partners","contenttype","sys",162,2023-12-20
"2","Partners","entry","contenttype",143,2023-12-20
"3","Partners","link","linktype",69,2023-12-20
"4","Partners","navtarget","fields",63,2023-12-20
"5","Partners","target","sys",46,2023-12-20
"6","Partners","obama","foundation",43,2023-12-20
"7","Partners","contenttype","navtarget",37,2023-12-20
"8","Partners","navtarget","contenttype",37,2023-12-20
"9","Partners","destination","sys",26,2023-12-20
"10","Partners","girls","opportunity",26,2023-12-20
"11","Partners","opportunity","alliance",26,2023-12-20
"12","Partners","environment","revision",25,2023-12-20
"13","Partners","environment","sys",25,2023-12-20
"14","Partners","linktype","environment",25,2023-12-20
"15","Partners","linktype","space",25,2023-12-20
"16","Partners","locale","en",25,2023-12-20
"17","Partners","space","sys",25,2023-12-20
"18","Partners","sys","space",25,2023-12-20
"19","Programs","global","health",24,2023-12-20
"20","Partners","keeper","alliance",23,2023-12-20
"21","Partners","metadata","tags",23,2023-12-20
"22","Partners","tags","sys",23,2023-12-20
"23","Initiatives","parker","institute",20,2023-12-20
"24","Partners","entry","createdat",19,2023-12-20
"25","Partners","linktype","contenttype",19,2023-12-20
"26","Partners","obama","presidential",19,2023-12-20
"27","Partners","voyager","scholarship",18,2023-12-20
"28","Initiatives","parker","foundation",17,2023-12-20
"29","Partners","linkcomponent","contenttype",17,2023-12-20
"30","Initiatives","dream","team",16,2023-12-20
"31","Partners","contenttype","linkcomponent",16,2023-12-20
"32","Programs","parker","foundation",16,2023-12-20
"33","Programs","public","health",16,2023-12-20
"34","About","parker","foundation",15,2023-12-20
"35","Initiatives","life","sciences",15,2023-12-20
"36","Initiatives","cancer","immunotherapy",14,2023-12-20
"37","Initiatives","cookie","policy",14,2023-12-20
"38","Initiatives","foundation","en",14,2023-12-20
"39","Initiatives","initiatives","focus",14,2023-12-20
"40","Partners","sean","parker",14,2023-12-20
"41","Partners","asset","fields",13,2023-12-20
"42","Programs","civic","engagement",13,2023-12-20
"43","Programs","modules","contrib",13,2023-12-20
"44","Partners","press","releases",12,2023-12-20
"45","Partners","description","file",11,2023-12-20
"46","Partners","linkcomponent","fields",11,2023-12-20
"47","Partners","marks","data",11,2023-12-20
"48","Programs","health","sciences",11,2023-12-20
"49","Programs","life","sciences",11,2023-12-20
"50","Partners","futures","series",10,2023-12-20
"51","Partners","jobs","corps",10,2023-12-20
