"","word","cat","n","date"
"1","const","Grants",1066,2023-12-20
"2","void","Programs",971,2023-12-20
"3","bbg","Grants",967,2023-12-20
"4","parameter","Programs",860,2023-12-20
"5","parameter_default_value","Programs",800,2023-12-20
"6","void","Grants",776,2023-12-20
"7","const","Programs",758,2023-12-20
"8","bbg","Programs",750,2023-12-20
"9","parameter_element","Programs",690,2023-12-20
"10","parameter_element_type_target_attribute","Programs",690,2023-12-20
"11","parameter_element_type_target_choice","Programs",690,2023-12-20
"12","parameter_element_type_target_selector","Programs",690,2023-12-20
"13","parameter","Grants",688,2023-12-20
"14","parameter_default_value","Grants",640,2023-12-20
"15","parameter_element_type_target_meta_type","Programs",630,2023-12-20
"16","parameter_element_type_target_meta_type_other","Programs",630,2023-12-20
"17","parameter_element_type_target_multiple_attribute","Programs",630,2023-12-20
"18","parameter_element_type_target_second_attribute","Programs",630,2023-12-20
"19","parameter_element_type_target_taxonomy_other_type","Programs",630,2023-12-20
"20","parameter_element_type_target_taxonomy_type","Programs",630,2023-12-20
"21","parameter_element_type_target_taxonomy_type_term","Programs",630,2023-12-20
"22","data","Grants",628,2023-12-20
"23","void","Approach",582,2023-12-20
"24","parameter_element","Grants",552,2023-12-20
"25","parameter_element_type_target_attribute","Grants",552,2023-12-20
"26","parameter_element_type_target_choice","Grants",552,2023-12-20
"27","parameter_element_type_target_selector","Grants",552,2023-12-20
"28","parameter","Approach",516,2023-12-20
"29","gtm_event","Grants",504,2023-12-20
"30","parameter_element_type_target_meta_type","Grants",504,2023-12-20
"31","parameter_element_type_target_meta_type_other","Grants",504,2023-12-20
"32","parameter_element_type_target_multiple_attribute","Grants",504,2023-12-20
"33","parameter_element_type_target_second_attribute","Grants",504,2023-12-20
"34","parameter_element_type_target_taxonomy_other_type","Grants",504,2023-12-20
"35","parameter_element_type_target_taxonomy_type","Grants",504,2023-12-20
"36","parameter_element_type_target_taxonomy_type_term","Grants",504,2023-12-20
"37","parameter_default_value","Approach",480,2023-12-20
"38","data","Programs",477,2023-12-20
"39","carousel_var","Grants",462,2023-12-20
"40","carousel","Grants",456,2023-12-20
"41","bloomberg","Programs",439,2023-12-20
"42","parameter_element","Approach",414,2023-12-20
"43","parameter_element_type_target_attribute","Approach",414,2023-12-20
"44","parameter_element_type_target_choice","Approach",414,2023-12-20
"45","parameter_element_type_target_selector","Approach",414,2023-12-20
"46","bbg","Approach",402,2023-12-20
"47","arguments","Programs",390,2023-12-20
"48","const","Approach",390,2023-12-20
"49","void","About",388,2023-12-20
"50","void","Regions",388,2023-12-20
"51","parameter_element_type_target_meta_type","Approach",378,2023-12-20
"52","parameter_element_type_target_meta_type_other","Approach",378,2023-12-20
"53","parameter_element_type_target_multiple_attribute","Approach",378,2023-12-20
"54","parameter_element_type_target_second_attribute","Approach",378,2023-12-20
"55","parameter_element_type_target_taxonomy_other_type","Approach",378,2023-12-20
"56","parameter_element_type_target_taxonomy_type","Approach",378,2023-12-20
"57","parameter_element_type_target_taxonomy_type_term","Approach",378,2023-12-20
"58","bloomberg","Grants",363,2023-12-20
"59","const","About",351,2023-12-20
"60","parameter","About",344,2023-12-20
"61","parameter","Regions",344,2023-12-20
"62","href","Programs",330,2023-12-20
"63","bbg","About",326,2023-12-20
"64","parameter_default_value","About",320,2023-12-20
"65","parameter_default_value","Regions",320,2023-12-20
"66","arguments","Grants",312,2023-12-20
"67","16px","Grants",306,2023-12-20
"68","ar","Grants",302,2023-12-20
"69","r.d","Programs",290,2023-12-20
"70","strict","Programs",290,2023-12-20
"71","annual","Grants",288,2023-12-20
"72","16px","Programs",282,2023-12-20
"73","parameter_element","About",276,2023-12-20
"74","parameter_element","Regions",276,2023-12-20
"75","parameter_element_type_target_attribute","About",276,2023-12-20
"76","parameter_element_type_target_attribute","Regions",276,2023-12-20
"77","parameter_element_type_target_choice","About",276,2023-12-20
"78","parameter_element_type_target_choice","Regions",276,2023-12-20
"79","parameter_element_type_target_selector","About",276,2023-12-20
"80","parameter_element_type_target_selector","Regions",276,2023-12-20
"81","push","Grants",276,2023-12-20
"82","bbg","Regions",272,2023-12-20
"83","href","Grants",264,2023-12-20
"84","const","Regions",260,2023-12-20
"85","report","Grants",259,2023-12-20
"86","2022","Grants",254,2023-12-20
"87","parameter_element_type_target_meta_type","About",252,2023-12-20
"88","parameter_element_type_target_meta_type","Regions",252,2023-12-20
"89","parameter_element_type_target_meta_type_other","About",252,2023-12-20
"90","parameter_element_type_target_meta_type_other","Regions",252,2023-12-20
"91","parameter_element_type_target_multiple_attribute","About",252,2023-12-20
"92","parameter_element_type_target_multiple_attribute","Regions",252,2023-12-20
"93","parameter_element_type_target_second_attribute","About",252,2023-12-20
"94","parameter_element_type_target_second_attribute","Regions",252,2023-12-20
"95","parameter_element_type_target_taxonomy_other_type","About",252,2023-12-20
"96","parameter_element_type_target_taxonomy_other_type","Regions",252,2023-12-20
"97","parameter_element_type_target_taxonomy_type","About",252,2023-12-20
"98","parameter_element_type_target_taxonomy_type","Regions",252,2023-12-20
"99","parameter_element_type_target_taxonomy_type_term","About",252,2023-12-20
"100","parameter_element_type_target_taxonomy_type_term","Regions",252,2023-12-20
"101","concat","Programs",240,2023-12-20
"102","arguments","Approach",234,2023-12-20
"103","sites","Grants",234,2023-12-20
"104","r.d","Grants",232,2023-12-20
"105","strict","Grants",232,2023-12-20
"106","event_name","Programs",230,2023-12-20
"107","event_propagation_stop","Programs",230,2023-12-20
"108","event_tier","Programs",230,2023-12-20
"109","event_trigger_delay","Programs",230,2023-12-20
"110","event_type","Programs",230,2023-12-20
"111","regular","Programs",230,2023-12-20
"112","assets.bbhub.io","Grants",228,2023-12-20
"113","dotorg","Grants",228,2023-12-20
"114","curated","Grants",225,2023-12-20
"115","pillar","Programs",224,2023-12-20
"116","annual","Programs",223,2023-12-20
"117","data","Approach",222,2023-12-20
"118","interstitial","Programs",222,2023-12-20
"119","24px","Programs",220,2023-12-20
"120","arguments.length","Programs",220,2023-12-20
"121","tracking_event_vars","Programs",220,2023-12-20
"122","eyebrow","Programs",218,2023-12-20
"123","error","Programs",210,2023-12-20
"124","arts","Grants",208,2023-12-20
"125","report","Programs",207,2023-12-20
"126","64","Grants",206,2023-12-20
"127","list","Programs",202,2023-12-20
"128","attribute","Programs",200,2023-12-20
"129","e.z","Programs",200,2023-12-20
"130","this.agentidentifier","Programs",200,2023-12-20
"131","href","Approach",198,2023-12-20
"132","void","Press",194,2023-12-20
"133","concat","Grants",192,2023-12-20
"134","data","About",191,2023-12-20
"135","interstitial","Grants",190,2023-12-20
"136","eyebrow","Grants",188,2023-12-20
"137","event_name","Grants",184,2023-12-20
"138","event_propagation_stop","Grants",184,2023-12-20
"139","event_tier","Grants",184,2023-12-20
"140","event_trigger_delay","Grants",184,2023-12-20
"141","event_type","Grants",184,2023-12-20
"142","regular","Grants",184,2023-12-20
"143","tile","Grants",184,2023-12-20
"144","list","Grants",182,2023-12-20
"145","arts","Programs",180,2023-12-20
