"","word","cat","n","date"
"1","transform","About",487,2023-12-20
"2","child","About",446,2023-12-20
"3","block","About",415,2023-12-20
"4","h2","About",374,2023-12-20
"5","et_pb_gutters3","About",325,2023-12-20
"6","transform","Learnings",317,2023-12-20
"7","et_pb_row","About",289,2023-12-20
"8","h2","Learnings",279,2023-12-20
"9","fillcolor","About",276,2023-12-20
"10","block","Learnings",272,2023-12-20
"11","1f497e","About",271,2023-12-20
"12","transition","About",270,2023-12-20
"13","ease","About",266,2023-12-20
"14","child","Learnings",264,2023-12-20
"15","et_pb_row","Learnings",234,2023-12-20
"16","et_pb_module","About",227,2023-12-20
"17","ease","Learnings",219,2023-12-20
"18","et_pb_column","About",217,2023-12-20
"19","input","About",213,2023-12-20
"20","et_pb_gutters1","About",206,2023-12-20
"21","transition","Learnings",196,2023-12-20
"22","fillcolor","Learnings",184,2023-12-20
"23","1f497e","Learnings",181,2023-12-20
"24","child","Programs",178,2023-12-20
"25","et_pb_gutters3","Learnings",176,2023-12-20
"26","20px","About",164,2023-12-20
"27","child","Regions",164,2023-12-20
"28","gform_wrapper","About",162,2023-12-20
"29","transform","Programs",162,2023-12-20
"30","www.thehowardgbuffettfoundation.org","About",159,2023-12-20
"31","www.thehowardgbuffettfoundation.org","Learnings",158,2023-12-20
"32","transform","Regions",157,2023-12-20
"33","free","About",156,2023-12-20
"34","translatey","About",156,2023-12-20
"35","et_pb_slide_description","About",150,2023-12-20
"36","fixed","About",148,2023-12-20
"37","et_pb_column_1_4","About",145,2023-12-20
"38","input","Learnings",142,2023-12-20
"39","6_1","About",139,2023-12-20
"40","block","Programs",138,2023-12-20
"41","relative","About",138,2023-12-20
"42","et_pb_row_1","About",136,2023-12-20
"43","h1","About",136,2023-12-20
"44","absolute","About",135,2023-12-20
"45","hgbfooter","About",135,2023-12-20
"46","h4","Learnings",134,2023-12-20
"47","li.mega","About",132,2023-12-20
"48","block","Regions",131,2023-12-20
"49","et_pb_column_1_3","About",130,2023-12-20
"50","400px","About",129,2023-12-20
"51","h3","About",127,2023-12-20
"52","areas","About",126,2023-12-20
"53","perspective","About",126,2023-12-20
"54","0.4s","About",125,2023-12-20
"55","et_pb_column","Learnings",124,2023-12-20
"56","et_pb_gutters3","Programs",123,2023-12-20
"57","et_pb_gutters3","Regions",123,2023-12-20
"58","h2","Programs",122,2023-12-20
"59","et_pb_module","Learnings",119,2023-12-20
"60","2px","About",117,2023-12-20
"61","et_pb_button","About",117,2023-12-20
"62","footermenu","About",117,2023-12-20
"63","h3","Learnings",117,2023-12-20
"64","h2","Regions",115,2023-12-20
"65","30px","About",114,2023-12-20
"66","h1","Learnings",112,2023-12-20
"67","980px","About",109,2023-12-20
"68","gform_wrapper","Learnings",108,2023-12-20
"69","area","About",105,2023-12-20
"70","free","Learnings",104,2023-12-20
"71","translatey","Learnings",104,2023-12-20
"72","uploads","Learnings",104,2023-12-20
"73","20px","Learnings",102,2023-12-20
"74","et_pb_row","Regions",102,2023-12-20
"75","h4","About",100,2023-12-20
"76","et_pb_slider_fullwidth_off","About",98,2023-12-20
"77","fixed","Learnings",98,2023-12-20
"78","h6","Learnings",98,2023-12-20
"79","2019","Learnings",97,2023-12-20
"80","et_pb_row_inner","About",97,2023-12-20
"81","et_pb_gutters2","Learnings",94,2023-12-20
"82","fillcolor","Programs",92,2023-12-20
"83","fillcolor","Regions",92,2023-12-20
"84","relative","Learnings",92,2023-12-20
"85","transition","Programs",92,2023-12-20
"86","05","Learnings",90,2023-12-20
"87","1f497e","Programs",90,2023-12-20
"88","1f497e","Regions",90,2023-12-20
"89","et_pb_gutters1","Regions",90,2023-12-20
"90","hgbfooter","Learnings",90,2023-12-20
"91","absolute","Learnings",89,2023-12-20
"92","pb","About",89,2023-12-20
"93","li.mega","Learnings",88,2023-12-20
"94","transition","Regions",88,2023-12-20
"95","ease","Programs",87,2023-12-20
"96","ms","About",87,2023-12-20
"97","wrap","About",87,2023-12-20
"98","400px","Learnings",86,2023-12-20
"99","perspective","Learnings",85,2023-12-20
"100","et_pb_post","About",84,2023-12-20
"101","fwidget","About",84,2023-12-20
"102","10px","About",83,2023-12-20
"103","ease","Regions",83,2023-12-20
"104","0.4s","Learnings",82,2023-12-20
"105","3s","About",82,2023-12-20
"106","annualreports","About",81,2023-12-20
"107","et_pb_row","Programs",81,2023-12-20
"108","18px","About",79,2023-12-20
"109","et_pb_button","Learnings",79,2023-12-20
"110","et_pb_column_1_6","About",79,2023-12-20
"111","et_pb_row_1","Learnings",78,2023-12-20
"112","footermenu","Learnings",78,2023-12-20
"113","keyframes","About",78,2023-12-20
"114","luminous","About",78,2023-12-20
"115","2px","Learnings",76,2023-12-20
"116","h5","About",76,2023-12-20
"117","h5","Learnings",76,2023-12-20
"118","areas","Learnings",75,2023-12-20
"119","uploads","About",75,2023-12-20
"120","10","About",74,2023-12-20
"121","980px","Learnings",74,2023-12-20
"122","et_pb_column","Regions",74,2023-12-20
"123","et_pb_column_1_3","Learnings",74,2023-12-20
"124","et_pb_column_1_4","Learnings",74,2023-12-20
"125","visibility","About",74,2023-12-20
"126","24px","About",73,2023-12-20
"127","30px","Learnings",73,2023-12-20
"128","3px","About",73,2023-12-20
"129","area","Learnings",73,2023-12-20
"130","h6","About",73,2023-12-20
"131","arguments","About",72,2023-12-20
"132","logo_container","About",72,2023-12-20
"133","60","About",71,2023-12-20
"134","input","Programs",71,2023-12-20
"135","input","Regions",71,2023-12-20
"136","et_pb_image_wrap","Learnings",70,2023-12-20
"137","et_mobile_menu","About",69,2023-12-20
"138","18px","Learnings",68,2023-12-20
"139","et_pb_column.et_pb_column_1_6","About",68,2023-12-20
"140","et_pb_module","Regions",68,2023-12-20
"141","et_pb_section","About",68,2023-12-20
"142","et_pb_slider","About",68,2023-12-20
"143","2019","About",66,2023-12-20
"144","6_1","Learnings",66,2023-12-20
"145","archive","About",66,2023-12-20
"146","widget_block","About",66,2023-12-20
"147","0,0,0","About",65,2023-12-20
"148","et_pb_slide_content","About",65,2023-12-20
"149","et_pb_column_1_2","About",64,2023-12-20
