"","word","cat","n","date"
"1","ikeafoundation.org","Learnings",295,2023-12-20
"2","luminous","Learnings",286,2023-12-20
"3","ikeafoundation.org","Programs",211,2023-12-20
"4","luminous","Programs",208,2023-12-20
"5","dark","Learnings",154,2023-12-20
"6","135deg","Learnings",132,2023-12-20
"7","cdata","Learnings",132,2023-12-20
"8","google","Learnings",132,2023-12-20
"9","learnings","Learnings",132,2023-12-20
"10","vo","Learnings",132,2023-12-20
"11","dark","Programs",114,2023-12-20
"12","gdpr","Learnings",110,2023-12-20
"13","luminous","About",104,2023-12-20
"14","document","Learnings",99,2023-12-20
"15","gform.hooks","Learnings",99,2023-12-20
"16","ikeafoundation.org","About",98,2023-12-20
"17","themes","Programs",97,2023-12-20
"18","135deg","Programs",96,2023-12-20
"19","cdata","Programs",96,2023-12-20
"20","google","Programs",96,2023-12-20
"21","000000","Learnings",88,2023-12-20
"22","admin","Learnings",88,2023-12-20
"23","block","Learnings",88,2023-12-20
"24","vo","Programs",88,2023-12-20
"25","evaluation","Learnings",84,2023-12-20
"26","gdpr","Programs",80,2023-12-20
"27","contents","Learnings",77,2023-12-20
"28","domain","Learnings",77,2023-12-20
"29","formid","Learnings",77,2023-12-20
"30","gform","Learnings",77,2023-12-20
"31","gold","Learnings",77,2023-12-20
"32","script","Learnings",77,2023-12-20
"33","settings","Learnings",77,2023-12-20
"34","yellow","Learnings",77,2023-12-20
"35","document","Programs",72,2023-12-20
"36","gform.hooks","Programs",72,2023-12-20
"37","foundation","Learnings",71,2023-12-20
"38","analytics","Learnings",66,2023-12-20
"39","filter","Learnings",66,2023-12-20
"40","gap","Learnings",66,2023-12-20
"41","gform_wrapper_1","Learnings",66,2023-12-20
"42","gravityforms","Learnings",66,2023-12-20
"43","huge","Learnings",66,2023-12-20
"44","large","Learnings",66,2023-12-20
"45","plugins","Learnings",66,2023-12-20
"46","tag","Learnings",66,2023-12-20
"47","000000","Programs",64,2023-12-20
"48","admin","Programs",64,2023-12-20
"49","block","Programs",64,2023-12-20
"50","ikea","Learnings",64,2023-12-20
"51","foundation","About",61,2023-12-20
"52","action","Programs",59,2023-12-20
"53","action","Learnings",58,2023-12-20
"54","foundation","Programs",58,2023-12-20
"55","settings","Programs",57,2023-12-20
"56","contents","Programs",56,2023-12-20
"57","dark","About",56,2023-12-20
"58","data","Learnings",56,2023-12-20
"59","domain","Programs",56,2023-12-20
"60","formid","Programs",56,2023-12-20
"61","gform","Programs",56,2023-12-20
"62","gold","Programs",56,2023-12-20
"63","script","Programs",56,2023-12-20
"64","yellow","Programs",56,2023-12-20
"65","constrained","Learnings",55,2023-12-20
"66","file","Learnings",55,2023-12-20
"67","manager","Learnings",55,2023-12-20
"68","modal","Learnings",55,2023-12-20
"69","site","Learnings",55,2023-12-20
"70","start","Learnings",55,2023-12-20
"71","trigger","Learnings",55,2023-12-20
"72","impact","Learnings",54,2023-12-20
