"","word","cat","n","date"
"1","news","Programs",240,2023-12-20
"2","overview","Programs",223,2023-12-20
"3","view","Programs",212,2023-12-20
"4","aex","Programs",160,2023-12-20
"5","fsr","Programs",160,2023-12-20
"6","work","Programs",140,2023-12-20
"7","evaluations","Programs",131,2023-12-20
"8","data","Programs",128,2023-12-20
"9","val","Programs",120,2023-12-20
"10","window.location.href","Programs",120,2023-12-20
"11","evaluation","Programs",118,2023-12-20
"12","macarthur","Programs",116,2023-12-20
"13","grantee","Programs",110,2023-12-20
"14","script","Programs",102,2023-12-20
"15","local","Programs",98,2023-12-20
"16","grant","Programs",91,2023-12-20
"17","support","Programs",90,2023-12-20
"18","climate","Programs",86,2023-12-20
"19","press","Programs",83,2023-12-20
"20","src","Programs",83,2023-12-20
"21","account","Programs",80,2023-12-20
"22","content_type","Programs",80,2023-12-20
"23","gtm_auth","Programs",80,2023-12-20
"24","research","Programs",79,2023-12-20
"25","information","Programs",77,2023-12-20
"26","overview","About",76,2023-12-20
"27","strategy","Programs",76,2023-12-20
"28","nuclear","Programs",75,2023-12-20
"29","justice","Programs",74,2023-12-20
"30","change","Programs",72,2023-12-20
"31","document","Programs",72,2023-12-20
"32","solutions","Programs",71,2023-12-20
"33","fellows","Programs",70,2023-12-20
"34","work","About",70,2023-12-20
"35","stories","Programs",68,2023-12-20
"36","view","About",65,2023-12-20
"37","communities","Programs",64,2023-12-20
"38","faqs","Programs",64,2023-12-20
"39","grants","Programs",63,2023-12-20
"40","login","Programs",60,2023-12-20
"41","program","Programs",60,2023-12-20
"42","push","Programs",60,2023-12-20
"43","search1","Programs",60,2023-12-20
"44","public","Programs",59,2023-12-20
"45","people","About",58,2023-12-20
"46","perspectives","Programs",57,2023-12-20
"47","policy","Programs",57,2023-12-20
"48","aex","About",56,2023-12-20
"49","fsr","About",56,2023-12-20
"50","news","About",56,2023-12-20
"51","data","Grants",51,2023-12-20
"52","field","Programs",51,2023-12-20
"53","programs","Programs",51,2023-12-20
"54","corruption","Regions",50,2023-12-20
"55","challenges","Programs",48,2023-12-20
"56","investments","Programs",48,2023-12-20
"57","data","About",47,2023-12-20
"58","foundation","Programs",47,2023-12-20
"59","role","Programs",46,2023-12-20
"60","funding","Programs",45,2023-12-20
"61","grantee","About",45,2023-12-20
"62","informed","Programs",45,2023-12-20
"63","sites","Programs",45,2023-12-20
"64","domain","Programs",44,2023-12-20
"65","equitable","Programs",44,2023-12-20
"66","guidelines","Programs",44,2023-12-20
"67","investment","Grants",44,2023-12-20
"68","macarthur","About",44,2023-12-20
"69","overview","Grants",44,2023-12-20
"70","big","Programs",43,2023-12-20
"71","criminal","Programs",43,2023-12-20
"72","head","Programs",43,2023-12-20
"73","information","About",43,2023-12-20
"74","people","Programs",43,2023-12-20
"75","create","Programs",42,2023-12-20
"76","evaluations","About",42,2023-12-20
"77","sign","Programs",42,2023-12-20
"78","stay","Programs",42,2023-12-20
"79","submit","Programs",42,2023-12-20
"80","val","About",42,2023-12-20
"81","window.location.href","About",42,2023-12-20
"82","annual","Programs",41,2023-12-20
"83","learnings","Programs",41,2023-12-20
"84","updates","Programs",41,2023-12-20
"85","3fbe7c0ecf97","Programs",40,2023-12-20
"86","481b","Programs",40,2023-12-20
"87","49e0","Programs",40,2023-12-20
"88","__","Programs",40,2023-12-20
"89","_stk__","Programs",40,2023-12-20
"90","a715","Programs",40,2023-12-20
"91","am.setattribute","Programs",40,2023-12-20
"92","arguments","Programs",40,2023-12-20
"93","async","Programs",40,2023-12-20
"94","cdn.cookiepro.com","Programs",40,2023-12-20
"95","charset","Programs",40,2023-12-20
"96","cookie","Programs",40,2023-12-20
"97","d.head","Programs",40,2023-12-20
"98","datalayer","Programs",40,2023-12-20
"99","dl","Programs",40,2023-12-20
"100","eventually","Programs",40,2023-12-20
"101","f8b3fbc8","Programs",40,2023-12-20
"102","fs","Programs",40,2023-12-20
"103","fsready","Programs",40,2023-12-20
"104","gateway","Programs",40,2023-12-20
"105","gateway.foresee.com","Programs",40,2023-12-20
"106","gateway.min.js","Programs",40,2023-12-20
"107","grantee_news","Programs",40,2023-12-20
"108","gtm.js","Programs",40,2023-12-20
"109","h.appendchild","Programs",40,2023-12-20
"110","invitations","Programs",40,2023-12-20
"111","links","Programs",40,2023-12-20
"112","macfound","Programs",40,2023-12-20
"113","move","Programs",40,2023-12-20
"114","otsdkstub.js","Programs",40,2023-12-20
"115","periodic","Programs",40,2023-12-20
"116","privacy","Programs",40,2023-12-20
"117","quick","Programs",40,2023-12-20
"118","scripttemplates","Programs",40,2023-12-20
"119","suggested","Programs",40,2023-12-20
"120","utf","Programs",40,2023-12-20
"121","vendor","Programs",40,2023-12-20
"122","window.location.href.indexof","Programs",40,2023-12-20
"123","www.macfound.org","Programs",40,2023-12-20
"124","investments","Grants",38,2023-12-20
"125","recovery","Programs",38,2023-12-20
"126","organizations","Programs",37,2023-12-20
"127","view","Grants",37,2023-12-20
"128","work","Grants",37,2023-12-20
"129","class","Grants",36,2023-12-20
"130","bets","Programs",35,2023-12-20
"131","board","People",35,2023-12-20
"132","impact","About",35,2023-12-20
"133","script","About",35,2023-12-20
"134","val","Grants",35,2023-12-20
"135","overview","Regions",34,2023-12-20
"136","equity","About",33,2023-12-20
"137","journalism","Programs",33,2023-12-20
"138","programsbig","Programs",33,2023-12-20
"139","time","Programs",33,2023-12-20
"140","aex","Grants",32,2023-12-20
"141","fsr","Grants",32,2023-12-20
"142","news","Grants",32,2023-12-20
"143","view","Regions",32,2023-12-20
"144","chicago","Programs",31,2023-12-20
"145","foundation","About",31,2023-12-20
"146","policies","Programs",31,2023-12-20
"147","foundation","Grants",30,2023-12-20
"148","grantees","Programs",30,2023-12-20
"149","learning","Programs",30,2023-12-20
"150","strategy","About",30,2023-12-20
"151","work","Regions",30,2023-12-20
"152","account","About",29,2023-12-20
"153","impact","Programs",29,2023-12-20
"154","imperative","About",29,2023-12-20
"155","nigeria","Programs",29,2023-12-20
"156","chicago","About",28,2023-12-20
"157","content_type","About",28,2023-12-20
"158","grant","About",28,2023-12-20
"159","grantmaking","Programs",28,2023-12-20
"160","gtm_auth","About",28,2023-12-20
"161","news","Regions",28,2023-12-20
"162","related","Programs",28,2023-12-20
"163","releases","Programs",28,2023-12-20
"164","src","About",28,2023-12-20
"165","evaluation","About",27,2023-12-20
"166","grants","About",27,2023-12-20
"167","impact","Grants",27,2023-12-20
"168","investments","About",27,2023-12-20
"169","million","Programs",27,2023-12-20
"170","awards","Programs",26,2023-12-20
"171","commitment","About",26,2023-12-20
"172","creative","Programs",26,2023-12-20
"173","diversity","About",26,2023-12-20
"174","indigenous","About",26,2023-12-20
"175","nigeria","Regions",26,2023-12-20
"176","build","About",25,2023-12-20
"177","committee","People",25,2023-12-20
"178","evaluation","Learnings",25,2023-12-20
"179","organizations","About",25,2023-12-20
"180","technology","Programs",25,2023-12-20
"181","view","Learnings",25,2023-12-20
"182","aex","Regions",24,2023-12-20
"183","case","Grants",24,2023-12-20
"184","evaluations","Grants",24,2023-12-20
"185","fsr","Regions",24,2023-12-20
"186","member","People",24,2023-12-20
"187","research","About",24,2023-12-20
"188","stories","About",24,2023-12-20
"189","view","Grantmaking",24,2023-12-20
"190","window.location.href","Grants",24,2023-12-20
"191","2022","Grants",23,2023-12-20
"192","betsclimate","Programs",23,2023-12-20
"193","commitments","Programs",23,2023-12-20
"194","enduring","Programs",23,2023-12-20
"195","interest","Programs",23,2023-12-20
"196","justice","About",23,2023-12-20
"197","legal","Programs",23,2023-12-20
"198","macarthur","Grants",23,2023-12-20
"199","mission","Programs",23,2023-12-20
"200","press","About",23,2023-12-20
"201","production","Programs",23,2023-12-20
"202","staff","About",23,2023-12-20
"203","values","About",23,2023-12-20
"204","energy","Programs",22,2023-12-20
"205","events","Programs",22,2023-12-20
"206","faqs","About",22,2023-12-20
"207","fund","Programs",22,2023-12-20
"208","national","Programs",22,2023-12-20
"209","overview","Grantmaking",22,2023-12-20
"210","overview","Learnings",22,2023-12-20
"211","portfolio","Grants",22,2023-12-20
"212","src","Grants",22,2023-12-20
"213","test","Programs",22,2023-12-20
"214","values","Programs",22,2023-12-20
"215","break","Grants",21,2023-12-20
"216","data","Regions",21,2023-12-20
"217","document","About",21,2023-12-20
"218","document","Grants",21,2023-12-20
"219","evaluation","Regions",21,2023-12-20
"220","evaluations","Learnings",21,2023-12-20
"221","f.parentnode.insertbefore","Programs",21,2023-12-20
"222","fellows","About",21,2023-12-20
"223","foundation","People",21,2023-12-20
"224","inclusion","About",21,2023-12-20
"225","labels","Grants",21,2023-12-20
"226","land","About",21,2023-12-20
"227","login","About",21,2023-12-20
"228","past","Programs",21,2023-12-20
"229","president","People",21,2023-12-20
"230","proposals","Programs",21,2023-12-20
"231","push","About",21,2023-12-20
"232","search1","About",21,2023-12-20
"233","staff","Programs",21,2023-12-20
"234","strategy","Regions",21,2023-12-20
"235","34","Programs",20,2023-12-20
"236","5qr7js","Programs",20,2023-12-20
"237","catch","Programs",20,2023-12-20
"238","catherine","Programs",20,2023-12-20
"239","challengeson","Programs",20,2023-12-20
"240","changemacarthur","Programs",20,2023-12-20
"241","chart","Grants",20,2023-12-20
"242","commitment","Programs",20,2023-12-20
"243","commitmentjournalism","Programs",20,2023-12-20
"244","commitmentschicago","Programs",20,2023-12-20
"245","commons","Programs",20,2023-12-20
"246","communication","Programs",20,2023-12-20
"247","connect","Programs",20,2023-12-20
"248","create","About",20,2023-12-20
"249","discover","Programs",20,2023-12-20
"250","ditvw6g9wbpcikrnxi9kna","Programs",20,2023-12-20
"251","document.location.hostname","Programs",20,2023-12-20
"252","employment","Programs",20,2023-12-20
"253","env","Programs",20,2023-12-20
"254","essays","Programs",20,2023-12-20
"255","essaysour","Programs",20,2023-12-20
"256","evaluations","Regions",20,2023-12-20
"257","fellowsenduring","Programs",20,2023-12-20
"258","financials","Programs",20,2023-12-20
"259","focus","Programs",20,2023-12-20
"260","foundationtry","Programs",20,2023-12-20
"261","gettime","Programs",20,2023-12-20
"262","grantee","Grants",20,2023-12-20
"263","granteesgrant","Programs",20,2023-12-20
"264","grantseekers","Programs",20,2023-12-20
"265","grantseekersinfo","Programs",20,2023-12-20
"266","grantsinfo","Programs",20,2023-12-20
"267","gtm","Programs",20,2023-12-20
"268","gtm.start","Programs",20,2023-12-20
"269","gtm_cookies_win","Programs",20,2023-12-20
"270","gtm_preview","Programs",20,2023-12-20
"271","guidelinespress","Programs",20,2023-12-20
"272","history","Programs",20,2023-12-20
"273","historyfinancialsinvestmentspoliciesemploymentfaqscontact","Programs",20,2023-12-20
"274","idea","Programs",20,2023-12-20
"275","information","Grantmaking",20,2023-12-20
"276","initiatives","Programs",20,2023-12-20
"277","interestinitiativesequitable","Programs",20,2023-12-20
"278","investmentsphilanthrophytechnology","Programs",20,2023-12-20
"279","j.async","Programs",20,2023-12-20
"280","j.src","Programs",20,2023-12-20
"281","john","Programs",20,2023-12-20
"282","jumptoevaluation","Programs",20,2023-12-20
"283","jumptoevaluation1","Programs",20,2023-12-20
"284","jumptonews","Programs",20,2023-12-20
"285","jumptonews1","Programs",20,2023-12-20
"286","jumptosearch","Programs",20,2023-12-20
"287","jumptosearch1","Programs",20,2023-12-20
"288","justicelocal","Programs",20,2023-12-20
"289","learningsevaluation","Programs",20,2023-12-20
"290","mediafield","Programs",20,2023-12-20
"291","mission","About",20,2023-12-20
"292","newgrantee","Programs",20,2023-12-20
"293","newsgrantee","Programs",20,2023-12-20
"294","newsnuclear","Programs",20,2023-12-20
"295","nigeriaawards100","Programs",20,2023-12-20
"296","nigerian","Regions",20,2023-12-20
"297","offices","Programs",20,2023-12-20
"298","origin","Programs",20,2023-12-20
"299","overview","People",20,2023-12-20
"300","philanthrophy","Programs",20,2023-12-20
"301","program","Grants",20,2023-12-20
"302","publications","Programs",20,2023-12-20
"303","publicationsgrantee","Programs",20,2023-12-20
"304","racial","Programs",20,2023-12-20
"305","recoverynew","Programs",20,2023-12-20
"306","reflections","Programs",20,2023-12-20
"307","releasesevaluationseventsvideos","Programs",20,2023-12-20
"308","researchperspectivesaboutmission","Programs",20,2023-12-20
"309","script","Grants",20,2023-12-20
"310","searchfunding","Programs",20,2023-12-20
"311","solutionscriminal","Programs",20,2023-12-20
"312","staging","Programs",20,2023-12-20
"313","storiesperspectivespress","Programs",20,2023-12-20
"314","strategyevaluationsgrantee","Programs",20,2023-12-20
"315","supportimpact","Programs",20,2023-12-20
"316","typekit.load","Programs",20,2023-12-20
"317","uscommunication","Programs",20,2023-12-20
"318","valueshow","Programs",20,2023-12-20
"319","videos","Programs",20,2023-12-20
"320","workpast","Programs",20,2023-12-20
"321","workpeoplereflections","Programs",20,2023-12-20
"322","www.googletagmanager.com","Programs",20,2023-12-20
"323","annual","About",19,2023-12-20
"324","communities","About",19,2023-12-20
"325","criminal","Regions",19,2023-12-20
"326","critical","Programs",19,2023-12-20
"327","justice","Regions",19,2023-12-20
"328","problem","Programs",19,2023-12-20
"329","programs","About",19,2023-12-20
"330","supporting","Programs",19,2023-12-20
"331","view","People",19,2023-12-20
"332","work","Learnings",19,2023-12-20
"333","assets","Grants",18,2023-12-20
"334","dataset","Grants",18,2023-12-20
"335","grant","Grants",18,2023-12-20
"336","grantee","Regions",18,2023-12-20
"337","jails","Programs",18,2023-12-20
"338","learning","About",18,2023-12-20
"339","led","Programs",18,2023-12-20
"340","news","Learnings",18,2023-12-20
"341","process","Programs",18,2023-12-20
"342","program","About",18,2023-12-20
"343","programs","Grants",18,2023-12-20
"344","support","About",18,2023-12-20
"345","val","Regions",18,2023-12-20
"346","window.location.href","Regions",18,2023-12-20
"347","accountability","Regions",17,2023-12-20
"348","activities","Programs",17,2023-12-20
"349","board","Grants",17,2023-12-20
"350","challenge","Programs",17,2023-12-20
"351","community","Programs",17,2023-12-20
"352","grantmaking","About",17,2023-12-20
"353","individuals","About",17,2023-12-20
"354","perspectives","About",17,2023-12-20
"355","policy","About",17,2023-12-20
"356","provide","Programs",17,2023-12-20
"357","public","About",17,2023-12-20
"358","society","Regions",17,2023-12-20
"359","strengthen","Programs",17,2023-12-20
"360","systems","Programs",17,2023-12-20
"361","working","Programs",17,2023-12-20
"362","account","Grants",16,2023-12-20
"363","aex","Grantmaking",16,2023-12-20
"364","aex","Learnings",16,2023-12-20
"365","aex","People",16,2023-12-20
"366","awards","Grants",16,2023-12-20
"367","content_type","Grants",16,2023-12-20
"368","director","People",16,2023-12-20
"369","equitable","About",16,2023-12-20
"370","fsr","Grantmaking",16,2023-12-20
"371","fsr","Learnings",16,2023-12-20
"372","fsr","People",16,2023-12-20
"373","grantee","Grantmaking",16,2023-12-20
"374","grantees","Learnings",16,2023-12-20
